v1	medcode	readcode	clinicalevents	readterm	Typei	Typeii	unknowntype
232	25636	"66Aa.00"	6882	"Diabetic diet - poor compliance"	0	0	1
782	68714	"SL23.00"	36	"Insulins and antidiabetic poisoning"	0	0	1
724	113762	"8OAH.11"	6	"Provision of written information about diabetes & hypertensn"	0	0	1
411	13604	"42W3.00"	1844	"Hb. A1C > 10% - bad control"	0	0	1
743	68517	"C10J.00"	10	"Insulin autoimmune syndrome"	0	0	1
18	13241	"1228.00"	831226	"No family history diabetes"	0	0	1
563	14049	"42WZ.00"	84	"Hb. A1C - diabetic control NOS"	0	0	1
164	51371	"C110z00"	198	"Hypoglycaemic coma NOS"	0	0	1
316	22959	"66AJ000"	1285	"Chronic hyperglycaemia"	0	0	1
770	110481	"K081000"	3	"Acquired nephrogenic diabetes insipidus"	0	0	1
526	50491	"C111z00"	76	"Other hyperinsulinism NOS"	0	0	1
475	31529	"U602300"	88	"[X]Insul/oral hypoglyc drugs caus adverse eff therapeut use"	0	0	1
223	107554	"38Gv.00"	56171	"Diabetes UK diabetes risk score"	0	0	1
373	105484	"66Az.00"	10539	"High risk of diabetes mellitus annual review"	0	0	1
220	105481	"14O8000"	10812	"High risk of diabetes mellitus"	0	0	1
287	26604	"66AY.00"	21804	"Diabetic diet - good compliance"	0	0	1
509	14053	"42W4.00"	219	"HbA1c level (DCCT aligned)"	0	0	1
257	32885	"C11y100"	581	"Drug-induced hypoglycaemia without coma"	0	0	1
499	44993	"46Z0.00"	651	"Urine screening test for diabetes"	0	0	1
733	43542	"43Gk.00"	3	"Insulin antibody level"	0	0	1
366	32770	"44V3.00"	84	"Glucose tol. test diabetic"	0	0	1
168	95920	"C116.00"	2927	"Other hypoglycaemia"	0	0	1
701	65171	"R105711"	32	"[D]Drug induced hyperglycaemia"	0	1	0
156	30205	"R10C.00"	669	"[D]Drug induced hyperglycaemia"	0	1	0
338	30970	"Q44B.00"	153	"Syndrome of infant of mother with gestational diabetes"	0	1	0
753	113594	"38QW.00"	3	"Diabetes Distress Scale 2 item"	0	1	0
793	108013	"ZC2CB00"	6	"Dietary advice for gestational diabetes"	0	1	0
216	101802	"1252100"	5546	"Family history of diabetes mellitus type 2"	0	1	0
211	102435	"8CE0000"	196	"Gestational diabetes information leaflet given"	0	1	0
546	25041	"ZC2CA00"	605	"Dietary advice for type II diabetes"	0	1	0
222	103597	"1252111"	316	"Family history of diabetes mellitus type II"	0	1	0
714	69043	"ZC2C900"	59	"Dietary advice for type I diabetes"	1	0	0
441	27078	"44AB.00"	38	"Serum insulin-like growth factor 1 level"	1	0	0
420	40463	"42c1.00"	4616	"HbA1 7 - 10% - borderline control"	1	0	0
209	101430	"1252000"	5002	"Family history of diabetes mellitus type 1"	1	0	0
