v1	medcode	readcode	clinicalevents	readterm
195	26142	"3AE..00"	338	"Global deterioration scale: assessment of prim deg dementia"
121	8604	"7G2D100"	252	"Debridement of skin of head or neck NEC"
207	110237	"918f000"	33	"No longer carer of patient with dementia"
265	68760	"U05..00"	7	"[X]Occupant pick-up truck or van inj in transport accident"
131	5937	"ZV7A400"	881	"[V]Screening for senile macular lesion"
64	4641	"7K1T100"	1205	"Debridement of open fracture"
251	110119	"8CET.00"	1034	"Dementia leaflet given"
154	47566	"F461000"	1108	"Unspecified senile cataract"
193	57360	"F4B4200"	26	"Senile corneal changes NOS"
29	106297	"38C1000"	65199	"Assessment for dementia"
19	12356	"7K12D00"	1962	"Arthroscopic debridement of patella"
14	100222	"14Od.00"	185458	"At risk of dementia"
287	114323	"Eu14600"	2	"[X]Mental and behav dis due to use cocaine: amnesic syndrome"
98	26141	"ZR1K.00"	119	"Alzheimer's disease assessment scale"
250	98806	"U063.00"	2	"[X]Occ hvy trn vh inj in collision with car/pick-up trck/van"
218	98615	"7K6py00"	22	"Other specified debridement and irrigation of joint"
241	49224	"U002000"	18	"[X]Ped inj in collis wth car pick-up truck or van nontrf acc"
24	23567	"M213100"	224	"Senile degenerative atrophy of skin"
263	101876	"U023100"	1	"[X]M/cyc rdr inj col car, pick-up truck, van, pssng, nontraf"
247	103863	"7K6bz00"	11	"Open debridement and irrigation of joint NOS"
89	30208	"F580111"	259	"Senile presbyacusis"
78	97197	"7K6p.00"	568	"Debridement and irrigation of joint"
110	33793	"F461A00"	65	"Total, mature senile cataract"
84	31642	"F4E0100"	561	"Senile entropion"
200	108429	"8IBB000"	341	"Dementia assessment not indicated"
13	106446	"67DF.00"	80824	"NHS Hlth Chck rais awareness abt dementia and memory clinics"
146	59502	"3AD2.00"	98	"Thirty seven item dementia test"
18	26205	"F425200"	20060	"Wet senile macular degeneration"
192	11237	"U002100"	54	"[X]Ped inj in collis with car, pick-up trk or van, traff acc"
48	55016	"7H67500"	1095	"Debridement of soft tissue NEC"
43	36303	"7H51300"	235	"Debridement of muscle NEC"
253	95714	"7G2J100"	2	"Larvae debridement therapy of skin NEC"
205	44880	"ZR3V.00"	551	"Clinical dementia rating scale"
222	24332	"G771100"	188	"Senile naevus"
138	97208	"7K6pz00"	79	"Debridement and irrigation of joint NOS"
284	101939	"FyuE000"	3	"[X]Other senile cataract"
171	54550	"ZA11915"	6	"Debridement of callus"
206	33417	"7G2C200"	18	"Debridement of burnt skin of head and neck"
210	92165	"7M04900"	88	"Debridement of organ NOC"
252	98742	"ZR2X.12"	3	"BDRS - Blessed dementia rating scale"
83	22422	"Z1R3.00"	2272	"Debridement of skin"
244	67131	"ZR3V.12"	19	"CDR - Clinical dementia rating scale"
225	49085	"F461y00"	33	"Other senile cataract"
231	91988	"7K6by00"	19	"Other specified open debridement and irrigation of joint"
163	57805	"F460200"	56	"Unspecified presenile cataract"
75	43349	"U023.00"	87	"[X]Motorcycle rider inj in col wih car, pick-up truck or van"
229	44517	"U043.00"	62	"[X]Car occupant inj in collision with car/pick-up truck/van"
248	62056	"BBC9.11"	53	"[M]Pick's tubular adenoma"
277	59140	"G532100"	1	"Pick's disease of heart"
11	3932	"7K12B00"	3075	"Debridement of bone"
116	8973	"7G2C300"	632	"Debridement of burnt skin NEC"
239	107455	"9OqD.00"	19	"Dementia screening questionnaire sent to patient"
204	107290	"U073.00"	4	"[X]Bus occupant inj in collision with car/pick-up truck/van"
128	5325	"F461700"	107	"Posterior subcapsular polar senile cataract"
90	20567	"M222.00"	3348	"Senile keratoma"
36	7356	"F427z12"	851	"Nonsenile retinal degeneration"
57	12495	"Z1R3.11"	4558	"Debridement of wound of skin"
288	103117	"U053100"	1	"[X]Occ p-up tk/vn inj col car/pick-up trk/van, pssng nontraf"
97	26240	"F4E1100"	404	"Senile ectropion"
124	38367	"K55y000"	131	"Senile atrophy of cervix"
285	102010	"J000300"	1	"Senile anodontia"
279	70687	"U043100"	6	"[X]Car occupant inj col car/pick-up trk/van, pssng nontraf"
65	27430	"R203.00"	1582	"[D]Senile debility"
201	22022	"F461800"	109	"Cortical senile cataract"
196	50378	"14OQ.00"	217	"At risk of variant Creutzfeldt-Jakob disease"
165	67557	"U023000"	5	"[X]M/cyc rd inj col car, pick-up truck, van, drver nontrf ac"
80	54358	"7K1T800"	527	"Debridement of bone NEC"
