v1	medcodeid	cleansedreadcode	observations	term	snomedctconceptid
304	490511000000118	"7G2Jz00"	50	"Debridement of skin using larvae"	798401000000109
142	317931018	"R204.00"	400	"Senile exhaustion"	57494004
102	257073011	"3AD..00"	40000	"Dementia test"	165320004
212	308901016	"M213100"	200	"Senile degenerative atrophy of skin"	201069009
54	2580021000006118	" "	3000	"Senile angioma"	5050001
245	369081000000115	"7K6bz00"	100	"Open debridement and irrigation of joint NOS"	442400004
378	1950821000006113	" "	40	"Dementia link worker - other mental health worker"	1950821000006109
478	7330151000006118	" "	1	"Debridement of ankle region"	446791005
53	746571000000111	"7K6p.00"	3000	"Debridement and irrigation of joint"	442400004
497	1950851000006116	" "	1	"Dementia link worker - other third sector worker"	1950851000006100
220	97154016	"C327200"	700	"Niemann-Pick disease"	58459009
18	298096019	"F461900"	5000	"Nuclear senile cataract"	193589009
340	3092791000006110	" "	80	"Debridement"	36777000
204	54296011	"K55y000"	800	"Senile atrophy of cervix"	32515001
110	13128017	"M145200"	100	"Senile dermatitis herpetiformis"	7354003
489	1876391000006114	" "	2	"Dementia screening questionnaire completed"	1876391000006105
453	5969481000006110	" "	2	"Arthroscopic debridement of articular ulcerations of knee"	307522001
492	5106381000006113	" "	1	"Debridement of breast"	237374004
458	2451471000000113	" "	3	"Dementia assessment care plan"	961891000000104
423	1973941000006119	" "	1	"Mental & behav dis due to use cocaine: resid & late-onset psychot dis, dementia"	1973941000006103
317	106281000006116	"3AD2.00"	300	"Thirty seven item dementia test"	165322007
465	7340011000006117	" "	1	"Debridement of nail bed"	447442008
474	6633901000006117	" "	1	"Senile asteatotic eczema"	400051008
396	2975351000006118	" "	1	"Arthroscopy of shoulder with limited debridement"	29563005
371	301877010	"J000300"	2	"Senile anodontia"	196267002
99	747011000000114	"7K6py00"	400	"Other specified debridement and irrigation of joint"	442400004
105	1699141000006114	" "	2000	"At risk of dementia"	1699141000006105
93	46755018	"7K1T100"	2000	"Debridement of open fracture"	27930000
435	299957018	"G532100"	1	"Pick's disease of heart"	85598007
216	5080721000006117	" "	80	"Debridement of pancreatic and peripancreatic necrosis"	235471009
468	296991018	"F102100"	3	"Cerebral degeneration in Niemann-Pick disease"	192792002
326	64862013	"F434100"	50	"Senile atrophy of choroid"	38513001
491	2808151000006112	" "	1	"Debridement of open fracture of foot"	19417000
46	2281311000000115	"8IEu000"	20000	"Dementia screening questionnaire declined"	885051000000108
369	8452411000006111	" "	10	"Assessment using DiADeM (Diagnosing Advanced Dementia Mandate) Tool"	1077351000000108
477	3006631000006116	" "	1	"Debridement of peripheral nerve"	31442000
446	7321551000006118	" "	3	"Debridement of hand"	446246000
79	608481000006115	"7244600"	400	"Debridement of lesion of cornea"	172410004
19	1150521000000117	"14Od.00"	1000000	"At risk of dementia"	698464007
63	119054015	"F4E1100"	6000	"Senile ectropion"	71659009
