	MedCodeId	Observations	CleansedReadCode	Term	SnomedCTConceptId
1426	41903014	5000	G73y200	Acrocyanosis	25003006
2105	61977017	5000	G73y800	Erythromelalgia	37151006
27698	300514010	5000	G73yz00	Other specified peripheral vascular disease NOS	400047006
84645	530141000006115	4000	7A48200	Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft	50807007
86991	616441000006113	4000	C107.00	Peripheral vascular disorder due to diabetes mellitus	421895002
69387	218531000000113	4000	G700.00	Atherosclerosis of aorta	81817003
27652	300433019	4000	G702.00	Extremity artery atheroma	195254008
96881	884621000006116	4000	G73zz99	Peripheral vasc. disease NOS	646351000000103
27712	300550015	4000	G742z00	Peripheral arterial embolism and thrombosis NOS	195318006
136548	2244281000000110	4000	7P0G700	Cardiovascular stress test using Bruce protocol	868361000000101
164633	5058071000006110	4000	 	Lower limb ischaemia	233961000
3089	90802010	4000	7A1A300	Aortography	54640009
2955	87210015	4000	G731000	Buerger's disease	52403007
42169	350655010	4000	G730111	Vibratory white finger	234034005
27737	300607015	3000	G76A.00	Arterial insufficiency	195374003
34794	317352017	3000	R055100	Cardiogenic shock	89138009
44383	394321017	3000	7A4..00	Iliac and femoral artery operations	265511008
17151	272031013	3000	7A4A200	Open embolectomy of femoral artery	175704008
44374	394307019	3000	7A14.00	Other replacement of aneurysmal segment of aorta	233370007
17141	272003016	3000	7A48z00	Other bypass of femoral artery or popliteal artery NOS	405469008
1	302011	3000	G73y000	Diabetic peripheral angiopathy	127014009
84644	530131000006113	3000	7A48000	Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis	312688006
16952	271447017	3000	7A13.11	Emergency repair of aortic aneurysm	175297006
118683	1696221000006116	3000	 	Peripheral vascular disease monitoring first letter	1696221000006100
87866	641681000006116	3000	7A49000	Endarterectomy of femoral artery and patch repair of femoral artery	175689005
17153	272033011	2000	7A4A212	Open femoral embolectomy	175704008
83413	488261000006110	2000	7A1..00	Operation on aorta	32907006
27689	300504018	2000	G732.00	Peripheral gangrene	195301007
83846	501011000006118	2000	7A10200	Axillofemoral bypass graft	388997005
69854	223991000000116	2000	G700.11	Aortoiliac disease	233956002
88631	668741000006116	2000	7A48E00	Femorofemoral prosthetic crossover graft	175685004
125085	1813491000006118	2000	9hS..00	Exception reporting - peripheral arterial disease quality indicators	822611000000100


12969	262265016	2000	5593.00	Femoral arteriogram abnormal	168953002
188131	6632221000006112	2000	 	Peripheral arterial occlusive disease	399957001
2954	87208017	2000	G731.00	Thromboangiitis obliterans	52403007
42088	349662015	2000	7A48.15	Popliteal-distal bypass	233384002
34789	317347010	1000	R054200	[D]Gangrene of toe in diabetic	195302000
84637	530061000006115	1000	7A12100	Bypass of bifurcation of aorta by anastomosis of aorta to femoral artery	448171003


16978	271511016	1000	7A19400	Operation on aneurysm of aorta NEC	32907006
114139	1548341000006118	1000	7A4B900	Percutaneous transluminal insertion of stent into femoral artery	426093007
27692	300507013	1000	G732200	Gangrene of finger	195304004
16968	271494013	1000	7A18.00	Plastic repair of aorta	175337007
27893	300962010	1000	Gyu7300	Arterial aneurysm	233981004

17157	272037012	1000	7A4A500	Operation on aneurysm of femoral artery NEC	265528006
49454	455901014	1000	7A44400	Percutaneous transluminal insertion of iliac artery stent	312227009
44401	394345018	1000	7A4B600	Arteriography of femoral artery	265531007
119565	1715241000006112	1000	G73z012	Vascular claudication	63491006
12972	262274019	1000	55A2.00	Lower limb arteriogram abnormal	168957001
114130	1548161000006117	1000	7A1B000	Repair of infrarenal abdominal aortic aneurysm with insertion of endovascular stent	441612006
17155	272035016	900	7A4A300	Open embolectomy popliteal artery	175705009
136709	2263901000000118	800	G735.00	HAVS - Hand-arm vibration syndrome	234034005
4206	124092018	800	G73y700	Erythrocyanosis	74725000
42104	349693019	800	7A14411	Tube graft of Abdominal aortic aneurysm	233376001
17162	272055015	800	7A4B200	Percutaneous transluminal embolectomy of femoral artery	175717006
16987	271526019	800	7A1z.00	Aorta operations NOS	32907006
16946	271416011	700	7A10300	Axillo-unifemoral PTFE bypass graft	175279003
24882	292523015	700	C107z00	Diabetes mellitus NOS with peripheral circulatory disorder	421895002
115596	1587741000006114	700	7A1C000	Repair of aorto-uniiliac aneurysm with insertion of endovascular stent graft	428809009
138615	2480961000000112	700	PG73.00	Congenital umbilical hernia	975231000000107
34797	317355015	700	R055400	Hypovolaemic shock	39419009
96885	884661000006110	700	G742z99	Peripheral arterial embolism	583731000000103
96584	881511000006113	700	C107.99	Diabetes + periph.circulat.dis	422275004
84649	530171000006111	700	7A48C00	Femoral-femoral artery vascular bypass	44662004
16981	271517017	700	7A1A000	Percutaneous transluminal balloon angioplasty of aorta	175354004
84648	530161000006116	700	7A48600	Bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft	448529008
42170	350656011	700	G735.11	Vibration white finger	234034005
17152	272032018	700	7A4A211	Open thrombectomy of femoral artery	175704008
16951	271446014	700	7A13.00	Emergency replacement of aneurysmal segment of aorta	175297006
63875	36061000006118	700	7A48y00	Other bypass of femoral artery or popliteal artery OS	405469008
27695	300510018	600	G73y.00	Other specified peripheral vascular disease	400047006
118849	1701691000006119	600	7A1B800	Endovascular insertion of stent for infrarenal abdominal aortic aneurysm	441612006
17144	272017013	600	7A49600	Profundoplasty of femoral artery NEC	405376002
17149	272029016	600	7A4A000	Repair of femoral artery NEC	265528006
27697	300512014	600	G73y600	Acroparaesthesia - unspecified	79256006
88630	668731000006114	600	7A41311	Femoro-femoral prosthetic cross over graft	175685004
87003	616581000006115	600	C107100	Diabetes mellitus, adult, + peripheral circulatory disorder	422166005
83424	488631000006116	600	7A12311	Aorto biiliac graft	265495003
44385	394323019	600	7A41.00	Iliac artery bypass	405477007
17168	272072010	600	7A4z.00	Iliac and/or femoral artery operations	265511008
67839	173451000006113	500	7A14000	Replace aneurysm ascend aorta by anast of aorta/aorta NEC	116360008
205190	13944841000006117	500	 	Peripheral arterial disease	840580004
87021	616831000006118	500	C107.12	Diabetes with gangrene	422275004
2463	73336017	500	M127A11	Actinic elastosis	43982006
65239	90051000006113	500	7A4B.00	Transluminal operations on femoral artery or popliteal artery	265530008
66509	132581000006113	500	G73z100	Spasm of peripheral artery	195313002
84670	530791000006113	500	7A48D00	Bypass popliteal artery by pop/fem artery anastomosis NEC	112828007

67838	173441000006111	500	7A14400	Replace aneurysm abdominal aorta by anast aorta to aorta NEC	448122008
84646	530151000006118	400	7A48400	Bypass femoral artery by fem/tib art anast c prosthesis NEC	233383008
17133	271891014	400	7A43200	Operation on aneurysm of iliac artery NEC	265516003
47019	410982016	400	7A4B.15	Transluminal procedure on superficial femoral artery	275059001
47000	410961010	400	7A12112	Dacron aortofemoral Y graft	275038008
86987	616351000006115	400	C107.11	Diabetes mellitus with gangrene	422275004
46999	410960011	400	7A11311	Y graft abdominal Aortic aneurysm	275037003
84652	530201000006110	400	7A41100	Bypass of iliac artery by anastomosis of iliac artery to femoral artery	51018000
44397	394340011	400	7A49.00	Reconstruction of femoral artery or popliteal artery	265528006
44388	394329015	400	7A42100	Endarterectomy of iliac artery	307800001
44395	394338018	400	7A47.00	Other emergency bypass of femoral artery or popliteal artery	405516005
16982	271518010	400	7A1A100	Percutaneous transluminal angioplasty of aorta NEC	233263005
17150	272030014	400	7A4A100	Repair of popliteal artery	405375003
115600	1587781000006115	400	7A1C400	Insertion of arterial stent	233404000
92539	785611000006113	400	7A41F00	Ilio-femoral prosthetic cross over graft	175594003
93171	815331000006113	400	7A18111	Hamilton repair of coarctation of aorta using subclavian flap	175339005

95117	865851000006110	400	7A18.99	Coarctation of aorta correct	175337007
61198	2675440012	400	7A18600	Repair of interrupted aortic arch	426869003
84643	530121000006110	400	7A48A00	Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft	448323005
53978	1216110018	400	R055511	[D]Septicaemic shock	76571007
88917	674961000006118	400	C107400	Peripheral circulatory disorder associated with type 2 diabetes mellitus	422166005
17158	272038019	400	7A4A600	Operation on popliteal artery NEC	118805000
84642	530111000006119	400	7A48800	Bypass femoral artery by fem/peron a anast c prosthesis NEC	233383008
54600	1222508013	300	R055011	[D]Peripheral circulatory failure	27942005
99018	906771000006113	300	 	[RFC] Peripheral vascular disease	906771000006109
42105	349694013	300	7A13411	Tube graft abdominal aortic aneurysm - emergency	233377005
91226	745471000000118	300	7A1BA00	Endovascular insertion of stent for thoracic aortic aneurysm	378491000000109
75616	357881000000111	300	7A1B200	Repair of thoracic aortic aneurysm with insertion of endovascular stent	378491000000109
47010	410973010	300	7A46.14	Repair of aneurysm with graft of popliteal artery	77558004
84636	530051000006117	300	7A10100	Bypass aorta by anastomosis axillary to femoral artery NEC	233379008

118682	1696211000006112	300	 	Peripheral vascular disease monitoring administration	1696211000006108
164636	5058111000006119	300	 	Critical lower limb ischaemia	233962007
61147	2674497017	300	7A1AA00	Percutaneous transluminal insertion of stent into aorta	427231006
47014	410977011	300	7A49.13	Reconstruction of femoral artery	275054006
115598	1587761000006113	300	7A1C200	Repair of thoracic aortic aneurysm with insertion of endovascular stent graft	429679003
115599	1587771000006118	300	7A1C300	Repair of dissection of aorta with insertion of endovascular stent	725371005
87755	639421000006116	300	7A47200	Emerg bypass femoral art by fem/pop a anast c vein graft NEC	112828007
67835	173411000006112	300	7A14300	Replace aneurys infrarenal aorta by anast aorta to aorta NEC	116360008
17154	272034017	300	7A4A311	Open thrombectomy of popliteal artery	175705009
27895	300964011	300	Gyu7500	[X]Embolism and thrombosis of other arteries	266262004
17163	272056019	300	7A4B300	Percutaneous transluminal embolectomy of popliteal artery	175718001
16986	271525015	300	7A1y.00	Other specified operations on aorta	32907006
38433	325063014	300	SP12.00	Peripheral vascular complications of care	213217008


16976	271508017	300	7A19100	Endarterectomy of aorta	49187005
16948	271431019	300	7A12.00	Other bypass of bifurcation of aorta	233373009
42093	349667014	300	7A47.16	Other emergency bypass of femoral artery	405463009
27890	300959012	300	Gyu7000	[X]Atherosclerosis of other arteries	72092001
16972	271504015	300	7A18y00	Other specified plastic repair of aorta	175337007
17167	272071015	300	7A4y.00	Other specified operations on iliac and femoral artery	265511008
27653	300434013	300	G702z00	Extremity artery atheroma NOS	195254008
17156	272036015	300	7A4A400	Ligation of aneurysm of popliteal artery	175706005
16954	271470013	300	7A14z00	Other replacement of aneurysmal segment of aorta NOS	450682002
16950	271445013	200	7A12z00	Other bypass of bifurcation of aorta NOS	233373009
2331	68879012	200	7A19300	Operation on aortic body	41293005
84673	530821000006116	200	7A48300	Bypass popliteal artery by pop/pop a anast c vein graft NEC	233384002
49453	455900010	200	7A43300	Open insertion of iliac artery stent	312226000
87756	639431000006118	200	7A47000	Emerg bypass femoral art by fem/pop art anast c prosth NEC	112828007
84651	530191000006112	200	7A41300	Bypass iliac artery by femoral/femoral art anastomosis NEC	233380006
180696	5886711000006111	200	 	Ischaemia of feet	300917007
47013	410976019	200	7A49.11	Reconstruction of common femoral artery	275053000
118851	1701721000006112	200	7A1BB00	Endovascular ins stent for aortic dissection in any position	725371005
33171	313563016	200	P76z.00	Peripheral vascular system anomaly NOS	204492002
84659	530261000006111	200	7A16400	Bypass of abdominal aorta by anastomosis aorta to aorta NEC	116360008
27891	300960019	200	Gyu7100	[X]Aortic aneurysm of unspecified site, ruptured	67362008
34790	317348017	200	R054300	[D]Widespread diabetic foot gangrene	195303005
84638	530071000006110	200	7A12300	Bypass of bifurcation of aorta by anastomosis of aorta to iliac artery	265495003
48692	451376017	200	14NB.00	H/O: Peripheral vascular disease procedure	308071004
91383	748091000006113	200	7A4..11	Leg artery operations	265511008
27894	300963017	200	Gyu7400	[X]Other specified peripheral vascular diseases	400047006
47126	411214011	200	7A43111	Open embolectomy of common iliac artery	275254000
47011	410974016	200	7A49.14	Reconstruction of popliteal artery	275051003
96876	884571000006119	200	G702.99	Atherosclerosis of extremities	195254008
44391	394332017	200	7A43100	Open embolectomy of iliac artery	265521000
67862	173691000006116	200	7A11.00	Replacement of aneurysmal bifurcation of aorta	175282008
16970	271502016	200	7A18300	Release of vascular ring of aorta	175341006
87867	641691000006118	200	7A42000	Endarterectomy of iliac artery and patch repair of iliac artery	265517007
63174	17401000006117	200	7A14y00	Other replacement of aneurysmal segment of aorta OS	450682002
199484	8279141000006112	200	 	H/O intermittent claudication	837591000000108
87001	616561000006113	200	C107200	Diabetes mellitus, adult with gangrene	421631007
42095	349669012	200	7A47.14	Other emergency bypass of popliteal artery	116360008
17130	271868010	200	7A41z00	Other bypass of iliac artery NOS	116360008
75782	359191000000114	200	7A1B300	Endovascular stenting of aortic dissection in any position	725371005
83409	488221000000111	200	7A1B600	Abdominal aortic aneurysm stenting	307701005
42092	349666017	200	7A48.11	Other bypass of femoral or popliteal artery by anastomosis	405516005
17146	272019011	200	7A49800	Reconstruction of femoral artery with vein graft	175697003
17173	272077016	200	7A50200	Revision of reconstruction involving femoral artery	175732004
44390	394331012	200	7A43000	Repair of iliac artery	450703003
50441	459308015	200	C10FF00	Type 2 diabetes mellitus with peripheral angiopathy	314902007
60441	2535881015	200	PKy7A11	Beals syndrome	205821003
44393	394335015	200	7A44200	Arteriography of iliac artery	265523002
69900	225521000006116	200	7A18100	Repair of aorta with subclavian flap	175339005
42103	349689013	200	7A11211	Y graft of abdominal aortic aneurysm - emergency	233374003
69899	225491000006118	200	7A18000	Plastic repair of aorta and end to end anastomosis of aorta	175338002
16973	271505019	200	7A18z00	Plastic repair of aorta NOS	175337007
44398	394341010	200	7A4A.00	Other open operations on femoral artery or popliteal artery	118805000
42078	349651015	200	7A1..11	Dacron graft operations on aorta	233344006
55641	1231360010	200	7A1A311	Arteriography of aorta	54640009
114127	1548121000006111	200	7A1A500	Percutaneous transluminal balloon angioplasty with insertion of stent into aorta	428062003
100606	931881000006115	200	7A4B099	Angioplasty of femoral artery	175715003
63581	24571000006113	100	7A4Ay00	Other open operation on femoral or popliteal artery OS	118805000
17148	272022013	100	7A49z00	Reconstruction of femoral or popliteal artery NOS	265528006
84669	530781000006110	100	7A48B00	Bypass popliteal art by pop/peron art anast c vein graft NEC	233384002
17147	272020017	100	7A49900	Reconstruction of popliteal artery with vein graft	175698008
27694	300509011	100	G732400	Gangrene of hand	195306002
22662	286570019	100	A3A0F00	Gas gangrene-foot	186423003
67841	173471000006115	100	7A11300	Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery	265493005
16958	271479014	100	7A16.00	Other bypass of segment of aorta	116360008
87758	639451000006113	100	7A47400	Emerg bypass femoral art by fem/tib art anast c prosth NEC	233383008
122254	1767701000006110	100	7A10400	Bypass of aorta by anastomosis of axillary artery to bilateral femoral arteries	233379008
118850	1701701000006119	100	7A1B900	Endovascular insertion of stent for suprarenal aortic aneurysm	378481000000107
67859	173651000006110	100	7A14100	Replace aneurysm thoracic aorta by anast of aorta/aorta NEC	116360008
83547	491481000006111	100	7A44211	Arteriography of common iliac artery	265523002
68615	201771000006117	100	7A49400	Profundoplasty of femoral artery and patch repair of deep femoral artery	175693004
16974	271506018	100	7A19.00	Other open operations on aorta	32907006
16969	271500012	100	7A18200	Plastic repair of aorta using patch graft	175340007
75434	356241000000118	100	7A18500	Plastic repair of aorta with tube graft	428998009
75444	356341000000113	100	7A1B.00	Transluminal operations on aneurysmal segment of aorta	265499009
75788	359231000000117	100	7A1B500	Endovascular stenting of aorto-uniiliac aneurysm	225041000000107
115595	1587731000006116	100	7A1C.00	Transluminal insertion of stent graft for aneurysmal segment of aorta	281261000000105
95119	865871000006117	100	7A1A396	Translumbar aortogram	54640009
84675	530841000006111	100	7A48700	Bypass popliteal artery by pop/tib a anast c vein graft NEC	233384002
44394	394337011	100	7A46.00	Other replacement of aneurysmal femoral artery	405463009
199248	8270131000006112	100	 	Excepted from peripheral arterial disease quality indicators - patient unsuitable	822641000000104
47005	410967014	100	7A43011	Repair of common iliac artery	450704009
44384	394322012	100	7A40.00	Replacement of aneurysmal iliac artery	265512001
47015	410978018	100	7A4A.14	Other open operations on superficial femoral artery	118805000
47016	410979014	100	7A4A.13	Other open operations on popliteal artery	118805000
47003	410965018	100	7A42111	Endarterectomy of common iliac artery	233304004
42091	349665018	100	7A48.12	Other bypass of common femoral artery	405463009
84655	530221000006117	100	7A41B00	Bypass leg artery by aorta/com femoral art anastomosis NEC	116360008
27898	300968014	100	Gyu7800	[X]Aneurysm of aorta in diseases classified elsewhere	67362008
27897	300966013	100	Gyu7700	[X]Other diseases of capillaries	58729003
92562	787101000006114	100	C107300	IDDM with peripheral circulatory disorder	421895002
16980	271513018	100	7A19z00	Other open operation on aorta NOS	32907006
42087	349661010	100	7A48.16	Other bypass of superficial femoral artery	405463009
87809	640081000006119	100	7A41211	Emergency femoro-femoral prosthetic cross over graft	275040003
17143	272014018	100	7A49300	Endarterectomy of popliteal artery	233310004
47001	410962015	90	7A12312	Dacron aortoiliac Y graft	275039000
17137	271901019	90	7A44100	Percutaneous transluminal embolectomy of iliac artery	175613000
75843	359711000000116	90	7A6G700	Insertion of vascular closure device	225281000000106
27892	300961015	80	Gyu7200	[X]Aortic aneurysm of unspecified site, nonruptured	67362008
87868	641701000006118	80	7A49100	Endarterectomy of popliteal artery and patch repair of popliteal artery	175690001
70135	233221000006115	80	7A1A.11	Percutaneous transluminal operations on aorta	265499009
84641	530091000006111	80	7A41900	Bypass common iliac artery by aorta/com iliac art anast NEC	116360008
27688	300503012	80	G731z00	Thromboangiitis obliterans NOS	52403007
44392	394333010	80	7A44.00	Transluminal operations on iliac artery	265522007
63580	24561000006118	70	7A4Az00	Other open operation on femoral or popliteal artery NOS	118805000
17166	272066010	70	7A4B700	Arteriography of popliteal artery	175722006
84672	530811000006112	70	7A48100	Bypass popliteal artery by pop/pop a anast c prosthesis NEC	233384002

83549	491511000006115	70	7A4B611	Arteriography of popliteal artery	175722006
75862	359851000000113	70	7A1B100	Repair of suprarenal abdominal aortic aneurysm with insertion of endovascular stent	378481000000107
95144	866131000006116	70	7A4B698	R-direct femoral arteriogram	265531007
44387	394328011	70	7A42012	Iliac endarterectomy and patch	265517007

44389	394330013	60	7A43.00	Other open operations on iliac artery	265511008
16975	271507010	60	7A19000	Endarterectomy of aorta and patch repair of aorta	175346001
71070	280561000006111	60	C109F00	Non-insulin-dependent diabetes mellitus with peripheral angiopathy	314902007

74615	345601000000113	60	727A100	Indocyanine angiography evaluation of retina	252823001
87814	640181000006118	60	7A45.00	Emergency replacement of aneurysmal femoral or popliteal artery	265524008
17164	272059014	60	7A4B400	Percutaneous transluminal embolisation of femoral artery	175719009
44386	394326010	60	7A42.00	Reconstruction of iliac artery	265516003
84660	530271000006116	60	7A16000	Bypass of ascending aorta by anastomosis aorta to aorta NEC	116360008
184884	6021731000006115	60	 	Critical ischaemia of foot	312822006
16960	271486018	60	7A16z00	Other bypass of segment of aorta NOS	116360008
47018	410981011	60	7A4A.11	Other open operations on common femoral artery	118805000
42098	349674016	60	7A45.14	Emergency replacement of aneurysmal popliteal artery	233366004
91469	750511000000117	60	7A1BD00	Endovascular insertion of stent for aorto-uniiliac aneurysm	225041000000107
16953	271456013	60	7A13z00	Emergency replacement of aneurysmal segment of aorta NOS	175297006
87784	639731000006112	60	7A13000	Emergency replacement of aneurysmal segment of ascending aorta by anastomosis of aorta to aorta	175298001
27693	300508015	60	G732300	Gangrene of thumb	195305003
87775	639601000006111	60	7A47D00	Emerg bypass popliteal artery by pop/fem art anastomosis NEC	116360008
27696	300511019	60	G73y100	Peripheral angiopathic disease EC NOS	400047006
44375	394309016	50	7A1A.00	Transluminal operations on aorta	265499009
82237	454901000006118	50	G73y400	Acroparaesthesia - Schultze's type	57105000
88282	659501000006114	50	7A10.00	Extraanatomic bypass of aorta	175275009
16977	271509013	50	7A19200	Open embolectomy of bifurcation of aorta	175348000
87747	639341000006115	50	7A10000	Emergency bypass of aorta by anastomosis of axillary artery to femoral artery	175276005
118852	1701731000006110	50	7A1BC00	Endovas insert stent for aortic aneurysm of bifurcation NEC	307701005
16979	271512011	50	7A19y00	Other specified other open operation on aorta	32907006
87783	639721000006114	50	7A13400	Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC	123679006
50440	459306016	50	C10FF11	Type II diabetes mellitus with peripheral angiopathy	314902007
47084	411078012	50	7A49.15	Reconstruction of superficial femoral artery	275145005
47022	410985019	50	7A4B.14	Transluminal procedure on popliteal artery	275062003
87759	639461000006110	50	7A47C00	Emerg bypass femoral artery by fem/fem art anastomosis NEC	116360008
115597	1587751000006111	50	7A1C100	Endovascular insertion of stent graft for suprarenal aortic aneurysm	281281000000101
84656	530231000006119	50	7A41C00	Bypass leg artery by aorta/deep femoral art anastomosis NEC	405482000
34795	317353010	50	R055200	Endotoxic shock	371769008
84650	530181000006114	50	7A41A00	Bypass iliac artery by aorta/ext iliac art anastomosis NEC	116360008
67858	173641000006113	50	7A46D00	Replace aneurysm popliteal artery by pop/fem anastomosis NEC	112828007
47006	410968016	50	7A44.11	Transluminal operations on common iliac artery	275045008
47004	410966017	50	7A43.11	Other open operations on common iliac artery	265511008
47002	410964019	50	7A42011	Endarterectomy and patch repair of common iliac artery	275041004
20574	279446012	50	7M27100	Pectoralis major myocutaneous flap	180760006
84653	530211000006113	40	7A41D00	Bypass iliac artery by iliac/iliac artery anastomosis NEC	116360008
83410	488231000000113	40	7A1B700	Endovascular stenting for aorto-uniiliac aneurysm	225041000000107
114128	1548131000006114	40	7A1A600	Percutan transluminal aortic stent graft fenestration NEC	233404000
65237	89901000006118	40	7A4By00	Transluminal operation on femoral or popliteal artery OS	265530008
16955	271471012	40	7A15.00	Other emergency bypass of segment of aorta	450682002
17132	271881015	40	7A42z00	Reconstruction of iliac artery NOS	265516003
54601	1222509017	40	R055111	[D]Heart shock	89138009
63779	32181000006113	40	7A47.11	Other emerg bypass femoral or popliteal art by anastomosis	116360008
16949	271444012	40	7A12y00	Other specified other bypass of bifurcation of aorta	233373009
3936	115848011	40	G702000	Monckeberg's medial sclerosis	69742007
65236	89891000006117	40	7A4Bz00	Transluminal operation on femoral or popliteal artery NOS	265530008
78423	384321000000116	40	7A1Bz00	Transluminal operations on aneurysmal segment of aorta NOS	265499009
47020	410983014	40	7A4B.11	Transluminal procedure on common femoral artery	275060006
87760	639471000006115	40	7A41000	Emerg bypass iliac art by iliac/femoral art anastomosis NEC	51018000
87757	639441000006111	40	7A47600	Emerg bypass femoral art by fem/tib a anast c vein graft NEC	233383008
67855	173611000006114	40	7A46100	Replace aneurysm pop art by pop/pop art anastom c prosth NEC	233384002
27889	300958016	40	Gyu7.00	[X]Diseases of arteries, arterioles and capillaries	266259002
95404	868911000006113	40	7C10798	Therapeutic asp. spermatocele	57633004
95405	868921000006117	40	7C10799	Diagn. asp. spermatocoele	57633004
68200	187331000006112	40	7A49y00	Reconstruction of femoral or popliteal artery OS	265528006
87792	639811000006110	40	7A13300	Emergency replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta	175301002
68614	201761000006112	40	7A49500	Profundoplasty of popliteal artery and patch repair of popliteal artery	175694005
17174	272078014	40	7A50300	Revision of reconstruction of popliteal artery	175733009
42090	349664019	40	7A48.13	Other bypass of deep femoral artery	405463009
95120	865881000006119	40	7A1A397	Retrograde abdominal aortogram	54640009
16984	271523010	30	7A1Ay00	Other specified transluminal operation on aorta	265499009
17129	271867017	30	7A41y00	Other specified other bypass of iliac artery	116360008
17139	271907015	30	7A44y00	Other specified transluminal operation on iliac artery	265522007
95118	865861000006112	30	7A1A395	Thoracic angiography NOS	54640009
87771	639561000006111	30	7A47700	Emerg bypass pop art by pop/tib art anast c vein graft NEC	233384002
95142	866111000006110	30	7A4B696	Translumbar femoral arteriogr.	265531007
87762	639491000006119	30	7A41200	Emerg bypass iliac artery by femoral/femoral art anast NEC	233380006
87750	639371000006111	30	7A12000	Emergency bypass of bifurcation of aorta by anastomosis of aorta to femoral artery	175290008
84674	530831000006118	30	7A48500	Bypass popliteal artery by pop/tib a anast c prosthesis NEC	233384002
87004	616591000006117	30	C107000	Diabetes mellitus, juvenile +peripheral circulatory disorder	421365002
17135	271896016	30	7A43z00	Other open operation on iliac artery NOS	265511008
17140	271908013	30	7A44z00	Transluminal operation on iliac artery NOS	265522007
87815	640221000006110	30	7A13y00	Emergency replacement of aneurysmal segment of aorta OS	175297006
62976	13791000006111	30	C107y00	Other specified diabetes mellitus with periph circ comps	421895002
67845	173511000006113	30	7A46000	Replace aneurysm fem art by fem/pop art anastom c prosth NEC	112828007
67854	173601000006111	30	7A46300	Replace aneurysm pop art by pop/pop a anast c vein graft NEC	233384002
51696	461141014	30	ZV6G700	Acquired absence of genital organ	735929009
27896	300965012	30	Gyu7600	[X]Other specified disorders of arteries and arterioles	266259002
67844	173501000006110	30	7A46200	Replace aneurysm fem art by fem/pop a anast c vein graft NEC	112828007
115601	1587791000006117	30	7A1C500	Endovas insertion of stent graft for aorto-uniiliac aneurysm	428809009
