v1	medcode	clinicalevents	readcode	readterm
50598	10827	5664	"7A44000"	"Percutaneous transluminal angioplasty of iliac artery"
92277	9119	919	"7A4A200"	"Open embolectomy of femoral artery"
74978	67982	8	"7A48800"	"Bypass femoral artery by fem/peron a anast c prosthesis NEC"
78305	55877	129	"7A44z00"	"Transluminal operation on iliac artery NOS"
78675	52358	53	"7A11.00"	"Replacement of aneurysmal bifurcation of aorta"
85423	68141	2	"7A41400"	"Emerg bypass comm iliac art by aorta/com iliac art anast NEC"
31738	112861	1	"7A41E00"	"Emergency bypass of iliac artery by unspecified anastomosis"
75379	17347	166	"7A4..11"	"Leg artery operations"
69365	95721	3	"7A17300"	"Removal of prosthesis from aorta"
57577	100113	2	"7A47.12"	"Other emergency bypass of common femoral artery"
25957	58092	1	"7A46100"	"Replace aneurysm pop art by pop/pop art anastom c prosth NEC"
60210	96656	6	"7A46z00"	"Other replacement of aneurysmal femoral/popliteal artery NOS"
115030	45474	18	"7A13z00"	"Emergency replacement of aneurysmal segment of aorta NOS"
71981	1826	15523	"G73..12"	"Ischaemia of legs"
86722	55476	1	"7A45000"	"Emerg replace aneurysm fem art by fem/pop art anast c prosth"
69412	30466	184	"7A1A100"	"Percutaneous transluminal angioplasty of aorta NEC"
89629	103988	3	"7A45.12"	"Emergency replacement of aneurysmal common femoral artery"
85584	98565	1	"7A1Cy00"	"OS translum ins stent graft for aneurysmal segment of aorta"
22624	64798	35	"7A12z00"	"Other bypass of bifurcation of aorta NOS"
44132	99787	42	"7A1BB00"	"Endovascular ins stent for aortic dissection in any position"
11672	53163	34	"7A19.00"	"Other open operations on aorta"
56507	47538	33	"7A4Az00"	"Other open operation on femoral or popliteal artery NOS"
35188	115697	1	"7A46600"	"Replace aneurysm fem art by fem/tib a anast c vein graft NEC"
66940	66879	4	"7A47700"	"Emerg bypass pop art by pop/tib art anast c vein graft NEC"
19676	36928	34	"7A19z00"	"Other open operation on aorta NOS"
34571	89731	137	"7A1AA00"	"Percutaneous transluminal insertion of stent into aorta"
37486	70922	4	"7A47D00"	"Emerg bypass popliteal artery by pop/fem art anastomosis NEC"
89701	53580	35	"7A43.11"	"Other open operations on common iliac artery"
41015	40068	6	"G731100"	"Presenile gangrene"
12667	55319	53	"7A18200"	"Plastic repair of aorta using patch graft"
38029	36065	26	"7A42011"	"Endarterectomy and patch repair of common iliac artery"
114964	45428	78	"7A48C00"	"Bypass femoral artery by femoral/femoral art anastomosis NEC"
27037	62775	2	"7A47B00"	"Emerg bypass pop art by pop/peron art anast c vein graft NEC"
86774	96654	1	"7A11000"	"Emerg repl aneurysm bifurc aorta by anast aorta to fem art"
71980	6827	3201	"G73..13"	"Peripheral ischaemia"
40732	34638	148	"G731.00"	"Thromboangiitis obliterans"
105104	106780	7	"7A1B900"	"Endovascular insertion stent for suprarenal aortic aneurysm"
5798	44553	57	"7A14300"	"Replace aneurys infrarenal aorta by anast aorta to aorta NEC"
77697	43108	934	"7A14.00"	"Other replacement of aneurysmal segment of aorta"
42693	100195	7	"7A1B600"	"Endovascular stenting for aortic aneurysm of bifurcation NEC"
61762	36651	112	"7A14z00"	"Other replacement of aneurysmal segment of aorta NOS"
6267	61256	32	"7A43000"	"Repair of iliac artery NEC"
17275	97661	5	"7A46C00"	"Replace aneurysm fem artery by fem/fem art anastomosis NEC"
100503	24371	325	"7A18.00"	"Plastic repair of aorta"
68184	83527	14	"7A1B300"	"Endovascular stenting of aortic dissection in any position"
24866	97109	3	"7A1B700"	"Endovascular stenting for aorto-uniiliac aneurysm"
46861	6853	18902	"G73z011"	"Claudication"
4345	65669	10	"7A49700"	"Profundoplasty of popliteal artery NEC"
46394	6256	272	"7A4B200"	"Percutaneous transluminal embolectomy of femoral artery"
3753	33430	218	"7A19400"	"Operation on aneurysm of aorta NEC"
5688	112536	1	"7A45z00"	"Emergency replacement aneurysmal femoral/popliteal art NOS"
69059	43651	31	"7A47000"	"Emerg bypass femoral art by fem/pop art anast c prosth NEC"
28323	14895	1379	"7A12111"	"Aorto bifemoral graft"
63280	53634	136	"R054200"	"[D]Gangrene of toe in diabetic"
69270	56510	18	"7A11300"	"Replace aneurysm bifurc aorta by anast aorta to iliac artery"
114435	115213	1	"7A46800"	"Replace aneurysm fem art by fem/peron art anast c prosth NEC"
33854	66232	11	"7A13300"	"Emerg replace aneurysm infrarenal aorta by anast aorta/aorta"
84659	36443	53	"7A41300"	"Bypass iliac artery by femoral/femoral art anastomosis NEC"
98097	12331	1335	"7A48.15"	"Other bypass of popliteal artery"
71337	72632	4	"A3A0F00"	"Gas gangrene-foot"
70119	96912	5	"7A1A800"	"Transluminal aortic stent graft with fenestration NEC"
40933	103731	4	"7A46.15"	"Other replacement of aneurysmal superficial femoral artery"
3465	98542	32	"7A1BA00"	"Endovascular insertion of stent for thoracic aortic aneurysm"
65258	93468	8	"C10EG00"	"Type 1 diabetes mellitus with peripheral angiopathy"
66265	41583	19	"7A4By00"	"Transluminal operation on femoral or popliteal artery OS"
57715	48700	25	"7A48700"	"Bypass popliteal artery by pop/tib a anast c vein graft NEC"
39760	41823	81	"7A48600"	"Bypass femoral artery by fem/tib art anast c vein graft NEC"
77946	55394	2	"7A45D00"	"Emerg replace aneurysm pop artery by pop/fem art anastomosis"
32151	65025	102	"C107z00"	"Diabetes mellitus NOS with peripheral circulatory disorder"
80832	46168	93	"7A4y.00"	"Other specified operations on iliac and femoral artery"
73241	59187	9	"7A44.11"	"Transluminal operations on common iliac artery"
57482	41825	35	"55A2.00"	"Lower limb arteriogram abnorm."
48947	67839	14	"7A10y00"	"Other specified extraanatomic bypass of aorta"
30207	92925	10	"7A11211"	"Y graft of abdominal Aortic aneurysm (emergency)"
50931	5943	34023	"G73..00"	"Other peripheral vascular disease"
108863	96255	5	"7A47600"	"Emerg bypass femoral art by fem/tib a anast c vein graft NEC"
113544	112813	1	"7A4A.12"	"Other open operations on deep femoral artery"
24287	55324	10	"7A43y00"	"Other specified other open operation on iliac artery"
52498	66761	7	"7A11z00"	"Replacement of aneurysmal bifurcation of aorta NOS"
78948	94331	46	"7A1C.00"	"Translum insert stent graft for aneurysmal segment of aorta"
101598	28777	1122	"7A49000"	"Endarterectomy and patch repair of femoral artery"
110721	24097	50	"7A48300"	"Bypass popliteal artery by pop/pop a anast c vein graft NEC"
45967	31053	60	"R054300"	"[D]Widespread diabetic foot gangrene"
64179	42115	59	"7A48D00"	"Bypass popliteal artery by pop/fem artery anastomosis NEC"
33981	35023	124	"7A1y.00"	"Other specified operations on aorta"
82479	17220	949	"7A13.11"	"Emergency repair of aortic aneurysm"
104530	31822	15	"7A15.00"	"Other emergency bypass of segment of aorta"
61778	59534	119	"14NB.00"	"H/O: Peripheral vascular disease procedure"
75863	23497	877	"G731000"	"Buerger's disease"
67201	107284	2	"7A17y00"	"Other specified attention to prosthesis of aorta"
28527	40619	4	"7A4B500"	"Percutaneous transluminal embolisation of popliteal artery"
17158	89198	26	"7A1A500"	"Percutaneous transluminal balloon angioplasty stenting aorta"
101241	105621	2	"Gyu7800"	"[X]Aneurysm of aorta in diseases classified elsewhere"
87152	101835	1	"7A15y00"	"Other specified other emergency bypass of segment of aorta"
66082	3778	238	"7A12311"	"Aorto biiliac graft"
44956	39443	32	"7A4B611"	"Arteriography of popliteal artery"
33843	55554	14	"7A41B00"	"Bypass leg artery by aorta/com femoral art anastomosis NEC"
89631	46125	45	"7A45.14"	"Emergency replacement of aneurysmal popliteal artery"
8144	15863	591	"G73z100"	"Spasm of peripheral artery"
40930	111896	2	"7A46.12"	"Other replacement of aneurysmal common femoral artery"
16569	91462	64	"7A1C200"	"Endov insertion of stent graft for thoracic aortic aneurysm"
8258	97030	8	"7A1B100"	"Endovascular stenting of suprarenal aortic aneurysm"
74575	39437	239	"7A4A300"	"Open embolectomy popliteal artery"
40932	44439	116	"7A46.14"	"Other replacement of aneurysmal popliteal artery"
57575	39776	146	"7A47.14"	"Other emergency bypass of popliteal artery"
52474	97596	1	"7A17z00"	"Attention to prosthesis of aorta NOS"
27407	106488	4	"7A40y00"	"Other specified replacement of aneurysmal iliac artery"
48253	36136	37	"7A49300"	"Endarterectomy of popliteal artery NEC"
56697	37577	64	"7A44211"	"Arteriography of common iliac artery"
32551	104910	453	"9hS..00"	"Exception report: peripherl arterial disease quality indicat"
96735	28651	179	"7A4z.00"	"Iliac and femoral artery operations NOS"
101960	49319	43	"7A4A.14"	"Other open operations on superficial femoral artery"
16652	105704	664	"9OXE100"	"Influenza vaccination invitation second email"
55975	43179	31	"7A19000"	"Endarterectomy of aorta and patch repair of aorta"
111002	101866	62	"G73z012"	"Vascular claudication"
115242	94682	7	"7A1C100"	"Endovas insert of stent graft for suprarenal aortic aneurysm"
87392	68320	18	"7A47z00"	"Other emergency bypass of femoral or popliteal artery NOS"
42081	39949	115	"G732200"	"Gangrene of finger"
110279	66869	4	"7A4A800"	"Repair of popliteal artery with temporary silastic shunt"
104605	98211	7	"7A17.00"	"Attention to prosthesis of aorta"
66576	19825	80	"5593.00"	"Femoral arteriogram abnormal"
34625	102031	2	"7A15400"	"Emerg bypass abdominal aorta by anastom aorta to aorta NEC"
48158	103427	7	"7A1C500"	"Endovas insertion of stent graft for aorto-uniiliac aneurysm"
8983	98175	7	"7A1BD00"	"Endovascular insertion of stent for aorto-uniiliac aneurysm"
68915	51720	76	"7A4B.15"	"Transluminal procedure on superficial femoral artery"
53778	72491	8	"7A47.11"	"Other emerg bypass femoral or popliteal art by anastomosis"
105417	62264	36	"7A6G700"	"Insertion of vascular closure device"
113997	90861	13	"7A1Bz00"	"Transluminal operations on aneurysmal segment of aorta NOS"
76957	51211	60	"7A42100"	"Endarterectomy of iliac artery NEC"
65600	9561	3528	"2G63.00"	"Ischaemic toe"
54870	24327	3269	"M271000"	"Ischaemic ulcer diabetic foot"
60554	95976	55	"7A1B500"	"Endovascular stenting of aorto-uniiliac aneurysm"
101877	44250	11	"7A41000"	"Emerg bypass iliac art by iliac/femoral art anastomosis NEC"
90229	5702	4603	"G73..11"	"Peripheral ischaemic vascular disease"
74223	64555	9	"7A48100"	"Bypass popliteal artery by pop/pop a anast c prosthesis NEC"
107410	115355	1	"7A45.11"	"Emerg replacement aneurysmal femoral/popl art by anastomosis"
32116	65926	3	"7A16100"	"Bypass of thoracic aorta by anastomosis aorta to aorta NEC"
12076	63408	30	"7A13411"	"Tube graft abdominal Aortic aneurysm (emergency)"
8189	25735	342	"7A1z.00"	"Aorta operations NOS"
7991	2761	1163	"7A12100"	"Bypass bifurc aorta by anastom aorta to femoral artery NEC"
105848	51061	27	"7A1B200"	"Endovascular stenting of thoracic aortic aneurysm"
87627	4325	9700	"G73yz00"	"Other specified peripheral vascular disease NOS"
75068	18030	22	"7A4B800"	"Percut translum thrombolysis femoral graft streptokinase"
86976	86810	26	"7A1A600"	"Percutan transluminal aortic stent graft fenestration NEC"
14220	41768	203	"7A41F00"	"Ilio-femoral prosthetic cross over graft"
13865	109431	1	"7A40200"	"Emerg replace aneurysmal iliac artery by fem/fem art anast"
85245	52342	25	"7A47200"	"Emerg bypass femoral art by fem/pop a anast c vein graft NEC"
16605	95573	7	"7A10000"	"Emerg aortic bypass by anastomosis axillary to femoral art"
21281	63711	19	"7A4Bz00"	"Transluminal operation on femoral or popliteal artery NOS"
6716	67401	5	"G731z00"	"Thromboangiitis obliterans NOS"
113542	60212	17	"7A4A.11"	"Other open operations on common femoral artery"
38027	59602	24	"7A42012"	"Iliac endarterectomy and patch"
81592	46465	209	"7A4B.00"	"Transluminal operations on femoral or popliteal artery"
3403	99722	2	"7A13000"	"Emerg replace aneurysm asc aorta by anastom aorta to aorta"
85833	1318	2612	"G700.00"	"Aortic atherosclerosis"
87441	52473	70	"7A4B.14"	"Transluminal procedure on popliteal artery"
112947	59756	21	"7A40.00"	"Replacement of aneurysmal iliac artery"
65031	105136	6	"7A18400"	"Revision of plastic repair of aorta"
113543	20892	128	"7A4A.13"	"Other open operations on popliteal artery"
115143	17336	577	"7A4A212"	"Open femoral embolectomy"
68735	57141	19	"7A1A.00"	"Transluminal operations on aorta"
47509	57539	31	"7A1A.11"	"Percutaneous transluminal operations on aorta"
9708	48939	18	"7A47C00"	"Emerg bypass femoral artery by fem/fem art anastomosis NEC"
101809	28166	107	"7A12112"	"Dacron aortofemoral Y graft"
77773	37639	89	"7A16.00"	"Other bypass of segment of aorta"
16903	38907	234	"G73y.00"	"Other specified peripheral vascular disease"
75906	105317	2984	"G734.00"	"Peripheral arterial disease"
94113	42751	24	"7A16z00"	"Other bypass of segment of aorta NOS"
86035	95503	4	"7A40z00"	"Replacement of aneurysmal iliac artery NOS"
81712	47562	37	"7A43111"	"Open embolectomy of common iliac artery"
64777	19155	944	"G700.11"	"Aorto-iliac disease"
35199	106855	1065	"9m12.00"	"Peripheral vascular disease monitoring third letter"
33130	54192	16	"7A13400"	"Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC"
92692	2066	3597	"7A48z00"	"Other bypass of femoral artery or popliteal artery NOS"
99530	29112	2086	"7A4B100"	"Percutaneous transluminal angioplasty of popliteal artery"
64107	52289	95	"7A4B300"	"Percutaneous transluminal embolectomy of popliteal artery"
100462	110617	1	"7A45C00"	"Emerg replace aneurysm fem artery by fem/fem art anastomosis"
64915	56429	42	"P76z.00"	"Peripheral vascular system anomaly NOS"
41217	112402	1	"C107y00"	"Other specified diabetes mellitus with periph circ comps"
107872	30484	273	"R055011"	"[D]Peripheral circulatory failure"
25609	70446	116	"7A1B000"	"Endovascular stenting infrarenal abdominal aortic aneurysm"
37215	32403	305	"C107.11"	"Diabetes mellitus with gangrene"
91243	20078	119	"7A18z00"	"Plastic repair of aorta NOS"
37214	32556	170	"C107.12"	"Diabetes with gangrene"
115276	23352	130	"7A10100"	"Bypass aorta by anastomosis axillary to femoral artery NEC"
98098	37787	50	"7A48.12"	"Other bypass of common femoral artery"
5586	28616	123	"7A41100"	"Bypass iliac artery by iliac/femoral artery anastomosis NEC"
23594	34037	261	"7A43300"	"Open insertion of iliac artery stent"
93650	21927	269	"7A41.00"	"Other bypass of iliac artery"
90051	28840	485	"7A4A500"	"Operation on aneurysm of femoral artery NEC"
75541	17328	1203	"7A1..00"	"Aorta operations"
72696	62818	17	"7A42000"	"Endarterectomy and patch repair of iliac artery"
42178	54212	10	"C109F00"	"Non-insulin-dependent d m with peripheral angiopath"
46563	99676	2	"7A47800"	"Emerg bypass femoral art by fem/peron art anast c prosth NEC"
37286	71041	19	"7A4B400"	"Percutaneous transluminal embolisation of femoral artery"
87122	15532	170	"7A12300"	"Bypass bifurcation aorta by anastom aorta to iliac artery"
90436	51166	40	"7A11311"	"Y graft abdominal Aortic aneurysm"
66847	66930	23	"7A44100"	"Percutaneous transluminal embolectomy of iliac artery"
34085	89714	35	"7A1C300"	"Endov ins stent graft for aortic dissection in any position"
30077	60465	10	"7A48500"	"Bypass popliteal artery by pop/tib a anast c prosthesis NEC"
14957	66810	1	"7A15000"	"Emerg bypass ascending aorta by anastom aorta to aorta NEC"
111522	53675	33	"7A48A00"	"Bypass femoral artery by fem/peron a anast c vein graft NEC"
6498	102725	4	"Gyu7100"	"[X]Aortic aneurysm of unspecified site, ruptured"
60961	28894	10	"7A44y00"	"Other specified transluminal operation on iliac artery"
535	101910	3	"7A41.11"	"Other bypass of iliac artery by anastomosis"
87446	107740	4	"7A4B.11"	"Transluminal procedure on common femoral artery"
85732	18499	20647	"662U.00"	"Peripheral vascular disease monitoring"
48100	106224	2963	"9m1..00"	"Peripheral vascular disease monitoring invitation"
28216	26232	60	"7A14411"	"Tube graft of Abdominal aortic aneurysm"
24291	51057	15	"G732300"	"Gangrene of thumb"
96082	83577	330	"7A1C000"	"Endovas ins stent graft for infrarenal abdom aortic aneurysm"
55084	63368	7	"7A4A700"	"Repair of femoral artery with temporary silastic shunt"
35926	9099	142	"7A47.00"	"Other emergency bypass of femoral artery or popliteal artery"
7344	15302	503	"G742z00"	"Peripheral arterial embolism and thrombosis NOS"
48988	57793	32	"7A49400"	"Profundoplasty femoral artery & patch repair deep fem artery"
65924	18816	2353	"7A49200"	"Endarterectomy of femoral artery NEC"
33353	94069	15	"7A1C400"	"Endovas insertion of stent graft for aortic bifurcation NEC"
43842	34153	793	"7A10200"	"Axillo-bifemoral bypass graft"
72422	48846	80	"7A4A600"	"Operation on popliteal artery NEC"
97588	95416	1	"7A46D00"	"Replace aneurysm popliteal artery by pop/fem anastomosis NEC"
53242	45477	9	"7A13y00"	"Emergency replacement of aneurysmal segment of aorta OS"
56953	27580	656	"7A48000"	"Bypass femoral artery by fem/pop art anast c prosthesis NEC"
77675	36952	126	"7A12.00"	"Other bypass of bifurcation of aorta"
77788	3530	71320	"G73z.00"	"Peripheral vascular disease NOS"
105411	87370	14	"7A1A700"	"Percutaneous transluminal aortic stent graft branches NEC"
92714	107158	3	"7A48900"	"Bypass popliteal artery by pop/peron art anast c prosth NEC"
114890	104639	47	"C10FF11"	"Type II diabetes mellitus with peripheral angiopathy"
90820	40397	108	"7A4A.00"	"Other open operations on femoral artery or popliteal artery"
42022	99068	3	"7A45300"	"Emerg replace aneurys pop art by pop/pop a anast c vein graf"
115269	71141	3	"7A46300"	"Replace aneurysm pop art by pop/pop a anast c vein graft NEC"
77175	112511	1	"7A47A00"	"Emerg bypass fem art by fem/peron a anast c vein graft NEC"
51823	69922	7	"7A11200"	"Emerg repl aneurysm bifurc aorta by anast aorta to iliac a"
79596	115472	1	"7A1A900"	"Transluminal aortic stent graft with branches NEC"
18296	102719	1	"Gyu7200"	"[X]Aortic aneurysm of unspecified site, nonruptured"
37118	33555	180	"7A4A000"	"Repair of femoral artery NEC"
115141	16363	289	"7A4A211"	"Open thrombectomy of femoral artery"
68462	61666	24	"7A45.00"	"Emergency replacement of aneurysmal femoral/popliteal artery"
6983	37806	201	"C10FF00"	"Type 2 diabetes mellitus with peripheral angiopathy"
87444	104394	4726	"9hS0.00"	"Excepted frm peripheral arterial dis qual ind: pt unsuitable"
59866	62025	3	"7A45200"	"Emerg replace aneurysm fem art by fem/pop anast c vein graft"
87360	110926	968	"8CMG700"	""
61100	53050	6	"7A16000"	"Bypass of ascending aorta by anastomosis aorta to aorta NEC"
97965	100579	12	"Gyu7000"	"[X]Atherosclerosis of other arteries"
102647	98174	2479	"G733.00"	"Ischaemic foot"
86833	52357	22	"7A41y00"	"Other specified other bypass of iliac artery"
32846	70448	4	"C107000"	"Diabetes mellitus, juvenile +peripheral circulatory disorder"
10170	55402	16	"7A19200"	"Open embolectomy of bifurcation of aorta"
92016	39962	35	"7A18000"	"Plastic repair of aorta and end to end anastomosis of aorta"
83403	52695	21	"7A49100"	"Endarterectomy and patch repair of popliteal artery"
16443	50122	15	"7A1A200"	"Percutaneous transluminal embolectomy of aortic bifurcation"
95475	7111	1849	"7A44300"	"Insertion of iliac artery stent"
97054	38546	80	"7A1..11"	"Dacron graft operations on aorta"
111060	28119	76	"7A4A100"	"Repair of popliteal artery NEC"
95197	104815	1	"7A15z00"	"Other emergency bypass of segment of aorta NOS"
79735	100712	0	"7A10z00"	"Extraanatomic bypass of aorta NOS"
91980	28030	572	"7A48200"	"Bypass femoral artery by fem/pop art anast c vein graft NEC"
51928	65813	4	"7A17200"	"Revision of prosthesis of abdominal aorta NEC"
26019	40302	317	"7A10300"	"Axillo-unifemoral PTFE bypass graft"
85341	67818	3	"7A47100"	"Emerg bypass popliteal art by pop/pop art anast c prosth NEC"
75884	9204	1477	"G732.00"	"Peripheral gangrene"
55642	40028	101	"7A1A311"	"Arteriography of aorta"
65383	36008	124	"7A19100"	"Endarterectomy of aorta NEC"
21638	47835	191	"7A49600"	"Profundoplasty of femoral artery NEC"
93933	86053	13	"7A19y00"	"Other specified other open operation on aorta"
48602	81445	311	"7A4B900"	"Percutaneous transluminal insertion of stent femoral artery"
73417	57822	9	"7A43z00"	"Other open operation on iliac artery NOS"
51839	114056	2	"7A41A00"	"Bypass iliac artery by aorta/ext iliac art anastomosis NEC"
105882	66820	6	"7A47400"	"Emerg bypass femoral art by fem/tib art anast c prosth NEC"
107286	113851	1	"7A48.13"	"Other bypass of deep femoral artery"
35929	95381	12	"Gyu7300"	"[X]Aneurysm of other specified arteries"
475	114791	1	"7A46B00"	"Replace aneurys pop art by pop/peron a anast c vein graf NEC"
13337	68412	6	"7A48B00"	"Bypass popliteal art by pop/peron art anast c vein graft NEC"
99264	1736	10814	"7A14.11"	"Aortic aneurysm repair"
104105	18423	776	"G76A.00"	"Arterial insufficiency"
85148	56803	77	"C107400"	"NIDDM with peripheral circulatory disorder"
4695	24692	2390	"7A48.00"	"Other bypass of femoral artery or popliteal artery"
52785	48768	22	"7A1Az00"	"Transluminal operation on aorta NOS"
35717	44097	72	"7A44.00"	"Transluminal operations on iliac artery"
68534	51331	36	"7A43.00"	"Other open operations on iliac artery"
8125	61978	10	"7A16300"	"Bypass of infrarenal aorta by anastomosis aorta to aorta NEC"
102184	5414	1948	"G732000"	"Gangrene of toe"
86460	54379	1	"7A14200"	"Replace aneurys suprarenal aorta by anast aorta to aorta NEC"
33937	66316	5	"7A17100"	"Revision of prosthesis of bifurcation of aorta"
40929	68385	2	"7A46.11"	"Other replacement aneurysmal femoral artery by anastomosis"
97564	53891	8	"7A1Ay00"	"Other specified transluminal operation on aorta"
83690	70635	12	"7A4B700"	"Arteriography of popliteal artery"
6975	23672	16	"G732400"	"Gangrene of hand"
67704	33807	69	"C107200"	"Diabetes mellitus, adult with gangrene"
31188	63605	5	"7A49500"	"Profundoplasty and patch repair of popliteal artery"
97285	62301	1	"7A11y00"	"Replacement of aneurysmal bifurcation of aorta OS"
113003	59518	13	"7A16y00"	"Other specified other bypass of segment of aorta"
103701	61255	17	"7A43100"	"Open embolectomy of iliac artery"
69284	32492	15	"7A41900"	"Bypass common iliac artery by aorta/com iliac art anast NEC"
114939	93060	1	"7A13100"	"Emerg replace aneurysm thor aorta by anastom aorta to aorta"
