v1	medcodeid	observations	cleansedreadcode	term	snomedctconceptid
87805	639921000006111	1	"7A45.11"	"Emergency replacement of aneurysmal femoral or popliteal artery by anastomosis"	275255004
115603	1587811000006118	20	"7A1Cz00"	"Translum ins stent graft for aneurysmal segment of aorta NOS"	233404000
17162	272055015	800	"7A4B200"	"Percutaneous transluminal embolectomy of femoral artery"	175717006
99456	913941000006114	2	"C10EG11"	"Peripheral angiopathy due to type 1 diabetes mellitus"	31211000119101
91223	745391000000111	10	"7A1AB00"	"Transluminal aortic branched stent graft NEC"	233404000
63169	17311000006112	8	"7A46.11"	"Other replacement aneurysmal femoral artery by anastomosis"	405463009
67849	173551000006114	4	"7A40A00"	"Replace aneurysm iliac art by aorta/ext iliac art anast NEC"	116360008
27690	300505017	10000	"G732000"	"Gangrene of toe"	195302000
195638	7848701000006116	10	" "	"Acute occlusion of artery of lower limb co-occurrent and due to thromboembolus"	723870003
96885	884661000006110	700	"G742z99"	"Peripheral arterial embolism"	583731000000103
67846	173521000006117	6	"7A46600"	"Replace aneurysm fem art by fem/tib a anast c vein graft NEC"	233383008
87867	641691000006118	200	"7A42000"	"Endarterectomy of iliac artery and patch repair of iliac artery"	265517007
87801	639891000006117	3	"7A13200"	"Emergency replacement of aneurysmal segment of suprarenal abdominal aorta by anastomosis of aorta to aorta"	175300001
54600	1222508013	300	"R055011"	"[D]Peripheral circulatory failure"	27942005
44395	394338018	400	"7A47.00"	"Other emergency bypass of femoral artery or popliteal artery"	405516005
33171	313563016	200	"P76z.00"	"Peripheral vascular system anomaly NOS"	204492002
95143	866121000006119	20	"7A4B697"	"Retrograde femoral arteriogram"	265531007
136398	2231891000000112	10000	"9m11.00"	"Peripheral vascular disease monitoring second letter"	863151000000105
47003	410965018	100	"7A42111"	"Endarterectomy of common iliac artery"	233304004
87868	641701000006118	80	"7A49100"	"Endarterectomy of popliteal artery and patch repair of popliteal artery"	175690001
87762	639491000006119	30	"7A41200"	"Emerg bypass iliac artery by femoral/femoral art anast NEC"	233380006
87767	639531000006119	1	"7A41700"	"Emerg bypass leg artery by aorta/deep fem anastomosis NEC"	405482000
69387	218531000000113	4000	"G700.00"	"Atherosclerosis of aorta"	81817003
42161	350535018	10000	"G73..11"	"Peripheral ischaemic vascular disease"	233958001
87809	640081000006119	100	"7A41211"	"Emergency femoro-femoral prosthetic cross over graft"	275040003
84642	530111000006119	400	"7A48800"	"Bypass femoral artery by fem/peron a anast c prosthesis NEC"	233383008
62839	11211000006110	30	"7A10y00"	"Other specified extraanatomic bypass of aorta"	175275009
87799	639871000006118	2	"7A45500"	"Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to tibial artery using prosthesis"	175625002
88630	668731000006114	600	"7A41311"	"Femoro-femoral prosthetic cross over graft"	175685004
16980	271513018	100	"7A19z00"	"Other open operation on aorta NOS"	32907006
87782	639711000006118	5	"7A45300"	"Emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to popliteal artery using vein graft"	175623009
100606	931881000006115	200	"7A4B099"	"Angioplasty of femoral artery"	175715003
125086	1813501000006114	10000	"9hS0.00"	"Excepted from peripheral arterial disease quality indicators: patient unsuitable"	822641000000104
47015	410978018	100	"7A4A.14"	"Other open operations on superficial femoral artery"	118805000
83413	488261000006110	2000	"7A1..00"	"Operation on aorta"	32907006
17140	271908013	30	"7A44z00"	"Transluminal operation on iliac artery NOS"	265522007
42097	349671012	10	"7A47.12"	"Other emergency bypass of common femoral artery"	116360008
84669	530781000006110	100	"7A48B00"	"Bypass popliteal art by pop/peron art anast c vein graft NEC"	233384002
27890	300959012	300	"Gyu7000"	"[X]Atherosclerosis of other arteries"	72092001
46999	410960011	400	"7A11311"	"Y graft abdominal Aortic aneurysm"	275037003
61198	2675440012	400	"7A18600"	"Repair of interrupted aortic arch"	426869003
122254	1767701000006110	100	"7A10400"	"Bypass of aorta by anastomosis of axillary artery to bilateral femoral arteries"	233379008
199484	8279141000006112	200	" "	"H/O intermittent claudication"	837591000000108
17128	271865013	3	"7A41E00"	"Emergency bypass of iliac artery by unspecified anastomosis"	405477007
16963	271489013	20	"7A17100"	"Revision of prosthesis of bifurcation of aorta"	175332001
83473	489951000000119	20	"7A1A800"	"Transluminal aortic stent graft with fenestration NEC"	233404000
99018	906771000006113	300	" "	"[RFC] Peripheral vascular disease"	906771000006109
91226	745471000000118	300	"7A1BA00"	"Endovascular insertion of stent for thoracic aortic aneurysm"	378491000000109
86991	616441000006113	4000	"C107.00"	"Peripheral vascular disorder due to diabetes mellitus"	421895002
42103	349689013	200	"7A11211"	"Y graft of abdominal aortic aneurysm - emergency"	233374003
50440	459306016	50	"C10FF11"	"Type II diabetes mellitus with peripheral angiopathy"	314902007
203489	12717471000006112	1	" "	"Peripheral vascular system anomaly NOS"	204492002
181135	5898341000006114	2	" "	"Ischemic foot"	301755001
83549	491511000006115	70	"7A4B611"	"Arteriography of popliteal artery"	175722006
42096	349670013	4	"7A47.13"	"Other emergency bypass of deep femoral artery"	116360008
87766	639521000006117	6	"7A41600"	"Emerg bypass leg artery by aorta/com fem art anastomosis NEC"	116360008
63765	31361000006114	20	"7A47y00"	"Other emergency bypass of femoral or popliteal artery OS"	405516005
47001	410962015	90	"7A12312"	"Dacron aortoiliac Y graft"	275039000
87794	639831000006116	2	"7A40700"	"Emergency replacement of aneurysmal artery of leg by anastomosis of aorta to superficial femoral artery"	175569004
38433	325063014	300	"SP12.00"	"Peripheral vascular complications of care"	213217008
16948	271431019	300	"7A12.00"	"Other bypass of bifurcation of aorta"	233373009
24882	292523015	700	"C107z00"	"Diabetes mellitus NOS with peripheral circulatory disorder"	421895002
42093	349667014	300	"7A47.16"	"Other emergency bypass of femoral artery"	405463009
67838	173441000006111	500	"7A14400"	"Replace aneurysm abdominal aorta by anast aorta to aorta NEC"	448122008
16972	271504015	300	"7A18y00"	"Other specified plastic repair of aorta"	175337007
16964	271490016	6	"7A17200"	"Revision of prosthesis of abdominal aorta NEC"	118809006
17150	272030014	400	"7A4A100"	"Repair of popliteal artery"	405375003
17156	272036015	300	"7A4A400"	"Ligation of aneurysm of popliteal artery"	175706005
69900	225521000006116	200	"7A18100"	"Repair of aorta with subclavian flap"	175339005
84652	530201000006110	400	"7A41100"	"Bypass of iliac artery by anastomosis of iliac artery to femoral artery"	51018000
47005	410967014	100	"7A43011"	"Repair of common iliac artery"	450704009
65086	84961000006116	20	"C109F11"	"Type II diabetes mellitus with peripheral angiopathy"	314902007
44383	394321017	3000	"7A4..00"	"Iliac and femoral artery operations"	265511008
27900	300970017	30	"Gyu7A00"	"[X]Peripheral angiopathy in diseases classified elsewhere"	400047006
67860	173661000006112	8	"7A40100"	"Replace aneurysmal iliac art by iliac/femoral art anast NEC"	265512001
44375	394309016	50	"7A1A.00"	"Transluminal operations on aorta"	265499009
17160	272042016	3	"7A4A800"	"Repair of popliteal artery with temporary silastic shunt"	175711007
17135	271896016	30	"7A43z00"	"Other open operation on iliac artery NOS"	265511008
84659	530261000006111	200	"7A16400"	"Bypass of abdominal aorta by anastomosis aorta to aorta NEC"	116360008
16977	271509013	50	"7A19200"	"Open embolectomy of bifurcation of aorta"	175348000
84638	530071000006110	200	"7A12300"	"Bypass of bifurcation of aorta by anastomosis of aorta to iliac artery"	265495003
16946	271416011	700	"7A10300"	"Axillo-unifemoral PTFE bypass graft"	175279003
44391	394332017	200	"7A43100"	"Open embolectomy of iliac artery"	265521000
47023	410986018	30	"7A4B.13"	"Transluminal procedure on femoral artery"	275063008
17165	272061017	10	"7A4B500"	"Percutaneous transluminal embolisation of popliteal artery"	175720003
16986	271525015	300	"7A1y.00"	"Other specified operations on aorta"	32907006
84668	530731000006114	20	"7A16100"	"Bypass of thoracic aorta by anastomosis aorta to aorta NEC"	116360008
67862	173691000006116	200	"7A11.00"	"Replacement of aneurysmal bifurcation of aorta"	175282008
83846	501011000006118	2000	"7A10200"	"Axillofemoral bypass graft"	388997005
63764	31351000006112	30	"7A47z00"	"Other emergency bypass of femoral or popliteal artery NOS"	116360008
95142	866111000006110	30	"7A4B696"	"Translumbar femoral arteriogr."	265531007
42104	349693019	800	"7A14411"	"Tube graft of Abdominal aortic aneurysm"	233376001
87793	639821000006119	1	"7A40600"	"Emergency replacement of aneurysmal artery of leg by anastomosis of aorta to common femoral artery"	175568007
83409	488221000000111	200	"7A1B600"	"Abdominal aortic aneurysm stenting"	307701005
75785	359211000000113	30	"7A1B400"	"Endovascular stenting of aortic bifurcation NEC"	307701005
27692	300507013	1000	"G732200"	"Gangrene of finger"	195304004
48145	443199013	10000	"G733.00"	"Ischaemic foot"	301755001
114131	1548221000006118	4	"7A1By00"	"OS transluminal operations on aneurysmal segment of aorta"	265499009
115595	1587731000006116	100	"7A1C.00"	"Transluminal insertion of stent graft for aneurysmal segment of aorta"	281261000000105
17145	272018015	30	"7A49700"	"Profundoplasty of popliteal artery NEC"	405376002
47020	410983014	40	"7A4B.11"	"Transluminal procedure on common femoral artery"	275060006
118683	1696221000006116	3000	" "	"Peripheral vascular disease monitoring first letter"	1696221000006100
27898	300968014	100	"Gyu7800"	"[X]Aneurysm of aorta in diseases classified elsewhere"	67362008
87804	639911000006115	1	"7A40200"	"Emergency replacement of aneurysmal iliac artery by anastomosis of femoral artery to femoral artery"	175564009
47126	411214011	200	"7A43111"	"Open embolectomy of common iliac artery"	275254000
75788	359231000000117	100	"7A1B500"	"Endovascular stenting of aorto-uniiliac aneurysm"	225041000000107
96584	881511000006113	700	"C107.99"	"Diabetes + periph.circulat.dis"	422275004
114127	1548121000006111	200	"7A1A500"	"Percutaneous transluminal balloon angioplasty with insertion of stent into aorta"	428062003
69854	223991000000116	2000	"G700.11"	"Aortoiliac disease"	233956002
164636	5058111000006119	300	" "	"Critical lower limb ischaemia"	233962007
87866	641681000006116	3000	"7A49000"	"Endarterectomy of femoral artery and patch repair of femoral artery"	175689005
42099	349675015	1	"7A45.13"	"Emergency replacement of aneurysmal deep femoral artery"	233367008
65237	89901000006118	40	"7A4By00"	"Transluminal operation on femoral or popliteal artery OS"	265530008
22662	286570019	100	"A3A0F00"	"Gas gangrene-foot"	186423003
63174	17401000006117	200	"7A14y00"	"Other replacement of aneurysmal segment of aorta OS"	450682002
16958	271479014	100	"7A16.00"	"Other bypass of segment of aorta"	116360008
87776	639621000006118	8	"7A15100"	"Emerg bypass thoracic aorta by anatomosis aorta to aorta NEC"	116360008
84641	530091000006111	80	"7A41900"	"Bypass common iliac artery by aorta/com iliac art anast NEC"	116360008
118681	1696201000006114	20000	" "	"Peripheral vascular disease annual review"	1696201000006105
87770	639551000006114	20	"7A47300"	"Emerg bypass pop art by pop/pop art anast c vein graft NEC"	233384002
67851	173571000006116	3	"7A40B00"	"Replace aneurysm leg artery by aorta/com fem art anast NEC"	116360008
16969	271500012	100	"7A18200"	"Plastic repair of aorta using patch graft"	175340007
67848	173541000006112	7	"7A46C00"	"Replace aneurysm fem artery by fem/fem art anastomosis NEC"	44662004
84672	530811000006112	70	"7A48100"	"Bypass popliteal artery by pop/pop a anast c prosthesis NEC"	233384002
47004	410966017	50	"7A43.11"	"Other open operations on common iliac artery"	265511008
3546	105536013	500000	"G73z000"	"Intermittent claudication"	63491006
84671	530801000006114	20	"7A48900"	"Bypass popliteal artery by pop/peron art anast c prosth NEC"	233384002
16981	271517017	700	"7A1A000"	"Percutaneous transluminal balloon angioplasty of aorta"	175354004
47006	410968016	50	"7A44.11"	"Transluminal operations on common iliac artery"	275045008
75444	356341000000113	100	"7A1B.00"	"Transluminal operations on aneurysmal segment of aorta"	265499009
156414	4392221000006118	3	" "	"Peripheral angiopathy due to diabetes mellitus"	127014009
125087	1813511000006112	10000	"9hS1.00"	"Excepted from peripheral arterial disease quality indicators - informed dissent"	822671000000105
87772	639581000006118	20	"7A47100"	"Emerg bypass popliteal art by pop/pop art anast c prosth NEC"	233384002
16960	271486018	60	"7A16z00"	"Other bypass of segment of aorta NOS"	116360008
86987	616351000006115	400	"C107.11"	"Diabetes mellitus with gangrene"	422275004
87803	639901000006118	8	"7A13100"	"Emergency replacement of aneurysmal segment of thoracic aorta by anastomosis of aorta to aorta"	175299009
115601	1587791000006117	30	"7A1C500"	"Endovas insertion of stent graft for aorto-uniiliac aneurysm"	428809009
44398	394341010	200	"7A4A.00"	"Other open operations on femoral artery or popliteal artery"	118805000
42087	349661010	100	"7A48.16"	"Other bypass of superficial femoral artery"	405463009
16953	271456013	60	"7A13z00"	"Emergency replacement of aneurysmal segment of aorta NOS"	175297006
16955	271471012	40	"7A15.00"	"Other emergency bypass of segment of aorta"	450682002
91469	750511000000117	60	"7A1BD00"	"Endovascular insertion of stent for aorto-uniiliac aneurysm"	225041000000107
27895	300964011	300	"Gyu7500"	"[X]Embolism and thrombosis of other arteries"	266262004
83547	491481000006111	100	"7A44211"	"Arteriography of common iliac artery"	265523002
87775	639601000006111	60	"7A47D00"	"Emerg bypass popliteal artery by pop/fem art anastomosis NEC"	116360008
67836	173421000006116	4	"7A46B00"	"Replace aneurys pop art by pop/peron a anast c vein graf NEC"	233384002
34790	317348017	200	"R054300"	"[D]Widespread diabetic foot gangrene"	195303005
84643	530121000006110	400	"7A48A00"	"Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft"	448323005
84670	530791000006113	500	"7A48D00"	"Bypass popliteal artery by pop/fem artery anastomosis NEC"	112828007
42100	349676019	8	"7A45.12"	"Emergency replacement of aneurysmal common femoral artery"	233368003
42098	349674016	60	"7A45.14"	"Emergency replacement of aneurysmal popliteal artery"	233366004
67842	173481000006117	9	"7A40900"	"Replace aneurysm com iliac a by aorta/com iliac a anast NEC"	116360008
44374	394307019	3000	"7A14.00"	"Other replacement of aneurysmal segment of aorta"	233370007
84667	530711000006115	20	"7A16200"	"Bypass of suprarenal aorta by anastomosis aorta to aorta NEC"	116360008
96876	884571000006119	200	"G702.99"	"Atherosclerosis of extremities"	195254008
87790	639791000006111	3	"7A40000"	"Emergency replacement of aneurysmal iliac artery by anastomosis of iliac artery to femoral artery"	175562008
17144	272017013	600	"7A49600"	"Profundoplasty of femoral artery NEC"	405376002
84646	530151000006118	400	"7A48400"	"Bypass femoral artery by fem/tib art anast c prosthesis NEC"	233383008
95144	866131000006116	70	"7A4B698"	"R-direct femoral arteriogram"	265531007
44388	394329015	400	"7A42100"	"Endarterectomy of iliac artery"	307800001
16982	271518010	400	"7A1A100"	"Percutaneous transluminal angioplasty of aorta NEC"	233263005
67856	173621000006118	2	"7A46700"	"Replace aneurysm pop art by pop/tib a anast c vein graft NEC"	233384002
42078	349651015	200	"7A1..11"	"Dacron graft operations on aorta"	233344006
17141	272003016	3000	"7A48z00"	"Other bypass of femoral artery or popliteal artery NOS"	405469008
17136	271900018	20000	"7A44000"	"Percutaneous transluminal angioplasty of iliac artery"	175612005
75616	357881000000111	300	"7A1B200"	"Repair of thoracic aortic aneurysm with insertion of endovascular stent"	378491000000109
87787	639761000006115	5	"7A45000"	"Emergency replacement of aneurysmal femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis"	175620007
87004	616591000006117	30	"C107000"	"Diabetes mellitus, juvenile +peripheral circulatory disorder"	421365002
17154	272034017	300	"7A4A311"	"Open thrombectomy of popliteal artery"	175705009
96880	884611000006112	7000	"G73z.99"	"Peripheral vasc. disease NOS"	646351000000103
87751	639381000006114	10	"7A12200"	"Emergency bypass of bifurcation of aorta by anastomosis of aorta to iliac artery"	175292000
2954	87208017	2000	"G731.00"	"Thromboangiitis obliterans"	52403007
87771	639561000006111	30	"7A47700"	"Emerg bypass pop art by pop/tib art anast c vein graft NEC"	233384002
164631	5057981000006111	1	" "	"Peripheral ischemic vascular disease"	233958001
84663	530511000006110	10	"7A16300"	"Bypass of infrarenal aorta by anastomosis aorta to aorta NEC"	116360008
47018	410981011	60	"7A4A.11"	"Other open operations on common femoral artery"	118805000
17143	272014018	100	"7A49300"	"Endarterectomy of popliteal artery"	233310004
27696	300511019	60	"G73y100"	"Peripheral angiopathic disease EC NOS"	400047006
42091	349665018	100	"7A48.12"	"Other bypass of common femoral artery"	405463009
99455	913931000006116	20	"C10EG00"	"Type 1 diabetes mellitus with peripheral angiopathy"	31211000119101
205042	13919651000006112	30	" "	"Ulcer of heel due to atherosclerosis of artery of lower limb"	792846001
44387	394328011	70	"7A42012"	"Iliac endarterectomy and patch"	265517007
88283	659511000006112	20	"7A10z00"	"Extraanatomic bypass of aorta NOS"	175275009
84660	530271000006116	60	"7A16000"	"Bypass of ascending aorta by anastomosis aorta to aorta NEC"	116360008
65236	89891000006117	40	"7A4Bz00"	"Transluminal operation on femoral or popliteal artery NOS"	265530008
44390	394331012	200	"7A43000"	"Repair of iliac artery"	450703003
114139	1548341000006118	1000	"7A4B900"	"Percutaneous transluminal insertion of stent into femoral artery"	426093007
75434	356241000000118	100	"7A18500"	"Plastic repair of aorta with tube graft"	428998009
17152	272032018	700	"7A4A211"	"Open thrombectomy of femoral artery"	175704008
16971	271503014	20	"7A18400"	"Revision of plastic repair of aorta"	175342004
67850	173561000006111	2	"7A40D00"	"Replace aneurysm iliac artery by iliac/iliac art anast NEC"	116360008
87756	639431000006118	200	"7A47000"	"Emerg bypass femoral art by fem/pop art anast c prosth NEC"	112828007
47016	410979014	100	"7A4A.13"	"Other open operations on popliteal artery"	118805000
83474	489971000000111	3	"7A1A900"	"Transluminal aortic stent graft with branches NEC"	233404000
87791	639801000006112	1	"7A40800"	"Emergency replacement of aneurysmal iliac artery by anastomosis of iliac artery to iliac artery"	175570003
75862	359851000000113	70	"7A1B100"	"Repair of suprarenal abdominal aortic aneurysm with insertion of endovascular stent"	378481000000107
16975	271507010	60	"7A19000"	"Endarterectomy of aorta and patch repair of aorta"	175346001
42090	349664019	40	"7A48.13"	"Other bypass of deep femoral artery"	405463009
63173	17361000006110	20	"7A46y00"	"Other replacement of aneurysmal femoral/popliteal artery OS"	405516005
119565	1715241000006112	1000	"G73z012"	"Vascular claudication"	63491006
17129	271867017	30	"7A41y00"	"Other specified other bypass of iliac artery"	116360008
17139	271907015	30	"7A44y00"	"Other specified transluminal operation on iliac artery"	265522007
16951	271446014	700	"7A13.00"	"Emergency replacement of aneurysmal segment of aorta"	175297006
48692	451376017	200	"14NB.00"	"H/O: Peripheral vascular disease procedure"	308071004
44392	394333010	80	"7A44.00"	"Transluminal operations on iliac artery"	265522007
27892	300961015	80	"Gyu7200"	"[X]Aortic aneurysm of unspecified site, nonruptured"	67362008
17127	271843013	10	"7A40z00"	"Replacement of aneurysmal iliac artery NOS"	116360008
118850	1701701000006119	100	"7A1B900"	"Endovascular insertion of stent for suprarenal aortic aneurysm"	378481000000107
