prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues
868241000033119	"284011000001104"	"Marevan 3mg tablets (Advanz Pharma)"	"Marevan 3mg tablets"	"Tablet"	"Oral"	"Warfarin sodium"	"3.000mg"	"2080200"	60000
12584641000033112	"35566911000001104"	"Arovi 100mg/1ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Arovi 100mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin sodium"	"100.000mg/1.000ml"	" "	60
6511641000033113	"19841411000001101"	"Xarelto 20mg tablets (Bayer Plc)"	"Xarelto 20mg tablets"	"Tablet"	"Oral"	"Rivaroxaban"	"20.000mg"	" "	10000
1531641000033118	"319733000"	"Warfarin 1mg tablets"	"Warfarin 1mg tablets"	"Tablet"	"Oral"	"Warfarin sodium"	"1.000mg"	"2080200"	20000000
12444341000033118	"17036511000001103"	"Heparin sodium 500units/500ml infusion bags"	"Heparin sodium 500units/500ml infusion bags"	"Infusion"	"Intravenous"	"Heparin sodium"	"1.000unit/1.000ml + 1.000unit/1.000ml"	" "	3
1531841000033117	"319735007"	"Warfarin 5mg tablets"	"Warfarin 5mg tablets"	"Tablet"	"Oral"	"Warfarin sodium"	"5.000mg"	"2080200"	6000000
6511341000033117	"19842111000001101"	"Rivaroxaban 15mg tablets"	"Rivaroxaban 15mg tablets"	"Tablet"	"Oral"	"Rivaroxaban"	"15.000mg"	" "	2000000
941941000033118	"4744311000001106"	"Multiparin 5,000units/5ml solution for injection vials (Wockhardt UK Ltd)"	"Multiparin 5,000units/5ml solution for injection vials"	"Solution for injection"	"Intravenous"	"Heparin sodium"	"1000.000unit/1.000ml + 1000.000unit/1.000ml"	"2080100"	300
275141000033117	"4199511000001104"	"Clexane 80mg/0.8ml solution for injection pre-filled syringes (Sanofi)"	"Clexane 80mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin sodium"	"100.000mg/1.000ml"	"2080100"	20000
8534941000033115	"22648411000001105"	"Epoprostenol 500microgram powder (pH12) for solution for infusion vials"	"Epoprostenol 500microgram powder (pH12) for solution for infusion vials"	" Powder for solution for infusion"	"Intravenous"	"Epoprostenol sodium"	"500.000microgram"	"2080100"	20
762041000033110	"4121711000001101"	"Innohep 40,000units/2ml solution for injection vials (LEO Pharma)"	"Innohep 40,000units/2ml solution for injection vials"	"Solution for injection"	"Subcutaneous"	"Tinzaparin sodium"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	"2080100"	400
1731341000033110	"3968611000001106"	"Fragmin 18,000units/0.72ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Fragmin 18,000units/0.72ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	10000
2639041000033119	"8798011000001109"	"Warfarin 10mg/5ml oral suspension"	"Warfarin 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Warfarin sodium"	"2.000mg/1.000ml"	" "	400
10046441000033120	"28566311000001109"	"Tinzaparin sodium 16,000units/0.8ml solution for injection pre-filled syringes"	"Tinzaparin sodium 16,000units/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin sodium"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	" "	8000
1440541000033116	"35918811000001101"	"Tinzaparin sodium 10,000units/0.5ml solution for injection pre-filled syringes"	"Tinzaparin sodium 10,000units/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin sodium"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	"2080100"	40000
2908841000033111	"36055011000001100"	"Heparin sodium 5,000units/0.2ml solution for injection ampoules"	"Heparin sodium 5,000units/0.2ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Subcutaneous"	"Heparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	200
611141000033113	"3969411000001100"	"Fragmin 10,000units/4ml solution for injection ampoules (Pfizer Ltd)"	"Fragmin 10,000units/4ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Dalteparin sodium"	"2500.000unit/1.000ml + 2500.000unit/1.000ml"	"2080100"	1000
1819641000033114	"319736008"	"Warfarin 500microgram tablets"	"Warfarin 500microgram tablets"	"Tablet"	"Oral"	"Warfarin sodium"	"500.000microgram"	"2080200"	2000000
1700641000033119	"35919311000001104"	"Tinzaparin sodium 3,500units/0.35ml solution for injection pre-filled syringes"	"Tinzaparin sodium 3,500units/0.35ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin sodium"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"2080100"	20000
1726741000033118	"37084311000001106"	"Dalteparin sodium 10,000units/0.4ml solution for injection pre-filled syringes"	"Dalteparin sodium 10,000units/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	20000
1822041000033115	"3970611000001100"	"Fragmin 100,000units/4ml solution for injection vials (Pfizer Ltd)"	"Fragmin 100,000units/4ml solution for injection vials"	"Solution for injection"	"Subcutaneous"	"Dalteparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	100
404441000033118	"36093411000001100"	"Danaparoid sodium 750units/0.6ml solution for injection ampoules"	"Danaparoid sodium 750units/0.6ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Danaparoid sodium"	"1250.000unit/1.000ml + 1250.000unit/1.000ml"	"2080100"	30
1620341000033111	"4120611000001100"	"Innohep 4,500units/0.45ml solution for injection pre-filled syringes (LEO Pharma)"	"Innohep 4,500units/0.45ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin sodium"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"2080100"	800
10493641000033112	"29903311000001108"	"Edoxaban 30mg tablets"	"Edoxaban 30mg tablets"	"Tablet"	"Oral"	"Edoxaban tosilate"	"30.000mg"	"2080200"	400000
1082441000033118	"319747001"	"Phenindione 50mg tablets"	"Phenindione 50mg tablets"	"Tablet"	"Oral"	"Phenindione"	"50.000mg"	"2080200"	20000
666141000033117	"36054111000001103"	"Heparin calcium 5,000units/0.2ml solution for injection pre-filled syringes"	"Heparin calcium 5,000units/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Heparin calcium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	" "	300
195741000033110	"4188111000001102"	"Calciparine 5,000units/0.2ml solution for injection pre-filled syringes (Sanofi-Synthelabo Ltd)"	"Calciparine 5,000units/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Heparin calcium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	" "	600
12373141000033110	"34701011000001102"	"Inhixa 100mg/1ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Inhixa 100mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin sodium"	"100.000mg/1.000ml"	" "	1000
6066441000033118	"18290011000001102"	"Warfarin 1mg/ml oral suspension sugar free"	"Warfarin 1mg/ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Warfarin sodium"	"1.000mg/1.000ml"	" "	8000
516741000033114	"38895011000001100"	"Enoxaparin sodium 60mg/0.6ml solution for injection pre-filled syringes"	"Enoxaparin sodium 60mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Intravenous/ Intraarterial/ Subcutaneous"	"Enoxaparin sodium"	"100.000mg/1.000ml"	"2080100"	30000
665741000033111	"36053911000001102"	"Heparin calcium 12,500units/0.5ml solution for injection pre-filled syringes"	"Heparin calcium 12,500units/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Heparin calcium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	" "	40
13841341000033118	"39609211000001101"	"Rivaroxaban 1mg/ml oral suspension sugar free"	"Rivaroxaban 1mg/ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Rivaroxaban"	"1.000mg/1.000ml"	" "	20
10046641000033116	"28499911000001109"	"Innohep 12,000units/0.6ml solution for injection pre-filled syringes (LEO Pharma)"	"Innohep 12,000units/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin sodium"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	" "	300
1781541000033113	"36093011000001109"	"Dalteparin sodium 10,000units/1ml solution for injection pre-filled syringes"	"Dalteparin sodium 10,000units/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin sodium"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"2080100"	7000
4291941000033117	"36054711000001102"	"Heparin sodium 25,000units/1ml solution for injection ampoules"	"Heparin sodium 25,000units/1ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	70
3097541000033112	"319740004"	"Acenocoumarol 1mg tablets"	"Acenocoumarol 1mg tablets"	"Tablet"	"Oral"	"Acenocoumarol"	"1.000mg"	"2080200"	90000
4292141000033110	"36054911000001100"	"Heparin sodium 25,000units/5ml solution for injection vials"	"Heparin sodium 25,000units/5ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin sodium"	"5000.000unit/1.000ml + 5000.000unit/1.000ml"	"2080100"	20
2732541000033114	"4198711000001100"	"Clexane Forte 120mg/0.8ml solution for injection pre-filled syringes (Sanofi)"	"Clexane Forte 120mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Enoxaparin sodium"	"150.000mg/1.000ml"	"2080100"	30000
1081541000033110	"319745009"	"Phenindione 10mg tablets"	"Phenindione 10mg tablets"	"Tablet"	"Oral"	"Phenindione"	"10.000mg"	"2080200"	30000
4500441000033114	"13504711000001102"	"Pradaxa 75mg capsules (Boehringer Ingelheim Ltd)"	"Pradaxa 75mg capsules"	"Capsule"	"Oral"	"Dabigatran etexilate mesilate"	"75.000mg"	"2080200"	600
4291841000033113	"36054811000001105"	"Heparin sodium 25,000units/5ml solution for injection ampoules"	"Heparin sodium 25,000units/5ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin sodium"	"5000.000unit/1.000ml + 5000.000unit/1.000ml"	"2080100"	100
516641000033117	"36564011000001106"	"Enoxaparin sodium 100mg/1ml solution for injection pre-filled syringes"	"Enoxaparin sodium 100mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intraarterial/ Intravenous"	"Enoxaparin sodium"	"100.000mg/1.000ml"	"2080100"	90000
4500241000033113	"13532911000001104"	"Dabigatran etexilate 75mg capsules"	"Dabigatran etexilate 75mg capsules"	"Capsule"	"Oral"	"Dabigatran etexilate mesilate"	"75.000mg"	"2080200"	10000
4153241000033118	"11507011000001102"	"Clexane 300mg/3ml solution for injection multidose vials (Sanofi)"	"Clexane 300mg/3ml solution for injection multidose vials"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin sodium"	"100.000mg/1.000ml"	" "	200
4153141000033113	"11509311000001109"	"Enoxaparin sodium 300mg/3ml solution for injection vials"	"Enoxaparin sodium 300mg/3ml solution for injection vials"	"Solution for injection"	"Intraarterial/ Subcutaneous/ Intravenous"	"Enoxaparin sodium"	"100.000mg/1.000ml"	" "	400
4152641000033111	"36054511000001107"	"Heparin sodium 20,000units/20ml solution for injection ampoules"	"Heparin sodium 20,000units/20ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Heparin sodium"	"1000.000unit/1.000ml + 1000.000unit/1.000ml"	"2080100"	10
6000541000033119	"8798111000001105"	"Warfarin 1mg/5ml oral solution"	"Warfarin 1mg/5ml oral solution"	"Oral solution"	"Oral"	"Warfarin sodium"	"200.000microgram/1.000ml"	" "	100
6000641000033118	"8798511000001101"	"Warfarin 3mg/5ml oral solution"	"Warfarin 3mg/5ml oral solution"	"Oral solution"	"Oral"	"Warfarin sodium"	"600.000microgram/1.000ml"	" "	300
1531741000033110	"319734006"	"Warfarin 3mg tablets"	"Warfarin 3mg tablets"	"Tablet"	"Oral"	"Warfarin sodium"	"3.000mg"	"2080200"	20000000
3012941000033117	"35909911000001100"	"Bemiparin sodium 3,500units/0.2ml solution for injection pre-filled syringes"	"Bemiparin sodium 3,500units/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Bemiparin sodium"	"17500.000unit/1.000ml + 17500.000unit/1.000ml"	" "	20
1731141000033112	"3838711000001100"	"Fragmin 12,500units/0.5ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Fragmin 12,500units/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	8000
3012841000033113	"35909811000001105"	"Bemiparin sodium 2,500units/0.2ml solution for injection pre-filled syringes"	"Bemiparin sodium 2,500units/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Bemiparin sodium"	"12500.000unit/1.000ml + 12500.000unit/1.000ml"	" "	20
8233041000033112	"21677511000001105"	"Eliquis 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Eliquis 5mg tablets"	"Tablet"	"Oral"	"Apixaban"	"5.000mg"	" "	10000
4291641000033112	"36055111000001104"	"Heparin sodium 5,000units/1ml solution for injection ampoules"	"Heparin sodium 5,000units/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Subcutaneous"	"Heparin sodium"	"5000.000unit/1.000ml + 5000.000unit/1.000ml"	"2080100"	400
2640341000033110	"4864211000001108"	"Fragmin 7,500units/0.3ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Fragmin 7,500units/0.3ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	3000
6000741000033110	"8798711000001106"	"Warfarin 5mg/5ml oral solution"	"Warfarin 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Warfarin sodium"	"1.000mg/1.000ml"	" "	400
4152541000033110	"36054311000001101"	"Heparin sodium 10,000units/10ml solution for injection ampoules"	"Heparin sodium 10,000units/10ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Heparin sodium"	"1000.000unit/1.000ml + 1000.000unit/1.000ml"	"2080100"	100
1620241000033118	"3916311000001101"	"Innohep 3,500units/0.35ml solution for injection pre-filled syringes (LEO Pharma)"	"Innohep 3,500units/0.35ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin sodium"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"2080100"	800
1440741000033112	"35919011000001102"	"Tinzaparin sodium 18,000units/0.9ml solution for injection pre-filled syringes"	"Tinzaparin sodium 18,000units/0.9ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin sodium"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	"2080100"	30000
9704641000033116	"27160311000001106"	"Xarelto 2.5mg tablets (Bayer Plc)"	"Xarelto 2.5mg tablets"	"Tablet"	"Oral"	"Rivaroxaban"	"2.500mg"	" "	100
4292041000033111	"36054411000001108"	"Heparin sodium 125,000units/5ml solution for injection vials"	"Heparin sodium 125,000units/5ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	10
1821941000033114	"36093311000001107"	"Dalteparin sodium 100,000units/4ml solution for injection vials"	"Dalteparin sodium 100,000units/4ml solution for injection vials"	"Solution for injection"	"Subcutaneous"	"Dalteparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	200
12476341000033114	"35083611000001100"	"Enoxaparin Becat 60mg/0.6ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin Becat 60mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin sodium"	"100.000mg/1.000ml"	" "	40
10494041000033120	"29902711000001104"	"Lixiana 60mg tablets (Daiichi Sankyo UK Ltd)"	"Lixiana 60mg tablets"	"Tablet"	"Oral"	"Edoxaban tosilate"	"60.000mg"	"2080200"	3000
275041000033116	"4199811000001101"	"Clexane 60mg/0.6ml solution for injection pre-filled syringes (Sanofi)"	"Clexane 60mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin sodium"	"100.000mg/1.000ml"	"2080100"	20000
762941000033111	"3920011000001106"	"Innohep 18,000units/0.9ml solution for injection pre-filled syringes (LEO Pharma)"	"Innohep 18,000units/0.9ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin sodium"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	"2080100"	3000
10493941000033116	"29902411000001105"	"Lixiana 30mg tablets (Daiichi Sankyo UK Ltd)"	"Lixiana 30mg tablets"	"Tablet"	"Oral"	"Edoxaban tosilate"	"30.000mg"	"2080200"	1000
3314341000033111	"8579011000001107"	"Angiox 250mg powder for concentrate for solution for infusion vials (The Medicines Company UK Ltd)"	"Angiox 250mg powder for concentrate for solution for infusion vials"	" Powder for solution for infusion"	"Intravenous"	"Bivalirudin"	"250.000mg"	"2080100"	1
1700741000033111	"35919411000001106"	"Tinzaparin sodium 4,500units/0.45ml solution for injection pre-filled syringes"	"Tinzaparin sodium 4,500units/0.45ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin sodium"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"2080100"	30000
6444441000033114	"703907006"	"Apixaban 2.5mg tablets"	"Apixaban 2.5mg tablets"	"Tablet"	"Oral"	"Apixaban"	"2.500mg"	"2080200"	3000000
2640441000033116	"4865111000001103"	"Dalteparin sodium 7,500units/0.3ml solution for injection pre-filled syringes"	"Dalteparin sodium 7,500units/0.3ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	20000
194441000033119	"4908311000001103"	"Calciparine 12,500units/0.5ml solution for injection pre-filled syringes (Sanofi)"	"Calciparine 12,500units/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Heparin calcium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	" "	70
12476441000033116	"35083811000001101"	"Enoxaparin Becat 80mg/0.8ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin Becat 80mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin sodium"	"100.000mg/1.000ml"	" "	50
12476641000033118	"35084011000001109"	"Enoxaparin Becat 100mg/1ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin Becat 100mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin sodium"	"100.000mg/1.000ml"	" "	30
1731241000033117	"3968311000001101"	"Fragmin 15,000units/0.6ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Fragmin 15,000units/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	10000
4656341000033115	"14254711000001104"	"Rivaroxaban 10mg tablets"	"Rivaroxaban 10mg tablets"	"Tablet"	"Oral"	"Rivaroxaban"	"10.000mg"	"2080200"	200000
868141000033114	"933311000001105"	"Marevan 1mg tablets (Advanz Pharma)"	"Marevan 1mg tablets"	"Tablet"	"Oral"	"Warfarin sodium"	"1.000mg"	"2080200"	70000
4267741000033110	"13566311000001106"	"Fondaparinux sodium 1.5mg/0.3ml solution for injection pre-filled syringes"	"Fondaparinux sodium 1.5mg/0.3ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Fondaparinux sodium"	"5.000mg/1.000ml"	"2080100"	20
2041941000033111	"38895211000001105"	"Enoxaparin sodium 150mg/1ml solution for injection pre-filled syringes"	"Enoxaparin sodium 150mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intraarterial/ Intravenous"	"Enoxaparin sodium"	"150.000mg/1.000ml"	"2080100"	50000
404041000033110	"36092911000001101"	"Dalteparin sodium 10,000units/1ml solution for injection ampoules"	"Dalteparin sodium 10,000units/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Subcutaneous"	"Dalteparin sodium"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"2080100"	2000
1726941000033115	"36564211000001101"	"Dalteparin sodium 15,000units/0.6ml solution for injection pre-filled syringes"	"Dalteparin sodium 15,000units/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	50000
6511441000033111	"19842211000001107"	"Rivaroxaban 20mg tablets"	"Rivaroxaban 20mg tablets"	"Tablet"	"Oral"	"Rivaroxaban"	"20.000mg"	" "	4000000
4292341000033113	"36054011000001104"	"Heparin calcium 5,000units/0.2ml solution for injection ampoules"	"Heparin calcium 5,000units/0.2ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Subcutaneous"	"Heparin calcium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"2080100"	200
4152441000033114	"36055211000001105"	"Heparin sodium 5,000units/5ml solution for injection ampoules"	"Heparin sodium 5,000units/5ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Heparin sodium"	"1000.000unit/1.000ml + 1000.000unit/1.000ml"	"2080100"	200
10046541000033118	"28501011000001100"	"Innohep 8,000units/0.4ml solution for injection pre-filled syringes (LEO Pharma)"	"Innohep 8,000units/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin sodium"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	" "	60
3013241000033119	"7538811000001102"	"Bemiparin sodium 10,000units/0.4ml solution for injection pre-filled syringes"	"Bemiparin sodium 10,000units/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Bemiparin sodium"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	" "	1
2041741000033113	"36563911000001108"	"Enoxaparin sodium 120mg/0.8ml solution for injection pre-filled syringes"	"Enoxaparin sodium 120mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Intravenous/ Subcutaneous/ Intraarterial"	"Enoxaparin sodium"	"150.000mg/1.000ml"	"2080100"	80000
12372941000033118	"34700511000001103"	"Inhixa 60mg/0.6ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Inhixa 60mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin sodium"	"100.000mg/1.000ml"	" "	2000
2908941000033115	"36054211000001109"	"Heparin sodium 1,000units/1ml solution for injection ampoules"	"Heparin sodium 1,000units/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Heparin sodium"	"1000.000unit/1.000ml + 1000.000unit/1.000ml"	"2080100"	300
