prodcode	dmdcode	gemscriptcode	therapyevents	productname	ingredient	strength	formulation	routeofadministration	bnfchapter	bnftext	database_build	unclearnumber
30396	55445001000027104	54953020	17	"Unihep leo 5000iu/ml Injection (LEO Pharma)"	"Heparin Sodium"	"5000iu/ml"	"Injection"	""	2080100	"Parenteral Anticoagulants"	"February 2009"	1734002
7307	3825411000001104	87676020	53947	"Clexane 40mg/0.4ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin sodium"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12412001
5046	4020411000001105	57915020	6029	"Hepsal 50units/5ml patency solution ampoules (Wockhardt UK Ltd)"	"Heparin sodium"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	71120000	"Catheter Maintenance Solutions"	"February 2009"	2476001
2677	190205001000027104	74023020	9262	"Clexane 100mg/ml Injection (Aventis Pharma)"	"Enoxaparin Sodium"	"100mg/ml"	"Injection"	"Subcutaneous Deep Injection"	2080100	"Parenteral Anticoagulants"	"February 2009"	6819001
45911	13565111000001104	94010020	1	"Arixtra 1.5mg/0.3ml solution for injection pre-filled syringes (Mylan)"	"Fondaparinux sodium"	"5mg/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"August 2011"	15609001
53745	16071411000001104	2302020	0	"Warfarin 3mg tablets (Bristol Laboratories Ltd)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2013"	2302020
8467	284011000001104	54867020	42973	"Marevan 3mg tablets (Advanz Pharma)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	1710002
13644	54575001000027104	54848020	1706	"Dindevan 25mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Phenindione"	"25mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	1706002
34417	508311000001104	55825020	14273	"Warfarin 3mg tablets (Teva UK Ltd)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	1968010
54927	17038011000001104	37217020	4	"Heparin sodium 2,000units/1litre infusion bags"	"Heparin sodium"	"2unit/1ml"	"Infusion"	"Intravenous"	2080100	"Parenteral Anticoagulants"	"May 2013"	37217020
83471	10139311000001100	72650020	0	"Warfarin 5mg tablets (Zentiva Pharma UK Ltd)"	"Warfarin sodium"	"5mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"April 2021"	6424009
51006	18569911000001104	2291020	1	"Clexane 80mg/0.8ml solution for injection pre-filled syringes (DE Pharmaceuticals)"	"Enoxaparin sodium"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"January 2013"	2291020
59761	10358011000001104	73368020	0	"Heparin sodium 1,000units/1ml solution for injection ampoules (Wockhardt UK Ltd)"	"Heparin sodium"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	2080100	"Parenteral Anticoagulants"	"May 2014"	6634009
17592	4120611000001100	87578020	545	"Innohep 4,500units/0.45ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin sodium"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12363001
54946	555911000001104	57162020	33	"Warfarin 3mg tablets (Accord Healthcare Ltd)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"May 2013"	2288010
13058	190235001000027104	74028020	636	"Enoxaparin 150mg/ml injection"	"Enoxaparin Sodium"	"150mg/ml"	"Injection"	""	2080100	"Parenteral Anticoagulants"	"February 2009"	6820002
45597	7653211000001100	86690020	20	"Lepirudin 50mg powder for solution for injection vials"	"Lepirudin"	"50mg"	"Powder for solution for injection"	"Intravenous"	2080100	"Parenteral Anticoagulants"	"June 2011"	11926001
6262	319736008	84736020	1000555	"Warfarin 500microgram tablets"	"Warfarin sodium"	"500microgram"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	11055001
30202	36055001000027104	52500020	7398	"Warfarin wbp 1mg Tablet (Boehringer Ingelheim Ltd)"	"Warfarin sodium"	"1mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	1093001
47925	19841411000001100	762021	106	"Xarelto 20mg tablets (Bayer Plc)"	"Rivaroxaban"	"20mg"	"Tablet"	"Oral"	0	"Unknown"	"October 2012"	19046001
83490	10139111000001104	72647020	0	"Warfarin 3mg tablets (Zentiva Pharma UK Ltd)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"April 2021"	6423009
69128	13017211000001102	33709020	1	"Warfarin 500micrograms/5ml oral solution"	"Warfarin sodium"	"100microgram/1ml"	"Oral solution"	"Oral"	2080200	"Oral Anticoagulants"	"April 2017"	33709020
30108	243505001000027104	91616020	52	"Heparin calcium 5000iu/0.2ml Injection"	"Heparin Calcium"	"5000iu/0.2ml"	"Injection"	"Subcutaneous Injection"	2080100	"Parenteral Anticoagulants"	"February 2009"	14402001
10533	80635001000027104	58274020	794	"Calciparine 25,000iu/ml Injection (Sanofi-Synthelabo Ltd)"	"Heparin Calcium"	"25,000iu/ml"	"Injection"	"Subcutaneous Injection"	2080100	"Parenteral Anticoagulants"	"February 2009"	2587001
25155	3970611000001100	71649020	253	"Fragmin 100,000units/4ml solution for injection vials (Pfizer Ltd)"	"Dalteparin sodium"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	6134002
55577	18067311000001104	2314020	0	"Sinthrome 1mg tablets (Lexon (UK) Ltd)"	"Acenocoumarol"	"1mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"June 2013"	2314020
75576	10418411000001106	65811020	12	"Warfarin 3mg tablets (Arrow Generics Ltd)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"April 2019"	4486009
34864	729811000001109	55897020	2074	"Warfarin 5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Warfarin sodium"	"5mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	1985011
62309	622211000001107	2309020	0	"Warfarin 500microgram tablets (Kent Pharma (UK) Ltd)"	"Warfarin sodium"	"500microgram"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2015"	2309020
18732	73225001000027104	57359020	77	"Innohep 3500 iu/0.3ml Sterile solution (LEO Pharma)"	"Tinzaparin Sodium"	"3500 iu/0.3ml"	"Sterile Solution"	""	2080100	"Parenteral Anticoagulants"	"February 2009"	2339001
37131	36054911000001104	91632020	19	"Heparin sodium 25,000units/5ml solution for injection vials"	"Heparin sodium"	"5000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	2080100	"Parenteral Anticoagulants"	"February 2009"	14410001
64559	15150311000001104	2234020	0	"Heparin sodium 1,000units/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)"	"Heparin sodium"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	2080100	"Parenteral Anticoagulants"	"October 2015"	2234020
29318	185605001000027104	73244020	5	"Heparin low molecular weight 2500 iu/ml Sterile solution"	"Dalteparin Sodium"	"2500 iu/ml"	"Sterile Solution"	""	2080100	"Parenteral Anticoagulants"	"February 2009"	6601001
36142	36054711000001104	91650020	49	"Heparin sodium 25,000units/1ml solution for injection ampoules"	"Heparin sodium"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	2080100	"Parenteral Anticoagulants"	"February 2009"	14419001
77268	32055001000027100	51981020	28	"Warfarin 5mg Tablet (C P Pharmaceuticals Ltd)"	"Warfarin sodium"	"5mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"July 2019"	964010
77318	35083211000001104	79478021	1	"Enoxaparin Becat 20mg/0.2ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin sodium"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"July 2019"	79478021
82342	19835611000001104	38964020	0	"Warfarin 3mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"January 2021"	38964020
65496	17876511000001102	2312020	0	"Warfarin 500microgram tablets (Phoenix Healthcare Distribution Ltd)"	"Warfarin sodium"	"500microgram"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2016"	2312020
22428	36093311000001104	75575020	78	"Dalteparin sodium 100,000units/4ml solution for injection vials"	"Dalteparin sodium"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	7260002
66529	29902411000001104	53103021	138	"Lixiana 30mg tablets (Daiichi Sankyo UK Ltd)"	"Edoxaban tosilate"	"30mg"	"Tablet"	"Oral"	2080201	"Novel Oral Anticoagulants (Noacs)"	"June 2016"	53103021
55604	9383511000001106	74751020	1	"Orgaran 750units/0.6ml solution for injection ampoules (Aspen Pharma Trading Ltd)"	"Danaparoid sodium"	"1250unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	2080100	"Parenteral Anticoagulants"	"June 2013"	7033001
77287	33598111000001108	71064021	1	"Epoprostenol 1.5mg powder and solvent (pH12) for solution for infusion vials"	"Epoprostenol sodium"	"1.5mg"	"Powder and solvent for solution for infusion"	"Intravenous"	2080100	"Parenteral Anticoagulants"	"July 2019"	71064021
60131	7387211000001107	13622020	2	"Heparin sodium 50units/5ml patency solution ampoules (A A H Pharmaceuticals Ltd)"	"Heparin sodium"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	71120000	"Catheter Maintenance Solutions"	"June 2014"	13622020
2675	3969411000001100	73236020	1483	"Fragmin 10,000units/4ml solution for injection ampoules (Pfizer Ltd)"	"Dalteparin sodium"	"2500unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	2080100	"Parenteral Anticoagulants"	"February 2009"	6599001
71747	34701011000001104	77915021	208	"Inhixa 100mg/1ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin sodium"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"April 2018"	77915021
33558	4761711000001102	71426020	1	"Monoparin calcium 5,000units/0.2ml solution for injection ampoules (Wockhardt UK Ltd)"	"Heparin calcium"	"25000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	6067001
53752	739511000001109	2297020	2	"Warfarin 1mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Warfarin sodium"	"1mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2013"	2297020
13270	36563911000001104	87672020	20081	"Enoxaparin sodium 120mg/0.8ml solution for injection pre-filled syringes"	"Enoxaparin sodium"	"150mg/1ml"	"Solution for injection"	"Intraarterial/Intravenous/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12410001
29317	73995001000027104	57468020	15	"Tinzaparin 5000 i.u./0.5ml Sterile solution"	"Tinzaparin Sodium"	"5000 i.u./0.5ml"	"Sterile Solution"	""	2080100	"Parenteral Anticoagulants"	"February 2009"	2366002
48869	18290011000001104	37790020	4032	"Warfarin 1mg/ml oral suspension sugar free"	"Warfarin sodium"	"1mg/1ml"	"Oral suspension"	"Oral"	2080200	"Oral Anticoagulants"	"January 2013"	37790020
14891	37084411000001104	88310020	21656	"Dalteparin sodium 18,000units/0.72ml solution for injection pre-filled syringes"	"Dalteparin sodium"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12730001
32645	46915001000027104	53913020	6	"Heparin sodium 25,000iu/ml Injection"	"Heparin Sodium"	"25,000iu/ml"	"Injection"	""	2080100	"Parenteral Anticoagulants"	"February 2009"	1460009
82738	32628211000001108	68394021	0	"Dalteparin sodium 5,000units/0.2ml solution for injection pre-filled syringes (J M McGill Ltd)"	"Dalteparin sodium"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"January 2021"	68394021
51496	17876711000001108	2299020	4	"Warfarin 1mg tablets (Phoenix Healthcare Distribution Ltd)"	"Warfarin sodium"	"1mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"January 2013"	2299020
48673	36092911000001104	2266020	253	"Dalteparin sodium 10,000units/1ml solution for injection ampoules"	"Dalteparin sodium"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	2080100	"Parenteral Anticoagulants"	"January 2013"	2266020
64581	28501011000001100	44863021	90	"Innohep 8,000units/0.4ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin sodium"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"October 2015"	44863021
63169	28499911000001108	44859021	333	"Innohep 12,000units/0.6ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin sodium"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"May 2015"	44859021
49578	36093011000001112	2272020	4270	"Dalteparin sodium 10,000units/1ml solution for injection pre-filled syringes"	"Dalteparin sodium"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"January 2013"	2272020
58962	22735611000001108	17196021	0	"Warfarin 3mg tablets (DE Pharmaceuticals)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"March 2014"	17196021
34087	22265001000027104	50810020	746	"Warfarin 1mg Tablet (Celltech Pharma Europe Ltd)"	"Warfarin sodium"	"1mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	668009
74132	33598211000001104	71066021	3	"Epoprostenol 500microgram powder and solvent (pH12) for solution for infusion vials"	"Epoprostenol sodium"	"500microgram"	"Powder and solvent for solution for infusion"	"Intravenous"	2080100	"Parenteral Anticoagulants"	"December 2018"	71066021
16061	3916311000001101	87576020	803	"Innohep 3,500units/0.35ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin sodium"	"10000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12362001
17004	35919211000001108	87564020	1368	"Tinzaparin sodium 20,000units/2ml solution for injection vials"	"Tinzaparin sodium"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12356001
46678	19465811000001104	253021	2665	"Pradaxa 150mg capsules (Boehringer Ingelheim Ltd)"	"Dabigatran etexilate mesilate"	"150mg"	"Capsule"	"Oral"	2080201	"Novel Oral Anticoagulants (Noacs)"	"January 2012"	18785001
34526	347911000001109	62804020	70	"Warfarin 3mg tablets (Mylan)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	3681010
13502	54565001000027104	54847020	3448	"Dindevan 10mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Phenindione"	"10mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	1706001
56314	772211000001101	63429020	1	"Warfarin 3mg tablets (Kent Pharma (UK) Ltd)"	"Warfarin sodium"	"3mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"August 2013"	3837009
79750	36784411000001104	85533021	22	"Inhixa 150mg/1ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin sodium"	"150mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"January 2020"	85533021
14851	35919411000001104	87568020	5968	"Tinzaparin sodium 4,500units/0.45ml solution for injection pre-filled syringes"	"Tinzaparin sodium"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12358001
10170	36564211000001104	88308020	19920	"Dalteparin sodium 15,000units/0.6ml solution for injection pre-filled syringes"	"Dalteparin sodium"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12729001
24896	185625001000027104	73246020	2	"Heparin low molecular weight 2500 iu/0.2ml Sterile solution"	"Dalteparin Sodium"	"2500iu/0.2ml"	"Sterile Solution"	""	2080100	"Parenteral Anticoagulants"	"February 2009"	6601003
4995	190225001000027104	74027020	4769	"Enoxaparin 100mg/ml injection"	"Enoxaparin Sodium"	"100mg/ml"	"Injection"	""	2080100	"Parenteral Anticoagulants"	"February 2009"	6820001
20024	153165001000027104	68229020	83	"Uniparin forte 10,000 iu/0.4ml Subcutaneous injection (C P Pharmaceuticals Ltd)"	"Heparin Sodium"	"10,000 iu/0.4ml"	"Subcutaneous Injection"	""	2080100	"Parenteral Anticoagulants"	"February 2009"	5157001
50000	20367411000001100	41649020	0	"Warfarin 1mg/ml oral suspension sugar free (A A H Pharmaceuticals Ltd)"	"Warfarin sodium"	"1mg/1ml"	"Oral suspension"	"Oral"	2080200	"Oral Anticoagulants"	"January 2013"	41649020
13663	199065001000027104	75893020	988	"Innohep 20000 iu/ml Injection (LEO Pharma)"	"Tinzaparin Sodium"	"20000 iu/ml"	"Injection"	"Subcutaneous Injection"	2080100	"Parenteral Anticoagulants"	"February 2009"	7352001
12681	216975001000027104	81560020	186	"Heparin calcium 25,000iu/ml Injection"	"Heparin Calcium"	"25,000iu/ml"	"Injection"	""	2080100	"Parenteral Anticoagulants"	"February 2009"	9611001
63297	7306511000001109	67623020	0	"Heparin sodium 5,000units/5ml solution for injection vials (LEO Pharma)"	"Heparin sodium"	"1000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	2080100	"Parenteral Anticoagulants"	"June 2015"	4985009
23570	36060711000001104	89134020	594	"Fondaparinux sodium 7.5mg/0.6ml solution for injection pre-filled syringes"	"Fondaparinux sodium"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	13146001
83611	16150011000001104	2281020	1	"Clexane 40mg/0.4ml solution for injection pre-filled syringes (Lexon (UK) Ltd)"	"Enoxaparin sodium"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"April 2021"	2281020
8466	933311000001105	54866020	51715	"Marevan 1mg tablets (Advanz Pharma)"	"Warfarin sodium"	"1mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"February 2009"	1710001
14212	35919311000001104	87566020	5258	"Tinzaparin sodium 3,500units/0.35ml solution for injection pre-filled syringes"	"Tinzaparin sodium"	"10000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12357001
76708	35566911000001104	81454021	57	"Arovi 100mg/1ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin sodium"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	2080100	"Parenteral Anticoagulants"	"July 2019"	81454021
14110	35918811000001100	87584020	12029	"Tinzaparin sodium 10,000units/0.5ml solution for injection pre-filled syringes"	"Tinzaparin sodium"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	2080100	"Parenteral Anticoagulants"	"February 2009"	12366001
77559	91005001000027104	59542020	85	"Warfarin 5mg Tablet (Lagap)"	"Warfarin sodium"	"5mg"	"Tablet"	"Oral"	2080200	"Oral Anticoagulants"	"August 2019"	2910011
