prodcode	dmdcode	gemscriptcode	therapyevents	productname	ingredient	strength	formulation	routeofadministration	bnfchapter	bnftext	database_build	unclearnumber	BBvar
55929	21281511000001108	45144020	0	"Bisoprolol 5mg tablets (Accord Healthcare Ltd)"	"Bisoprolol fumarate"	"5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"August 2013"	45144020	1
38865	2937811000001108	95559020	231510	"Adizem-XL 120mg capsules (Napp Pharmaceuticals Ltd)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	16392001	1
73765	9153711000001104	70589020	3	"Propranolol 10mg tablets (Ranbaxy (UK) Ltd)"	"Propranolol hydrochloride"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"November 2018"	5817009	1
41489	580711000001101	95547020	815	"Bi-Carzem SR 120mg capsules (Tillomed Laboratories Ltd)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"March 2010"	16386001	1
44192	823511000001107	97277020	246	"Zemret 240 XL capsules (Tillomed Laboratories Ltd)"	"Diltiazem hydrochloride"	"240mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"December 2010"	17265001	1
9410	298811000001103	79520020	110209	"Angitil SR 120 capsules (Ethypharm UK Ltd)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	8641002	1
58973	10437911000001106	63965020	3	"Bisoprolol 10mg tablets (Niche Generics Ltd)"	"Bisoprolol fumarate"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"March 2014"	3982009	1
43525	395011000001105	64019020	31	"Propranolol 10mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Propranolol hydrochloride"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"September 2010"	3995009	1
81374	37150411000001104	86912021	2	"Angilol 40mg tablets (Genesis Pharmaceuticals Ltd)"	"Propranolol hydrochloride"	"40mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"August 2020"	86912021	1
7974	318622003	68838020	77886	"Celiprolol 400mg tablets"	"Celiprolol hydrochloride"	"400mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	5327002	1
7398	648211000001107	84428020	56057	"Viazem XL 360mg capsules (Thornton & Ross Ltd)"	"Diltiazem hydrochloride"	"360mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	10914002	1
17615	19711000001106	83190020	19119	"Cardicor 5mg tablets (Merck Serono Ltd)"	"Bisoprolol fumarate"	"5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2009"	10343001	1
80876	650311000001104	929020	2	"Propranolol 80mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Propranolol hydrochloride"	"80mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"June 2020"	929020	1
33085	422011000001104	51023020	1568	"Atenolol 100mg tablets (A A H Pharmaceuticals Ltd)"	"Atenolol"	"100mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	721010	1
46363	15610611000001100	99271020	2421	"Half Beta-Prograne 80mg modified-release capsules (Teva UK Ltd)"	"Propranolol hydrochloride"	"80mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"October 2011"	18281001	1
54479	10740611000001104	1103020	70	"Bisoprolol 1.25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Bisoprolol fumarate"	"1.25mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"April 2013"	1103020	1
49390	10055511000001102	1871020	666	"Diltiazem 90mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)"	"Diltiazem hydrochloride"	"90mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"January 2013"	1871020	1
34365	674511000001104	53708020	15275	"Atenolol 50mg tablets (Teva UK Ltd)"	"Atenolol"	"50mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	1408010	1
76483	15057811000001100	1106020	0	"Bisoprolol 1.25mg tablets (Sigma Pharmaceuticals Plc)"	"Bisoprolol fumarate"	"1.25mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"May 2019"	1106020	1
14057	318552000	65806020	7536	"Pindolol 10mg / Clopamide 5mg tablets"	"Clopamide/Pindolol"	"5mg + 10mg"	"Tablet"	"Oral"	2040100	"Beta-Blockers With Diuretics"	"February 2009"	4485001	1
22208	227945001000027104	84849020	33	"Half propanix la 80mg Modified-release capsule (Ashbourne Pharmaceuticals Ltd)"	"Propranolol hydrochloride"	"80mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2009"	11109001	1
58297	163111000001101	918020	1	"Propranolol 10mg tablets (Kent Pharma (UK) Ltd)"	"Propranolol hydrochloride"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"December 2013"	918020	1
14030	628711000001102	83183020	53376	"Cardicor 2.5mg tablets (Merck Serono Ltd)"	"Bisoprolol fumarate"	"2.5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2009"	10341002	1
37118	10743711000001104	73449020	253	"Bisoprolol 2.5mg tablets (A A H Pharmaceuticals Ltd)"	"Bisoprolol fumarate"	"2.5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2009"	6657009	1
52611	12287311000001104	31454020	21	"Bisoprolol 10mg/5ml oral solution"	"Bisoprolol fumarate"	"2mg/1ml"	"Oral solution"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"January 2013"	31454020	1
17666	33211000001108	84422020	51307	"Viazem XL 180mg capsules (Thornton & Ross Ltd)"	"Diltiazem hydrochloride"	"180mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	10912002	1
7091	318606004	83179020	723182	"Bisoprolol 3.75mg tablets"	"Bisoprolol fumarate"	"3.75mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2009"	10340002	1
45051	66545001000027104	56381020	56	"Verapamil hc 240mg Modified-release tablet (Actavis UK Ltd)"	"Verapamil hydrochloride"	"240mg"	"Modified-release tablet"	"Oral"		"Supraventricular Arrhythmias/Calcium-Channel Blockers"	"April 2011"	2104010	1
56486	5582411000001107	1094020	1113	"Monocor 10mg tablets (Dowelhurst Ltd)"	"Bisoprolol fumarate"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products/Myocardial Infarction Management"	"August 2013"	1094020	1
35696	8886511000001103	88983020	313	"Kenzem SR 120mg capsules (Kent Pharma (UK) Ltd)"	"Diltiazem hydrochloride"	"120mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	13070001	1
26252	44225001000027104	53578020	40	"Berkatens 160mg Tablet (Berk Pharmaceuticals Ltd)"	"Verapamil hydrochloride"	"160mg"	"Tablet"	"Oral"		"Supraventricular Arrhythmias/Calcium-Channel Blockers"	"February 2009"	1375001	1
71098	21286311000001104	45140020	0	"Metoprolol 50mg tablets (Accord Healthcare Ltd)"	"Metoprolol tartrate"	"50mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"December 2017"	45140020	1
47230	9527111000001100	59413020	44	"Verapamil 240mg modified-release tablets (Teva UK Ltd)"	"Verapamil hydrochloride"	"240mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"May 2012"	2883010	1
74929	250335001000027104	94570020	103	"Nadolol Oral solution"	"Nadolol"	""	"Oral Solution"	""		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2019"	15894001	1
82584	5423411000001103	1869020	62	"Tildiem Retard 90mg tablets (Waymade Healthcare Plc)"	"Diltiazem hydrochloride"	"90mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"January 2021"	1869020	1
53177	244465001000027104	92021020	31	"Propranolol oral solution"	"Propranolol Hydrochloride"	""	""	""		"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"January 2013"	14606001	1
13965	740811000001102	71435020	2564	"Cordilox MR 240mg tablets (Teva UK Ltd)"	"Verapamil hydrochloride"	"240mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	6070001	1
12037	3315001000027104	48400020	4755	"Betim 10mg Tablet (ICN Pharmaceuticals France S.A.)"	"Timolol maleate"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2009"	108001	1
69526	12079211000001106	30663020	5	"Atenolol 50mg/5ml oral solution"	"Atenolol"	"10mg/1ml"	"Oral solution"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"May 2017"	30663020	1
77945	16130911000001100	36973020	8	"Nadolol 20mg/5ml oral solution"	"Nadolol"	"4mg/1ml"	"Oral solution"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"September 2019"	36973020	1
66635	18574511000001104	1892020	58	"Dilzem XL 180 capsules (DE Pharmaceuticals)"	"Diltiazem hydrochloride"	"180mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"July 2016"	1892020	1
47300	15638611000001106	76819020	12	"Nebivolol 2.5mg tablets (Glenmark Pharmaceuticals Europe Ltd)"	"Nebivolol hydrochloride"	"2.5mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"June 2012"	7656009	1
39233	8393911000001102	68806020	1	"Propranolol 80mg modified-release capsules (Teva UK Ltd)"	"Propranolol hydrochloride"	"80mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"April 2009"	5317009	1
58455	20284011000001104	40508020	20	"Bisoprolol 7.5mg tablets (Sandoz Ltd)"	"Bisoprolol fumarate"	"7.5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"December 2013"	40508020	1
83399	29955411000001108	52685021	0	"Adizem-XL 180mg capsules (Lexon (UK) Ltd)"	"Diltiazem hydrochloride"	"180mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"April 2021"	52685021	1
66555	14782711000001104	922020	2	"Propranolol 10mg tablets (Boston Healthcare Ltd)"	"Propranolol hydrochloride"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"June 2016"	922020	1
9240	196025001000027104	75163020	121299	"Adizem xl 180mg Capsule (Napp Pharmaceuticals Ltd)"	"Diltiazem Hydrochloride"	"180mg"	"Capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	7150002	1
48457	10055111000001106	1881020	773	"Diltiazem 90mg modified-release capsules (Alliance Healthcare (Distribution) Ltd)"	"Diltiazem hydrochloride"	"90mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"January 2013"	1881020	1
47674	14875001000027108	49918020	6	"Labetalol 200mg Tablet (C P Pharmaceuticals Ltd)"	"Labetalol hydrochloride"	"200mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"August 2012"	460010	1
84532	38798111000001104	94737021	0	"Atenolol 25mg tablets (Medihealth (Northern) Ltd)"	"Atenolol"	"25mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"September 2021"	94737021	1
28128	49655001000027104	54244020	1667	"Propranolol 80mg Modified-release capsule (Actavis UK Ltd)"	"Propranolol hydrochloride"	"80mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2009"	1548010	1
769	38751111000001104	66307020	2836805	"Propranolol 80mg modified-release capsules"	"Propranolol hydrochloride"	"80mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"February 2009"	4621001	1
38855	2938011000001101	95561020	176737	"Adizem-XL 180mg capsules (Napp Pharmaceuticals Ltd)"	"Diltiazem hydrochloride"	"180mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	16393001	1
58763	21802011000001104	47116020	1	"Bisoprolol 2.5mg tablets (Waymade Healthcare Plc)"	"Bisoprolol fumarate"	"2.5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"February 2014"	47116020	1
21966	501211000001103	86500020	782	"Bipranix 5mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Bisoprolol fumarate"	"5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products/Myocardial Infarction Management"	"February 2009"	11838001	1
39646	256485001000027104	96562020	675	"Bisoprolol 0.625mg/5ml oral solution"	"Bisoprolol Fumarate"	"0.625mg/5ml"	"Oral Liquid"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"May 2009"	16898001	1
34783	98911000001101	50422020	212	"Propranolol 10mg tablets (Actavis UK Ltd)"	"Propranolol hydrochloride"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"February 2009"	580009	1
44808	16551311000001104	77127020	6	"Nebivolol 2.5mg tablets (A A H Pharmaceuticals Ltd)"	"Nebivolol hydrochloride"	"2.5mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"March 2011"	7763009	1
47870	9791011000001100	70250020	3	"Atenolol 25mg tablets (Almus Pharmaceuticals Ltd)"	"Atenolol"	"25mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"October 2012"	5719009	1
71702	8443011000001104	19778020	1	"Diltiazem 60mg/5ml oral solution (Special Order)"	"Diltiazem hydrochloride"	"12mg/1ml"	"Oral solution"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2018"	19778020	1
71150	13199711000001104	34202020	71	"Propranolol 5mg/5ml oral solution"	"Propranolol hydrochloride"	"1mg/1ml"	"Oral solution"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"December 2017"	34202020	1
1118	318204006	65395020	502630	"Verapamil 40mg tablets"	"Verapamil hydrochloride"	"40mg"	"Tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	4371001	1
29763	120685001000027104	63927020	59	"Propanix 160mg Tablet (Ashbourne Pharmaceuticals Ltd)"	"Propranolol hydrochloride"	"160mg"	"Tablet"	"Oral"		"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"February 2009"	3974001	1
55853	96905001000027104	60484020	25	"Pindolol 15mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Pindolol"	"15mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"August 2013"	3135010	1
83117	29955611000001104	52687021	0	"Adizem-XL 200mg capsules (Lexon (UK) Ltd)"	"Diltiazem hydrochloride"	"200mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2021"	52687021	1
21795	865711000001107	50256020	894	"Retalzem 60 modified-release tablets (Kent Pharma (UK) Ltd)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	541001	1
27964	75515001000027104	57658020	1	"Apsolol 40mg Tablet (Approved Prescription Services Ltd)"	"Propranolol hydrochloride"	"40mg"	"Tablet"	"Oral"		"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"February 2009"	2409002	1
64850	19708011000001108	38489020	0	"Bisoprolol 2.5mg tablets (DE Pharmaceuticals)"	"Bisoprolol fumarate"	"2.5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products"	"December 2015"	38489020	1
34867	63965001000027104	56034020	289	"Propranolol 80mg Capsule (IVAX Pharmaceuticals UK Ltd)"	"Propranolol hydrochloride"	"80mg"	"Modified-release capsule"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2009"	2016009	1
35778	82675001000027104	58483020	3	"Labrocol 100mg Tablet (Lagap)"	"Labetalol hydrochloride"	"100mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	2649001	1
9016	639011000001106	54880020	35917	"Trandate 100mg tablets (RPH Pharmaceuticals AB)"	"Labetalol hydrochloride"	"100mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	1713002	1
81607	52475001000027104	54574020	8	"Labetalol 200mg Tablet (Approved Prescription Services Ltd)"	"Labetalol hydrochloride"	"200mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"September 2020"	1638010	1
32836	683311000001100	60550020	683	"Metoprolol 50mg tablets (Mylan)"	"Metoprolol tartrate"	"50mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"February 2009"	3150009	1
65435	21870211000001104	47095020	0	"Propranolol 10mg tablets (Waymade Healthcare Plc)"	"Propranolol hydrochloride"	"10mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"February 2016"	47095020	1
3588	349611000001108	68353020	84777	"Monocor 5mg tablets (Wyeth Pharmaceuticals)"	"Bisoprolol fumarate"	"5mg"	"Tablet"	"Oral"		"Beta-Adrenoceptor Blockers/Hypertension Or Heart Failure Products/Myocardial Infarction Management"	"February 2009"	5191001	1
81076	21911311000001100	47067020	0	"Verapamil 40mg tablets (Waymade Healthcare Plc)"	"Verapamil hydrochloride"	"40mg"	"Tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"July 2020"	47067020	1
15221	199355001000027104	75963020	8	"Dilcardia xl 180mg Modified-release capsule (Generics (UK) Ltd)"	"Diltiazem Hydrochloride"	"180mg"	"Modified-Release Capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	7372002	1
76531	8668111000001101	20523020	4	"Metoprolol 10mg/5ml oral suspension"	"Metoprolol tartrate"	"2mg/1ml"	"Oral suspension"	"Oral"		"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"May 2019"	20523020	1
76431	174545001000027104	71414020	0	"Cardinol 10mg Tablet (C P Pharmaceuticals Ltd)"	"Propranolol hydrochloride"	"10mg"	"Tablet"	"Oral"		"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"May 2019"	6064001	1
19457	3634111000001100	84468020	27	"Ranvera MR 240mg tablets (Ranbaxy (UK) Ltd)"	"Verapamil hydrochloride"	"240mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	10932001	1
67595	24483711000001108	25449021	0	"Nebivolol 5mg tablets (Almus Pharmaceuticals Ltd)"	"Nebivolol hydrochloride"	"5mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"September 2016"	25449021	1
34475	45985001000027104	53802020	452	"Diltiazem HCl 90mg Modified-release tablet (IVAX Pharmaceuticals UK Ltd)"	"Diltiazem hydrochloride"	"90mg"	"Modified-release tablet"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	1432010	1
37774	8885711000001100	88979020	988	"Kenzem SR 60mg capsules (Kent Pharma (UK) Ltd)"	"Diltiazem hydrochloride"	"60mg"	"Modified-release capsule"	"Oral"	2060200	"Calcium-Channel Blockers"	"February 2009"	13068001	1
30400	120285001000027104	63851020	84	"Mepranix 100mg Tablet (Ashbourne Pharmaceuticals Ltd)"	"Metoprolol tartrate"	"100mg"	"Tablet"	"Oral"	2040000	"Beta-Adrenoceptor Blockers"	"February 2009"	3956002	1
