prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues	BBvar
2989941000033114	"5010511000001106"	"Tritace 1.25mg tablets (Sanofi)"	"Tritace 1.25mg tablets"	"Tablet"	"Oral"	"Ramipril"	"1.250mg"	"2050501"	10000	0
211641000033118	"318977009"	"Candesartan 2mg tablets"	"Candesartan 2mg tablets"	"Tablet"	"Oral"	"Candesartan cilexetil"	"2.000mg"	"2050502"	2000000	0
1834341000033110	"3887911000001109"	"Triapin 5mg/5mg modified-release tablets (Sanofi)"	"Triapin 5mg/5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Felodipine/ Ramipril"	"5.000mg + 5.000mg"	"2050501"	7000	0
116741000033118	"3689111000001107"	"Baratol 25mg tablets (Amdipharm Plc)"	"Baratol 25mg tablets"	"Tablet"	"Oral"	"Indoramin hydrochloride"	"25.000mg"	" "	6000	0
1094141000033115	"490211000001101"	"Plendil 5mg modified-release tablets (AstraZeneca UK Ltd)"	"Plendil 5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"5.000mg"	"2060200"	100000	0
744941000033110	"376209006"	"Hydrochlorothiazide 25mg tablets"	"Hydrochlorothiazide 25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide"	"25.000mg"	" "	80000	0
745641000033116	"3150911000001107"	"Hytrin 10mg tablets (Advanz Pharma)"	"Hytrin 10mg tablets"	"Tablet"	"Oral"	"Terazosin hydrochloride"	"10.000mg"	"7040100"	20000	0
2036441000033114	"318995007"	"Eprosartan 400mg tablets"	"Eprosartan 400mg tablets"	"Tablet"	"Oral"	"Eprosartan mesilate"	"400.000mg"	"2050502"	200000	0
955341000033117	"321811000001109"	"Natrilix 2.5mg tablets (Servier Laboratories Ltd)"	"Natrilix 2.5mg tablets"	"Tablet"	"Oral"	"Indapamide hemihydrate"	"2.500mg"	"2020100"	400000	0
4021741000033119	"11161811000001108"	"Exforge 5mg/80mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Exforge 5mg/80mg tablets"	"Tablet"	"Oral"	"Amlodipine besilate/ Valsartan"	"5.000mg + 80.000mg"	"2060200"	4000	0
3160841000033117	"318884002"	"Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets"	"Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Lisinopril"	"12.500mg + 10.000mg"	"2050501"	300000	0
935541000033113	"453811000001103"	"Moduretic 5mg/50mg tablets (Merck Sharp & Dohme (UK) Ltd)"	"Moduretic 5mg/50mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Hydrochlorothiazide"	"5.000mg + 50.000mg"	"2020400"	1000000	0
3177541000033111	"4973011000001100"	"Felogen XL 10mg tablets (Mylan)"	"Felogen XL 10mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	"2060200"	400	0
12312641000033118	"34494911000001106"	"Alkapamid XL 1.5mg tablets (HBS Healthcare Ltd)"	"Alkapamid XL 1.5mg tablets"	"Modified-release tablet"	"Oral"	"Indapamide"	"1.500mg"	" "	400	0
1893241000033114	"318807006"	"Co-zidocapt 25mg/50mg tablets"	"Co-zidocapt 25mg/50mg tablets"	"Tablet"	"Oral"	"Captopril/ Hydrochlorothiazide"	"50.000mg + 25.000mg"	"2050501"	30000	0
5710441000033117	"8427011000001108"	"Co-amilofruse 5mg/40mg/5ml oral suspension"	"Co-amilofruse 5mg/40mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amiloride hydrochloride/ Furosemide"	"1.000mg/1.000ml + 8.000mg/1.000ml"	" "	100	0
376941000033117	"318121006"	"Co-amilozide 2.5mg/25mg tablets"	"Co-amilozide 2.5mg/25mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Hydrochlorothiazide"	"2.500mg + 25.000mg"	"2020400"	600000	0
837841000033110	"318859000"	"Lisinopril 10mg tablets"	"Lisinopril 10mg tablets"	"Tablet"	"Oral"	"Lisinopril"	"10.000mg"	"2050501"	10000000	0
3034441000033111	"5638811000001106"	"Vascalpha 10mg modified-release tablets (Accord Healthcare Ltd)"	"Vascalpha 10mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	"2060200"	10000	0
13422241000033114	"429828006"	"Amlodipine 2.5mg tablets"	"Amlodipine 2.5mg tablets"	"Tablet"	"Oral"	"Amlodipine"	"2.500mg"	" "	10000	0
4521541000033113	"18167311000001103"	"Neofel XL 2.5mg tablets (Actavis UK Ltd)"	"Neofel XL 2.5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"2.500mg"	" "	1000	0
1151441000033111	"318901006"	"Ramipril 2.5mg capsules"	"Ramipril 2.5mg capsules"	"Capsule"	"Oral"	"Ramipril"	"2.500mg"	"2050501"	20000000	0
5401641000033118	"8347411000001109"	"Captopril 15mg/5ml oral suspension"	"Captopril 15mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Captopril"	"3.000mg/1.000ml"	" "	40	0
5401741000033110	"8306711000001109"	"Bendroflumethiazide 5mg/5ml oral suspension"	"Bendroflumethiazide 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Bendroflumethiazide"	"1.000mg/1.000ml"	" "	70	0
10645041000033114	"30251811000001106"	"Lisinopril 5mg/5ml oral solution sugar free"	"Lisinopril 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Lisinopril"	"1.000mg/1.000ml"	" "	8000	0
2036341000033115	"318994006"	"Eprosartan 300mg tablets"	"Eprosartan 300mg tablets"	"Tablet"	"Oral"	"Eprosartan mesilate"	"300.000mg"	"2050502"	200000	0
2929041000033116	"3800711000001105"	"Cabren 10mg modified-release tablets (Teva UK Ltd)"	"Cabren 10mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	" "	300	0
3038141000033110	"39731911000001109"	"Amlodipine 10mg tablets"	"Amlodipine 10mg tablets"	"Tablet"	"Oral"	"Amlodipine"	"10.000mg"	"2060200"	40000000	0
11072741000033116	"8580911000001106"	"Hydralazine 25mg/5ml oral solution"	"Hydralazine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Hydralazine hydrochloride"	"5.000mg/1.000ml"	" "	20	0
2846641000033111	"3803711000001101"	"Coversyl 8mg tablets (Servier Laboratories Ltd)"	"Coversyl 8mg tablets"	"Tablet"	"Oral"	"Perindopril erbumine"	"8.000mg"	"2050501"	7000	0
1849641000033117	"318987008"	"Telmisartan 80mg tablets"	"Telmisartan 80mg tablets"	"Tablet"	"Oral"	"Telmisartan"	"80.000mg"	"2050502"	800000	0
60341000033110	"636611000001107"	"Amil-Co 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Amil-Co 5mg/50mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Hydrochlorothiazide"	"5.000mg + 50.000mg"	"2020400"	30000	0
2216141000033115	"792411000001108"	"CoAprovel 150mg/12.5mg tablets (Sanofi)"	"CoAprovel 150mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Irbesartan"	"12.500mg + 150.000mg"	"2050502"	50000	0
209241000033119	"546711000001107"	"Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Capozide LS 12.5mg/25mg tablets"	"Tablet"	"Oral"	"Captopril/ Hydrochlorothiazide"	"25.000mg + 12.500mg"	" "	9000	0
3851341000033117	"8350511000001107"	"Captopril 3mg/5ml oral solution"	"Captopril 3mg/5ml oral solution"	"Oral solution"	"Oral"	"Captopril"	"600.000microgram/1.000ml"	" "	800	0
5005941000033118	"429503009"	"Olmesartan medoxomil 40mg / Amlodipine 5mg tablets"	"Olmesartan medoxomil 40mg / Amlodipine 5mg tablets"	"Tablet"	"Oral"	"Amlodipine besilate/ Olmesartan medoxomil"	"5.000mg + 40.000mg"	"2050502"	10000	0
780741000033110	"4369611000001106"	"Ismelin 10mg/1ml solution for injection ampoules (Amdipharm Plc)"	"Ismelin 10mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Guanethidine monosulfate"	"10.000mg/1.000ml"	" "	10	0
7754841000033119	"20418711000001104"	"Azilsartan medoxomil 20mg tablets"	"Azilsartan medoxomil 20mg tablets"	"Tablet"	"Oral"	"Azilsartan medoxomil"	"20.000mg"	"2050502"	200	0
745441000033118	"376508004"	"Hydrochlorothiazide 50mg tablets"	"Hydrochlorothiazide 50mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide"	"50.000mg"	" "	20000	0
2739541000033117	"562511000001109"	"Coversyl Plus tablets (Servier Laboratories Ltd)"	"Coversyl Plus tablets"	"Tablet"	"Oral"	"Indapamide/ Perindopril erbumine"	"1.250mg + 4.000mg"	"2050501"	50000	0
1611441000033117	"331311000001103"	"Froop Co 5mg/40mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Froop Co 5mg/40mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Furosemide"	"5.000mg + 40.000mg"	"2020400"	2000	0
568041000033111	"39020311000001104"	"Felodipine 2.5mg modified-release tablets"	"Felodipine 2.5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"2.500mg"	"2060200"	5000000	0
8197041000033112	"21578911000001105"	"Indapamide 2.5mg/5ml oral suspension"	"Indapamide 2.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Indapamide"	"500.000microgram/1.000ml"	" "	200	0
897441000033116	"318672001"	"Methyldopa 250mg tablets"	"Methyldopa 250mg tablets"	"Tablet"	"Oral"	"Methyldopa anhydrous"	"250.000mg"	"2050200"	700000	0
9209341000033116	"24555211000001104"	"Tolura 20mg tablets (Consilient Health Ltd)"	"Tolura 20mg tablets"	"Tablet"	"Oral"	"Telmisartan"	"20.000mg"	" "	1	0
12118541000033112	"10449311000001104"	"Catapres TTS 3 patches (Imported (Germany))"	"Catapres TTS 3 patches"	"Transdermal patch"	" "	"Clonidine"	"300.000microgram/24.000hour"	" "	40	0
4152241000033113	"8720311000001101"	"Ramipril 1.25mg/5ml oral suspension"	"Ramipril 1.25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Ramipril"	"250.000microgram/1.000ml"	" "	1000	0
1753941000033114	"797911000001103"	"Tanatril 5mg tablets (Mitsubishi Tanabe Pharma Europe Ltd)"	"Tanatril 5mg tablets"	"Tablet"	"Oral"	"Imidapril hydrochloride"	"5.000mg"	"2050501"	2000	0
74641000033118	"120911000001103"	"Aprinox 5mg tablets (Amdipharm Plc)"	"Aprinox 5mg tablets"	"Tablet"	"Oral"	"Bendroflumethiazide"	"5.000mg"	"2020100"	100000	0
3279641000033119	"8145911000001100"	"Lisicostad 20mg/12.5mg tablets (Genus Pharmaceuticals Ltd)"	"Lisicostad 20mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Lisinopril"	"12.500mg + 20.000mg"	"2050501"	3	0
1893141000033119	"318806002"	"Co-zidocapt 12.5mg/25mg tablets"	"Co-zidocapt 12.5mg/25mg tablets"	"Tablet"	"Oral"	"Captopril/ Hydrochlorothiazide"	"25.000mg + 12.500mg"	"2050501"	3000	0
1552141000033116	"891711000001107"	"Zestril 20mg tablets (AstraZeneca UK Ltd)"	"Zestril 20mg tablets"	"Tablet"	"Oral"	"Lisinopril"	"20.000mg"	"2050501"	200000	0
3161241000033111	"134460003"	"Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets"	"Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Irbesartan"	"12.500mg + 300.000mg"	"2050502"	400000	0
1149541000033113	"318894007"	"Quinapril 40mg tablets"	"Quinapril 40mg tablets"	"Tablet"	"Oral"	"Quinapril hydrochloride"	"40.000mg"	"2050501"	200000	0
1468141000033118	"721311000001104"	"Triamaxco 50mg/25mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Triamaxco 50mg/25mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Triamterene"	"25.000mg + 50.000mg"	"2020400"	10000	0
1429141000033119	"318776005"	"Terazosin 5mg tablets"	"Terazosin 5mg tablets"	"Tablet"	"Oral"	"Terazosin hydrochloride"	"5.000mg"	"7040100"	300000	0
8276141000033118	"14057411000001109"	"Perindopril erbumine 8mg/5ml oral suspension"	"Perindopril erbumine 8mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Perindopril erbumine"	"1.600mg/1.000ml"	" "	100	0
1622241000033119	"572511000001102"	"Kaplon 50mg tablets (Teva UK Ltd)"	"Kaplon 50mg tablets"	"Tablet"	"Oral"	"Captopril"	"50.000mg"	"2050501"	80	0
4152841000033112	"11506711000001103"	"Cardioplen XL 2.5mg tablets (Chiesi Ltd)"	"Cardioplen XL 2.5mg tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"2.500mg"	" "	200000	0
4454341000033113	"13444911000001103"	"Coversyl Arginine 5mg tablets (Servier Laboratories Ltd)"	"Coversyl Arginine 5mg tablets"	"Tablet"	"Oral"	"Perindopril arginine"	"5.000mg"	"2050501"	40000	0
1151541000033112	"318902004"	"Ramipril 5mg capsules"	"Ramipril 5mg capsules"	"Capsule"	"Oral"	"Ramipril"	"5.000mg"	"2050501"	30000000	0
57141000033118	"318052005"	"Amiloride 5mg tablets"	"Amiloride 5mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride"	"5.000mg"	"2020300"	2000000	0
768541000033119	"39696511000001106"	"Indoramin 20mg tablets"	"Indoramin 20mg tablets"	"Tablet"	"Oral"	"Indoramin hydrochloride"	"20.000mg"	"7040100"	900000	0
615241000033116	"818511000001106"	"Fru-Co 5mg/40mg tablets (Teva UK Ltd)"	"Fru-Co 5mg/40mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Furosemide"	"5.000mg + 40.000mg"	"2020400"	90000	0
2928541000033119	"653111000001108"	"Tensopril 50mg tablets (Teva UK Ltd)"	"Tensopril 50mg tablets"	"Tablet"	"Oral"	"Captopril"	"50.000mg"	"2050501"	30	0
470741000033113	"348911000001105"	"Diurexan 20mg tablets (Mylan)"	"Diurexan 20mg tablets"	"Tablet"	"Oral"	"Xipamide"	"20.000mg"	"2020100"	40000	0
2944841000033113	"4624011000001101"	"Olmetec 10mg tablets (Daiichi Sankyo UK Ltd)"	"Olmetec 10mg tablets"	"Tablet"	"Oral"	"Olmesartan medoxomil"	"10.000mg"	"2050502"	30000	0
5971741000033116	"15451111000001107"	"Losartan 100mg/5ml oral solution"	"Losartan 100mg/5ml oral solution"	"Oral solution"	"Oral"	"Losartan potassium"	"20.000mg/1.000ml"	" "	300	0
769241000033112	"302311000001104"	"Innovace 20mg tablets (Organon Pharma (UK) Ltd)"	"Innovace 20mg tablets"	"Tablet"	"Oral"	"Enalapril maleate"	"20.000mg"	"2050501"	200000	0
261841000033118	"36089511000001100"	"Clonidine 250microgram modified-release capsules"	"Clonidine 250microgram modified-release capsules"	"Modified-release capsule"	"Oral"	"Clonidine hydrochloride"	"250.000microgram"	" "	3000	0
769041000033116	"316111000001104"	"Innovace 10mg tablets (Organon Pharma (UK) Ltd)"	"Innovace 10mg tablets"	"Tablet"	"Oral"	"Enalapril maleate"	"10.000mg"	"2050501"	200000	0
376641000033112	"318136009"	"Co-amilofruse 5mg/40mg tablets"	"Co-amilofruse 5mg/40mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Furosemide"	"5.000mg + 40.000mg"	"2020400"	6000000	0
788041000033110	"408111000001107"	"Istin 10mg tablets (Upjohn UK Ltd)"	"Istin 10mg tablets"	"Tablet"	"Oral"	"Amlodipine"	"10.000mg"	"2060200"	300000	0
967741000033115	"319217004"	"Nicardipine 20mg capsules"	"Nicardipine 20mg capsules"	"Capsule"	"Oral"	"Nicardipine hydrochloride"	"20.000mg"	"2060200"	200000	0
2989541000033115	"408040007"	"Ramipril 1.25mg tablets"	"Ramipril 1.25mg tablets"	"Tablet"	"Oral"	"Ramipril"	"1.250mg"	"2050501"	500000	0
9159341000033112	"24411411000001100"	"Actelsar HCT 40mg/12.5mg tablets (Actavis UK Ltd)"	"Actelsar HCT 40mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Telmisartan"	"12.500mg + 40.000mg"	" "	9	0
234841000033110	"3932711000001105"	"Centyl K modified-release tablets (LEO Pharma)"	"Centyl K modified-release tablets"	"Modified-release tablet"	"Oral"	"Bendroflumethiazide/ Potassium chloride"	"2.500mg + 573.000mg"	" "	40000	0
742841000033114	"285911000001101"	"Hygroton 50mg tablets (Alliance Pharmaceuticals Ltd)"	"Hygroton 50mg tablets"	"Tablet"	"Oral"	"Chlortalidone"	"50.000mg"	"2020100"	50000	0
285841000033118	"318667005"	"Clonidine 100microgram tablets"	"Clonidine 100microgram tablets"	"Tablet"	"Oral"	"Clonidine hydrochloride"	"100.000microgram"	"6040101"	200000	0
2272741000033111	"648711000001100"	"Micardis 20mg tablets (Boehringer Ingelheim Ltd)"	"Micardis 20mg tablets"	"Tablet"	"Oral"	"Telmisartan"	"20.000mg"	"2050502"	8000	0
6045641000033115	"18149011000001101"	"Neo-Naclex 2.5mg tablets (Advanz Pharma)"	"Neo-Naclex 2.5mg tablets"	"Tablet"	"Oral"	"Bendroflumethiazide"	"2.500mg"	" "	8	0
1495441000033116	"898211000001109"	"Urizide 5mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Urizide 5mg tablets"	"Tablet"	"Oral"	"Bendroflumethiazide"	"5.000mg"	" "	1	0
370841000033110	"255911000001105"	"Cozaar-Comp 50mg/12.5mg tablets (Organon Pharma (UK) Ltd)"	"Cozaar-Comp 50mg/12.5mg tablets"	"Tablet"	"Oral"	"Hydrochlorothiazide/ Losartan potassium"	"12.500mg + 50.000mg"	"2050502"	200000	0
3086241000033111	"317935006"	"Chlortalidone 50mg tablets"	"Chlortalidone 50mg tablets"	"Tablet"	"Oral"	"Chlortalidone"	"50.000mg"	"2020100"	200000	0
1455541000033110	"111611000001109"	"Tritace 1.25mg capsules (Aventis Pharma)"	"Tritace 1.25mg capsules"	"Capsule"	"Oral"	"Ramipril"	"1.250mg"	"2050501"	20000	0
838141000033117	"318858008"	"Lisinopril 5mg tablets"	"Lisinopril 5mg tablets"	"Tablet"	"Oral"	"Lisinopril"	"5.000mg"	"2050501"	10000000	0
1622141000033114	"477111000001100"	"Kaplon 25mg tablets (Teva UK Ltd)"	"Kaplon 25mg tablets"	"Tablet"	"Oral"	"Captopril"	"25.000mg"	"2050501"	200	0
1094041000033119	"48511000001101"	"Plendil 10mg modified-release tablets (AstraZeneca UK Ltd)"	"Plendil 10mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	"2060200"	70000	0
5453941000033119	"8307011000001105"	"Bendroflumethiazide 1.25mg/5ml oral suspension"	"Bendroflumethiazide 1.25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Bendroflumethiazide"	"250.000microgram/1.000ml"	" "	90	0
216241000033114	"778011000001109"	"Carace 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Carace 5mg tablets"	"Tablet"	"Oral"	"Lisinopril"	"5.000mg"	" "	30000	0
818941000033112	"678511000001106"	"Lasoride 5mg/40mg tablets (Sanofi)"	"Lasoride 5mg/40mg tablets"	"Tablet"	"Oral"	"Amiloride hydrochloride/ Furosemide"	"5.000mg + 40.000mg"	"2020400"	200000	0
3963741000033115	"8278111000001105"	"Amlodipine 10mg/5ml oral suspension"	"Amlodipine 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amlodipine"	"2.000mg/1.000ml"	" "	9000	0
745841000033115	"3154311000001103"	"Hytrin 5mg tablets (Advanz Pharma)"	"Hytrin 5mg tablets"	"Tablet"	"Oral"	"Terazosin hydrochloride"	"5.000mg"	"7040100"	30000	0
215941000033111	"315211000001104"	"Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Carace 10mg tablets"	"Tablet"	"Oral"	"Lisinopril"	"10.000mg"	" "	30000	0
2272641000033119	"134463001"	"Telmisartan 20mg tablets"	"Telmisartan 20mg tablets"	"Tablet"	"Oral"	"Telmisartan"	"20.000mg"	"2050502"	400000	0
