prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues	BBvar
1833141000033114	"813611000001103"	"Zemtard 180 XL capsules (Galen Ltd)"	"Zemtard 180 XL capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"180.000mg"	"2060200"	80000	1
233341000033116	"318622003"	"Celiprolol 400mg tablets"	"Celiprolol 400mg tablets"	"Tablet"	"Oral"	"Celiprolol hydrochloride"	"400.000mg"	"2040000"	100000	1
1469141000033112	"77311000001105"	"Trandate 200mg tablets (RPH Pharmaceuticals AB)"	"Trandate 200mg tablets"	"Tablet"	"Oral"	"Labetalol hydrochloride"	"200.000mg"	"2040000"	50000	1
1469041000033113	"639011000001106"	"Trandate 100mg tablets (RPH Pharmaceuticals AB)"	"Trandate 100mg tablets"	"Tablet"	"Oral"	"Labetalol hydrochloride"	"100.000mg"	"2040000"	50000	1
1952241000033119	"712511000001106"	"Cardicor 1.25mg tablets (Merck Serono Ltd)"	"Cardicor 1.25mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"1.250mg"	"2040000"	30000	1
1441741000033119	"893111000001107"	"Tildiem LA 300 capsules (Sanofi)"	"Tildiem LA 300 capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"300.000mg"	"2060200"	800000	1
7871341000033114	"16109911000001102"	"Nadolol 30mg/5ml oral solution"	"Nadolol 30mg/5ml oral solution"	"Oral solution"	"Oral"	"Nadolol"	"6.000mg/1.000ml"	" "	400	1
5565341000033115	"39701111000001100"	"Nebivolol 2.5mg tablets"	"Nebivolol 2.5mg tablets"	"Tablet"	"Oral"	"Nebivolol hydrochloride"	"2.500mg"	" "	300000	1
375341000033112	"3687411000001106"	"Corgard 80mg tablets (Neon Healthcare Ltd)"	"Corgard 80mg tablets"	"Tablet"	"Oral"	"Nadolol"	"80.000mg"	"2040000"	10000	1
818841000033116	"318458004"	"Labetalol 50mg tablets"	"Labetalol 50mg tablets"	"Tablet"	"Oral"	"Labetalol hydrochloride"	"50.000mg"	"2040000"	70000	1
17841000033118	"2938011000001101"	"Adizem-XL 180mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-XL 180mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"180.000mg"	"2060200"	600000	1
144441000033111	"31811000001105"	"Betaloc 50mg tablets (AstraZeneca UK Ltd)"	"Betaloc 50mg tablets"	"Tablet"	"Oral"	"Metoprolol tartrate"	"50.000mg"	" "	60000	1
452041000033113	"39023611000001100"	"Diltiazem 300mg modified-release capsules"	"Diltiazem 300mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"300.000mg"	"2060200"	300000	1
1513241000033114	"318204006"	"Verapamil 40mg tablets"	"Verapamil 40mg tablets"	"Tablet"	"Oral"	"Verapamil hydrochloride"	"40.000mg"	"2060200"	1000000	1
5898441000033119	"15160211000001100"	"Bisoprolol 625micrograms/5ml oral solution"	"Bisoprolol 625micrograms/5ml oral solution"	"Oral solution"	"Oral"	"Bisoprolol fumarate"	"125.000microgram/1.000ml"	" "	80	1
1135341000033115	"318354003"	"Propranolol 80mg tablets"	"Propranolol 80mg tablets"	"Tablet"	"Oral"	"Propranolol hydrochloride"	"80.000mg"	"2040000"	700000	1
17341000033110	"2887311000001104"	"Adizem-SR 120mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-SR 120mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"120.000mg"	"2060200"	300000	1
375041000033110	"557111000001106"	"Cordilox 40mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Cordilox 40mg tablets"	"Tablet"	"Oral"	"Verapamil hydrochloride"	"40.000mg"	"2060200"	20000	1
660741000033115	"724111000001103"	"Half Beta-Prograne 80mg modified-release capsules (Tillomed Laboratories Ltd)"	"Half Beta-Prograne 80mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Propranolol hydrochloride"	"80.000mg"	"2040000"	60000	1
1952641000033116	"404511000001105"	"Cardicor 7.5mg tablets (Merck Serono Ltd)"	"Cardicor 7.5mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"7.500mg"	"2040000"	6000	1
1661641000033116	"527711000001108"	"Optil 60mg modified-release tablets (Opus Pharmaceuticals Ltd)"	"Optil 60mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Diltiazem hydrochloride"	"60.000mg"	"2060200"	1000	1
2638141000033114	"405411000001107"	"Bipranix 10mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Bipranix 10mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"10.000mg"	"2040000"	50	1
133141000033117	"510611000001108"	"Beta-Prograne 160mg modified-release capsules (Tillomed Laboratories Ltd)"	"Beta-Prograne 160mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Propranolol hydrochloride"	"160.000mg"	"2040000"	6000	1
5898541000033118	"15160311000001108"	"Bisoprolol 625micrograms/5ml oral suspension"	"Bisoprolol 625micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"Bisoprolol fumarate"	"125.000microgram/1.000ml"	" "	20	1
1091241000033112	"318512002"	"Pindolol 5mg tablets"	"Pindolol 5mg tablets"	"Tablet"	"Oral"	"Pindolol"	"5.000mg"	"2040000"	60000	1
658241000033117	"226211000001106"	"Half Inderal LA 80mg capsules (AstraZeneca UK Ltd)"	"Half Inderal LA 80mg capsules"	"Modified-release capsule"	"Oral"	"Propranolol hydrochloride"	"80.000mg"	" "	1000000	1
768841000033117	"930211000001107"	"Inderal 40mg tablets (AstraZeneca UK Ltd)"	"Inderal 40mg tablets"	"Tablet"	"Oral"	"Propranolol hydrochloride"	"40.000mg"	" "	100000	1
151341000033117	"318590006"	"Bisoprolol 5mg tablets"	"Bisoprolol 5mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"5.000mg"	"2040000"	20000000	1
1124041000033116	"38751211000001101"	"Propranolol 160mg modified-release capsules"	"Propranolol 160mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Propranolol hydrochloride"	"160.000mg"	"2040000"	1000000	1
1346641000033113	"599811000001104"	"Slozem 240mg capsules (Zentiva Pharma UK Ltd)"	"Slozem 240mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"240.000mg"	"2060200"	400000	1
2674941000033119	"256611000001109"	"Disogram SR 90mg capsules (Ranbaxy (UK) Ltd)"	"Disogram SR 90mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"90.000mg"	"2060200"	2000	1
1424541000033110	"373311000001100"	"Tenormin 25mg/5ml syrup (AstraZeneca UK Ltd)"	"Tenormin 25mg/5ml syrup"	"Oral solution"	"Oral"	"Atenolol"	"5.000mg/1.000ml"	"2040000"	7000	1
1509141000033115	"38750211000001107"	"Verapamil 240mg modified-release tablets"	"Verapamil 240mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Verapamil hydrochloride"	"240.000mg"	"2060200"	800000	1
12682641000033112	"36106711000001107"	"Bedranol 80mg tablets (Ennogen Pharma Ltd)"	"Bedranol 80mg tablets"	"Tablet"	"Oral"	"Propranolol hydrochloride"	"80.000mg"	" "	40	1
1511241000033113	"36149411000001103"	"Verapamil 180mg modified-release capsules"	"Verapamil 180mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Verapamil hydrochloride"	"180.000mg"	"2060200"	100000	1
956341000033113	"318480001"	"Nadolol 40mg tablets"	"Nadolol 40mg tablets"	"Tablet"	"Oral"	"Nadolol"	"40.000mg"	" "	20000	1
1951641000033111	"318604001"	"Bisoprolol 1.25mg tablets"	"Bisoprolol 1.25mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"1.250mg"	"2040000"	10000000	1
1520341000033115	"886511000001107"	"Viazem XL 240mg capsules (Thornton & Ross Ltd)"	"Viazem XL 240mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"240.000mg"	"2060200"	100000	1
1570541000033111	"467111000001105"	"Angitil XL 300 capsules (Ethypharm UK Ltd)"	"Angitil XL 300 capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"300.000mg"	"2060200"	70000	1
1426541000033115	"423911000001107"	"Tenormin LS 50mg tablets (AstraZeneca UK Ltd)"	"Tenormin LS 50mg tablets"	"Tablet"	"Oral"	"Atenolol"	"50.000mg"	"2040000"	700000	1
65541000033111	"336611000001101"	"Angitil SR 180 capsules (Ethypharm UK Ltd)"	"Angitil SR 180 capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"180.000mg"	"2060200"	100000	1
1428741000033112	"317111000001101"	"Tenormin 25mg tablets (AstraZeneca UK Ltd)"	"Tenormin 25mg tablets"	"Tablet"	"Oral"	"Atenolol"	"25.000mg"	"2040000"	200000	1
1520541000033110	"648211000001107"	"Viazem XL 360mg capsules (Thornton & Ross Ltd)"	"Viazem XL 360mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"360.000mg"	"2060200"	100000	1
1796041000033113	"39701211000001106"	"Nebivolol 5mg tablets"	"Nebivolol 5mg tablets"	"Tablet"	"Oral"	"Nebivolol hydrochloride"	"5.000mg"	"2040000"	2000000	1
1570441000033110	"75111000001104"	"Angitil XL 240 capsules (Ethypharm UK Ltd)"	"Angitil XL 240 capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"240.000mg"	"2060200"	60000	1
124341000033119	"3142711000001107"	"Beta-Adalat modified-release capsules (Bayer Plc)"	"Beta-Adalat modified-release capsules"	"Modified-release capsule"	"Oral"	"Atenolol/ Nifedipine"	"50.000mg + 20.000mg"	"2040000"	100000	1
768941000033113	"821011000001100"	"Inderal 80mg tablets (AstraZeneca UK Ltd)"	"Inderal 80mg tablets"	"Tablet"	"Oral"	"Propranolol hydrochloride"	"80.000mg"	" "	40000	1
1406341000033117	"3691211000001101"	"Tarka modified-release capsules (Abbott Laboratories Ltd)"	"Tarka modified-release capsules"	"Modified-release capsule"	"Oral"	"Trandolapril/ Verapamil hydrochloride"	"2.000mg + 180.000mg"	" "	10000	1
1444541000033113	"318534000"	"Timolol 10mg tablets"	"Timolol 10mg tablets"	"Tablet"	"Oral"	"Timolol maleate"	"10.000mg"	"2040000"	200000	1
768741000033110	"567911000001100"	"Inderal 10mg tablets (AstraZeneca UK Ltd)"	"Inderal 10mg tablets"	"Tablet"	"Oral"	"Propranolol hydrochloride"	"10.000mg"	" "	100000	1
6487941000033119	"8582311000001109"	"Labetalol 50mg/5ml oral solution"	"Labetalol 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Labetalol hydrochloride"	"10.000mg/1.000ml"	" "	60	1
1833041000033110	"105211000001107"	"Zemtard 120 XL capsules (Galen Ltd)"	"Zemtard 120 XL capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"120.000mg"	"2060200"	80000	1
3984541000033111	"10241311000001102"	"Congescor 1.25mg tablets (Tillomed Laboratories Ltd)"	"Congescor 1.25mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"1.250mg"	" "	1000	1
2779341000033110	"580711000001101"	"Bi-Carzem SR 120mg capsules (Tillomed Laboratories Ltd)"	"Bi-Carzem SR 120mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"120.000mg"	" "	700	1
2779241000033117	"764511000001100"	"Bi-Carzem SR 90mg capsules (Tillomed Laboratories Ltd)"	"Bi-Carzem SR 90mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"90.000mg"	" "	700	1
459641000033113	"39024011000001109"	"Diltiazem 120mg modified-release tablets"	"Diltiazem 120mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Diltiazem hydrochloride"	"120.000mg"	"2060200"	500000	1
1800341000033113	"39023711000001109"	"Diltiazem 360mg modified-release capsules"	"Diltiazem 360mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"360.000mg"	"2060200"	60000	1
2955241000033111	"823511000001107"	"Zemret 240 XL capsules (Tillomed Laboratories Ltd)"	"Zemret 240 XL capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"240.000mg"	" "	700	1
5816841000033119	"884811000001103"	"Bi-Carzem XL 240mg capsules (Tillomed Laboratories Ltd)"	"Bi-Carzem XL 240mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"240.000mg"	" "	40	1
5898241000033115	"8304911000001103"	"Bisoprolol 5mg/5ml oral solution"	"Bisoprolol 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Bisoprolol fumarate"	"1.000mg/1.000ml"	" "	1000	1
3984641000033112	"10241511000001108"	"Congescor 2.5mg tablets (Tillomed Laboratories Ltd)"	"Congescor 2.5mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"2.500mg"	" "	4000	1
452641000033119	"417111000001109"	"Dilzem SR 60 capsules (Teva UK Ltd)"	"Dilzem SR 60 capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"60.000mg"	"2060200"	200000	1
1489741000033113	"65411000001102"	"Univer 240mg modified-release capsules (Teva UK Ltd)"	"Univer 240mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Verapamil hydrochloride"	"240.000mg"	"2060200"	90000	1
1135041000033117	"318352004"	"Propranolol 10mg tablets"	"Propranolol 10mg tablets"	"Tablet"	"Oral"	"Propranolol hydrochloride"	"10.000mg"	"2040000"	6000000	1
451841000033110	"39023211000001102"	"Diltiazem 120mg modified-release capsules"	"Diltiazem 120mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"120.000mg"	"2060200"	500000	1
374941000033110	"783511000001101"	"Cordilox 160mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Cordilox 160mg tablets"	"Tablet"	"Oral"	"Verapamil hydrochloride"	"160.000mg"	"2060200"	10000	1
17741000033111	"2937811000001108"	"Adizem-XL 120mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-XL 120mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"120.000mg"	"2060200"	700000	1
2839941000033114	"2899011000001105"	"Rapranol SR 80mg capsules (Ranbaxy (UK) Ltd)"	"Rapranol SR 80mg capsules"	"Modified-release capsule"	"Oral"	"Propranolol hydrochloride"	"80.000mg"	" "	4000	1
17641000033119	"2887011000001102"	"Adizem-SR 90mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-SR 90mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"90.000mg"	"2060200"	400000	1
1426441000033116	"162411000001102"	"Tenormin 100mg tablets (AstraZeneca UK Ltd)"	"Tenormin 100mg tablets"	"Tablet"	"Oral"	"Atenolol"	"100.000mg"	"2040000"	500000	1
453741000033118	"39023511000001104"	"Diltiazem 240mg modified-release capsules"	"Diltiazem 240mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"240.000mg"	"2060200"	300000	1
17441000033116	"2886711000001103"	"Adizem-SR 180mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-SR 180mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"180.000mg"	"2060200"	200000	1
18041000033112	"2886111000001104"	"Adizem-XL 300mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-XL 300mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"300.000mg"	"2060200"	600000	1
374841000033119	"867011000001103"	"Cordilox 120mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Cordilox 120mg tablets"	"Tablet"	"Oral"	"Verapamil hydrochloride"	"120.000mg"	" "	10000	1
1952341000033112	"628711000001102"	"Cardicor 2.5mg tablets (Merck Serono Ltd)"	"Cardicor 2.5mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"2.500mg"	"2040000"	100000	1
1135141000033118	"318355002"	"Propranolol 160mg tablets"	"Propranolol 160mg tablets"	"Tablet"	"Oral"	"Propranolol hydrochloride"	"160.000mg"	"2040000"	60000	1
1525141000033111	"3887411000001101"	"Visken 15mg tablets (Advanz Pharma)"	"Visken 15mg tablets"	"Tablet"	"Oral"	"Pindolol"	"15.000mg"	"2040000"	2000	1
453141000033117	"254911000001106"	"Dilzem XL 180 capsules (Teva UK Ltd)"	"Dilzem XL 180 capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"180.000mg"	"2060200"	200000	1
2267541000033111	"28711000001109"	"Syprol 10mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Syprol 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Propranolol hydrochloride"	"2.000mg/1.000ml"	"2040000"	700	1
9118241000033116	"8885711000001100"	"Kenzem SR 60mg capsules (Kent Pharma (UK) Ltd)"	"Kenzem SR 60mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"60.000mg"	" "	900	1
12682441000033112	"36106511000001102"	"Bedranol 40mg tablets (Ennogen Pharma Ltd)"	"Bedranol 40mg tablets"	"Tablet"	"Oral"	"Propranolol hydrochloride"	"40.000mg"	" "	500	1
514741000033117	"318591005"	"Bisoprolol 10mg tablets"	"Bisoprolol 10mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"10.000mg"	"2040000"	7000000	1
9118341000033110	"8886211000001101"	"Kenzem SR 90mg capsules (Kent Pharma (UK) Ltd)"	"Kenzem SR 90mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"90.000mg"	" "	1000	1
9118441000033116	"8886511000001103"	"Kenzem SR 120mg capsules (Kent Pharma (UK) Ltd)"	"Kenzem SR 120mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"120.000mg"	" "	300	1
1524041000033111	"3706111000001105"	"Visken 5mg tablets (Advanz Pharma)"	"Visken 5mg tablets"	"Tablet"	"Oral"	"Pindolol"	"5.000mg"	"2040000"	6000	1
2890741000033113	"7418711000001109"	"Vera-Til SR 240mg tablets (Tillomed Laboratories Ltd)"	"Vera-Til SR 240mg tablets"	"Modified-release tablet"	"Oral"	"Verapamil hydrochloride"	"240.000mg"	" "	2000	1
956541000033118	"318481002"	"Nadolol 80mg tablets"	"Nadolol 80mg tablets"	"Tablet"	"Oral"	"Nadolol"	"80.000mg"	"2040000"	100000	1
3246941000033118	"35903311000001104"	"Atenolol 50mg / Nifedipine 20mg modified-release capsules"	"Atenolol 50mg / Nifedipine 20mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Atenolol/ Nifedipine"	"50.000mg + 20.000mg"	"2040000"	50000	1
2929141000033117	"240711000001100"	"Slo-Pro 160mg capsules (Mylan)"	"Slo-Pro 160mg capsules"	"Modified-release capsule"	"Oral"	"Propranolol hydrochloride"	"160.000mg"	"2040000"	1	1
454041000033118	"39023811000001101"	"Diltiazem 60mg modified-release tablets"	"Diltiazem 60mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Diltiazem hydrochloride"	"60.000mg"	"2060200"	1000000	1
2890641000033116	"7418511000001104"	"Vera-Til SR 120mg tablets (Tillomed Laboratories Ltd)"	"Vera-Til SR 120mg tablets"	"Modified-release tablet"	"Oral"	"Verapamil hydrochloride"	"120.000mg"	" "	7000	1
897741000033111	"318474009"	"Metoprolol 100mg tablets"	"Metoprolol 100mg tablets"	"Tablet"	"Oral"	"Metoprolol tartrate"	"100.000mg"	"2040000"	700000	1
1125441000033112	"35932811000001105"	"Propranolol 5mg/5ml oral solution sugar free"	"Propranolol 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Propranolol hydrochloride"	"1.000mg/1.000ml"	"2040000"	20000	1
5816941000033110	"158411000001105"	"Bi-Carzem XL 300mg capsules (Tillomed Laboratories Ltd)"	"Bi-Carzem XL 300mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"300.000mg"	" "	2	1
1523941000033114	"3638411000001101"	"Viskaldix tablets (Advanz Pharma)"	"Viskaldix tablets"	"Tablet"	"Oral"	"Clopamide/ Pindolol"	"5.000mg + 10.000mg"	"2040000"	40000	1
850941000033119	"113511000001109"	"Lopresor 50mg tablets (Recordati Pharmaceuticals Ltd)"	"Lopresor 50mg tablets"	"Tablet"	"Oral"	"Metoprolol tartrate"	"50.000mg"	"2040000"	30000	1
1754841000033116	"675611000001104"	"Vertab SR 240 tablets (Chiesi Ltd)"	"Vertab SR 240 tablets"	"Modified-release tablet"	"Oral"	"Verapamil hydrochloride"	"240.000mg"	"2060200"	70000	1
1135241000033113	"318353009"	"Propranolol 40mg tablets"	"Propranolol 40mg tablets"	"Tablet"	"Oral"	"Propranolol hydrochloride"	"40.000mg"	"2040000"	8000000	1
4955841000033115	"15356211000001102"	"Propranolol 40mg/5ml oral solution sugar free"	"Propranolol 40mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Propranolol hydrochloride"	"8.000mg/1.000ml"	" "	10000	1
2261241000033118	"550211000001104"	"Slozem 300mg capsules (Zentiva Pharma UK Ltd)"	"Slozem 300mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"300.000mg"	"2060200"	200000	1
939241000033113	"329611000001106"	"Monocor 10mg tablets (Wyeth Pharmaceuticals)"	"Monocor 10mg tablets"	"Tablet"	"Oral"	"Bisoprolol fumarate"	"10.000mg"	" "	100000	1
2675341000033117	"713411000001103"	"Disogram SR 180mg capsules (Ranbaxy (UK) Ltd)"	"Disogram SR 180mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"180.000mg"	"2060200"	1000	1
2845841000033119	"3634111000001100"	"Ranvera MR 240mg tablets (Ranbaxy (UK) Ltd)"	"Ranvera MR 240mg tablets"	"Modified-release tablet"	"Oral"	"Verapamil hydrochloride"	"240.000mg"	" "	300	1
12682741000033116	"36107111000001109"	"Bedranol 160mg tablets (Ennogen Pharma Ltd)"	"Bedranol 160mg tablets"	"Tablet"	"Oral"	"Propranolol hydrochloride"	"160.000mg"	" "	5	1
236041000033111	"318619000"	"Celiprolol 200mg tablets"	"Celiprolol 200mg tablets"	"Tablet"	"Oral"	"Celiprolol hydrochloride"	"200.000mg"	"2040000"	400000	1
375141000033114	"258911000001104"	"Cordilox 80mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Cordilox 80mg tablets"	"Tablet"	"Oral"	"Verapamil hydrochloride"	"80.000mg"	"2060200"	20000	1
2267441000033110	"295911000001102"	"Syprol 5mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Syprol 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Propranolol hydrochloride"	"1.000mg/1.000ml"	"2040000"	800	1
10650141000033116	"16110011000001107"	"Nadolol 30mg/5ml oral suspension"	"Nadolol 30mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Nadolol"	"6.000mg/1.000ml"	" "	100	1
71041000033110	"874711000001101"	"Antipressan 50mg tablets (Teva UK Ltd)"	"Antipressan 50mg tablets"	"Tablet"	"Oral"	"Atenolol"	"50.000mg"	" "	20000	1
458841000033115	"39023911000001106"	"Diltiazem 90mg modified-release tablets"	"Diltiazem 90mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Diltiazem hydrochloride"	"90.000mg"	"2060200"	700000	1
70941000033117	"734011000001102"	"Antipressan 100mg tablets (Teva UK Ltd)"	"Antipressan 100mg tablets"	"Tablet"	"Oral"	"Atenolol"	"100.000mg"	" "	10000	1
91141000033119	"318420003"	"Atenolol 50mg tablets"	"Atenolol 50mg tablets"	"Tablet"	"Oral"	"Atenolol"	"50.000mg"	"2100100"	40000000	1
4507941000033117	"12287611000001100"	"Bisoprolol 2.5mg/5ml oral suspension"	"Bisoprolol 2.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Bisoprolol fumarate"	"500.000microgram/1.000ml"	" "	3000	1
10650041000033116	"16131011000001109"	"Nadolol 20mg/5ml oral suspension"	"Nadolol 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Nadolol"	"4.000mg/1.000ml"	" "	200	1
1520441000033114	"407011000001105"	"Viazem XL 300mg capsules (Thornton & Ross Ltd)"	"Viazem XL 300mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"300.000mg"	"2060200"	80000	1
1520241000033113	"33211000001108"	"Viazem XL 180mg capsules (Thornton & Ross Ltd)"	"Viazem XL 180mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem hydrochloride"	"180.000mg"	"2060200"	200000	1
2616041000033116	"8668211000001107"	"Metoprolol 12.5mg/5ml oral solution"	"Metoprolol 12.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Metoprolol tartrate"	"2.500mg/1.000ml"	" "	6000	1
