prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues
805141000033117	"917411000001101"	"Klaricid Paediatric 125mg/5ml oral suspension (Mylan)"	"Klaricid Paediatric 125mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Clarithromycin"	"25.000mg/1.000ml"	"5010500"	30000
1063241000033111	"12778811000001103"	"Penbritin 125mg/5ml syrup (Chemidex Pharma Ltd)"	"Penbritin 125mg/5ml syrup"	"Oral suspension"	"Oral"	"Ampicillin"	"25.000mg/1.000ml"	" "	2000
226841000033119	"36134711000001107"	"Cefuroxime 750mg powder for injection vials"	"Cefuroxime 750mg powder for injection vials"	" Powder for injection"	"Intramuscular/ Intravenous"	"Cefuroxime sodium"	"750.000mg"	"5010201"	400
226741000033112	"323880005"	"Cefuroxime 250mg powder for injection vials"	"Cefuroxime 250mg powder for injection vials"	" Powder for injection"	"Intramuscular/ Intravenous"	"Cefuroxime sodium"	"250.000mg"	"5010201"	200
1572841000033112	"39733511000001103"	"Azithromycin 500mg tablets"	"Azithromycin 500mg tablets"	"Tablet"	"Oral"	"Azithromycin"	"500.000mg"	" "	500000
259041000033115	"39687011000001101"	"Ciprofloxacin 750mg tablets"	"Ciprofloxacin 750mg tablets"	"Tablet"	"Oral"	"Ciprofloxacin hydrochloride"	"750.000mg"	"5011200"	80000
620241000033118	"2011000001104"	"Galenamox 250mg capsules (Galen Ltd)"	"Galenamox 250mg capsules"	"Capsule"	"Oral"	"Amoxicillin trihydrate"	"250.000mg"	"5010103"	20000
537841000033111	"324234006"	"Erythromycin ethyl succinate 500mg/5ml oral suspension"	"Erythromycin ethyl succinate 500mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Erythromycin ethyl succinate"	"100.000mg/1.000ml"	"5010500"	40000
1428041000033114	"39704811000001109"	"Tetracycline 250mg tablets"	"Tetracycline 250mg tablets"	"Tablet"	"Oral"	"Tetracycline hydrochloride"	"250.000mg"	"5010300"	400000
537541000033114	"39107311000001103"	"Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free"	"Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Erythromycin ethyl succinate"	"50.000mg/1.000ml"	"5010500"	700000
2890541000033117	"4227311000001109"	"Kerymax 250mg gastro-resistant capsules (Kent Pharma (UK) Ltd)"	"Kerymax 250mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Erythromycin"	"250.000mg"	" "	8
796841000033118	"733011000001104"	"Keflex 250mg capsules (Flynn Pharma Ltd)"	"Keflex 250mg capsules"	"Capsule"	"Oral"	"Cefalexin"	"250.000mg"	"5010201"	40000
96941000033113	"324252006"	"Azithromycin 250mg capsules"	"Azithromycin 250mg capsules"	"Capsule"	"Oral"	"Azithromycin dihydrate"	"250.000mg"	"5010500"	500000
225741000033119	"4558311000001100"	"Cefotaxime 2g powder for solution for injection vials"	"Cefotaxime 2g powder for solution for injection vials"	"Powder for solution for injection"	"Intravenous/ Intramuscular"	"Cefotaxime sodium"	"2.000gram"	"5010201"	60
1594141000033117	"39732511000001105"	"Co-amoxiclav 875mg/125mg tablets"	"Co-amoxiclav 875mg/125mg tablets"	"Tablet"	"Oral"	"Amoxicillin trihydrate/ Potassium clavulanate"	"875.000mg + 125.000mg"	" "	100
233041000033118	"39694611000001101"	"Cefuroxime 250mg tablets"	"Cefuroxime 250mg tablets"	"Tablet"	"Oral"	"Cefuroxime axetil"	"250.000mg"	"5010201"	100000
592441000033119	"442211000001107"	"Floxapen 250mg/5ml syrup (Actavis UK Ltd)"	"Floxapen 250mg/5ml syrup"	"Oral suspension"	"Oral"	"Flucloxacillin magnesium"	"50.000mg/1.000ml"	"5010102"	10000
1713741000033116	"794511000001102"	"Zithromax 500mg tablets (Pfizer Ltd)"	"Zithromax 500mg tablets"	"Tablet"	"Oral"	"Azithromycin"	"500.000mg"	" "	3000
8349741000033118	"21797311000001102"	"Cefuroxime 50mg powder for solution for injection vials"	"Cefuroxime 50mg powder for solution for injection vials"	"Powder for solution for injection"	"Intracameral"	"Cefuroxime sodium"	"50.000mg"	"11080200"	2
45641000033115	"121011000001106"	"Amix 500 capsules (Ashbourne Pharmaceuticals Ltd)"	"Amix 500 capsules"	"Capsule"	"Oral"	"Amoxicillin trihydrate"	"500.000mg"	"5010103"	7000
3084641000033117	"36134311000001108"	"Cefalexin 500mg/5ml oral suspension"	"Cefalexin 500mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Cefalexin"	"100.000mg/1.000ml"	"5010201"	40000
232441000033118	"875311000001101"	"Ceporex 250mg/5ml syrup (Strides Pharma UK Ltd)"	"Ceporex 250mg/5ml syrup"	"Oral suspension"	"Oral"	"Cefalexin"	"50.000mg/1.000ml"	"5010201"	10000
1405241000033115	"4437911000001109"	"Tazocin 4g/0.5g powder for solution for infusion vials (Pfizer Ltd)"	"Tazocin 4g/0.5g powder for solution for infusion vials"	" Powder for solution for infusion"	"Intravenous"	"Piperacillin sodium/ Tazobactam sodium"	"4.000gram + 500.000mg"	"5010104"	500
224041000033118	"323825003"	"Cefotaxime 1g powder for solution for injection vials"	"Cefotaxime 1g powder for solution for injection vials"	"Powder for solution for injection"	"Intravenous/ Intramuscular"	"Cefotaxime sodium"	"1.000gram"	"5010201"	700
578141000033116	"39692111000001101"	"Flucloxacillin 250mg capsules"	"Flucloxacillin 250mg capsules"	"Capsule"	"Oral"	"Flucloxacillin sodium"	"250.000mg"	"5010102"	7000000
625841000033114	"190111000001106"	"Galenamox 250mg/5ml oral suspension (Galen Ltd)"	"Galenamox 250mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amoxicillin trihydrate"	"50.000mg/1.000ml"	"5010103"	3000
259341000033118	"39686211000001109"	"Ciprofloxacin 100mg tablets"	"Ciprofloxacin 100mg tablets"	"Tablet"	"Oral"	"Ciprofloxacin hydrochloride"	"100.000mg"	"5011200"	40000
3084541000033118	"323888003"	"Cefalexin 250mg/5ml oral suspension"	"Cefalexin 250mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Cefalexin"	"50.000mg/1.000ml"	"5010201"	400000
1557341000033115	"211911000001100"	"Zinnat 250mg tablets (GlaxoSmithKline UK Ltd)"	"Zinnat 250mg tablets"	"Tablet"	"Oral"	"Cefuroxime axetil"	"250.000mg"	"5010201"	40000
540141000033115	"580811000001109"	"Erythroped A 500mg tablets (Advanz Pharma)"	"Erythroped A 500mg tablets"	"Tablet"	"Oral"	"Erythromycin ethyl succinate"	"500.000mg"	"13060200"	400000
258841000033116	"39687811000001107"	"Ciprofloxacin 500mg tablets"	"Ciprofloxacin 500mg tablets"	"Tablet"	"Oral"	"Ciprofloxacin hydrochloride"	"500.000mg"	"5011200"	3000000
5369941000033115	"10153211000001108"	"Benzathine benzylpenicillin 2.4million unit powder and solvent for suspension for injection vials"	"Benzathine benzylpenicillin 2.4million unit powder and solvent for suspension for injection vials"	"Powder and solvent for suspension for injection"	"Intramuscular"	"Benzathine benzylpenicillin"	"2.400mega u + 2.400mega unit"	" "	90
579541000033118	"499611000001105"	"Fluclomix 500 capsules (Ashbourne Pharmaceuticals Ltd)"	"Fluclomix 500 capsules"	"Capsule"	"Oral"	"Flucloxacillin sodium"	"500.000mg"	"5010102"	4000
2186941000033119	"29011000001102"	"Amiclav 250mg/125mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Amiclav 250mg/125mg tablets"	"Tablet"	"Oral"	"Amoxicillin trihydrate/ Potassium clavulanate"	"250.000mg + 125.000mg"	"5010103"	600
3079141000033118	"39732311000001104"	"Amoxicillin 250mg capsules"	"Amoxicillin 250mg capsules"	"Capsule"	"Oral"	"Amoxicillin trihydrate"	"250.000mg"	"5010103"	20000000
10644441000033116	"30293211000001102"	"Cilodex ear drops (Consilient Health Ltd)"	"Cilodex ear drops"	"Ear drops"	"Auricular"	"Ciprofloxacin hydrochloride/ Dexamethasone"	"3.000mg/1.000ml + 1.000mg/1.000ml"	"12010100"	5000
94641000033110	"932211000001108"	"Augmentin 125/31 SF oral suspension (GlaxoSmithKline UK Ltd)"	"Augmentin 125/31 SF oral suspension"	"Oral suspension"	"Oral"	"Amoxicillin trihydrate/ Potassium clavulanate"	"25.000mg/1.000ml + 6.250mg/1.000ml"	"5010103"	200000
255341000033116	"902411000001101"	"Ciproxin 100mg/50ml solution for infusion bottles (Bayer Plc)"	"Ciproxin 100mg/50ml solution for infusion bottles"	"Solution for infusion"	"Intravenous"	"Ciprofloxacin lactate"	"2.000mg/1.000ml"	"5011200"	10
368341000033110	"36090611000001106"	"Co-fluampicil 125mg/125mg/5ml oral suspension"	"Co-fluampicil 125mg/125mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Ampicillin trihydrate/ Flucloxacillin magnesium"	"25.000mg/1.000ml + 25.000mg/1.000ml"	"5010103"	40000
3923541000033116	"9215111000001107"	"Phenoxymethylpenicillin 125mg/5ml oral solution sugar free"	"Phenoxymethylpenicillin 125mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Phenoxymethylpenicillin potassium"	"25.000mg/1.000ml"	"5010101"	200000
253741000033119	"8967411000001108"	"Ciprofloxacin 200mg/100ml solution for infusion bottles"	"Ciprofloxacin 200mg/100ml solution for infusion bottles"	"Solution for infusion"	"Intravenous"	"Ciprofloxacin lactate"	"2.000mg/1.000ml"	"5011200"	30
277841000033115	"36142611000001107"	"Clarithromycin 500mg modified-release tablets"	"Clarithromycin 500mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Clarithromycin"	"500.000mg"	"5010500"	400000
4456141000033116	"10153711000001101"	"Extencilline 2.4million unit powder and solvent for suspension for injection vials (Imported (France))"	"Extencilline 2.4million unit powder and solvent for suspension for injection vials"	"Powder and solvent for suspension for injection"	" "	"Benzathine benzylpenicillin"	"2.400mega u + 2.400mega unit"	" "	10
1769741000033118	"4074311000001105"	"Crystapen 1.2g powder for solution for injection vials (Thornton & Ross Ltd)"	"Crystapen 1.2g powder for solution for injection vials"	"Powder for solution for injection"	"Intravenous"	"Benzylpenicillin sodium"	"1.200gram"	"5010101"	100
2637141000033110	"3959411000001106"	"Periostat 20mg tablets (Alliance Pharmaceuticals Ltd)"	"Periostat 20mg tablets"	"Tablet"	"Oral"	"Doxycycline hyclate"	"20.000mg"	"12030100"	400
253541000033110	"8951511000001108"	"Ciproxin 200mg/100ml solution for infusion bottles (Bayer Plc)"	"Ciproxin 200mg/100ml solution for infusion bottles"	"Solution for infusion"	"Intravenous"	"Ciprofloxacin lactate"	"2.000mg/1.000ml"	"5011200"	9
1051841000033116	"414211000001105"	"Penbritin 500mg powder for solution for injection vials (Chemidex Pharma Ltd)"	"Penbritin 500mg powder for solution for injection vials"	"Powder for solution for injection"	"Intraarticular/ Intraperitoneal/ Intravenous/ Intramuscular/ Intrapleural"	"Ampicillin sodium"	"500.000mg"	" "	100
3089541000033117	"408607002"	"Doxycycline 20mg tablets"	"Doxycycline 20mg tablets"	"Tablet"	"Oral"	"Doxycycline hyclate"	"20.000mg"	"12030100"	3000
258941000033112	"661311000001104"	"Ciproxin 750mg tablets (Bayer Plc)"	"Ciproxin 750mg tablets"	"Tablet"	"Oral"	"Ciprofloxacin hydrochloride"	"750.000mg"	"5011200"	3000
235141000033115	"474311000001107"	"Ceporex 250mg tablets (Strides Pharma UK Ltd)"	"Ceporex 250mg tablets"	"Tablet"	"Oral"	"Cefalexin"	"250.000mg"	"5010201"	20000
1830541000033112	"37083211000001101"	"Clarithromycin 250mg/5ml oral suspension"	"Clarithromycin 250mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Clarithromycin"	"50.000mg/1.000ml"	"5010500"	300000
370041000033115	"39732111000001101"	"Co-amoxiclav 250mg/125mg tablets"	"Co-amoxiclav 250mg/125mg tablets"	"Tablet"	"Oral"	"Amoxicillin trihydrate/ Potassium clavulanate"	"250.000mg + 125.000mg"	"5010103"	4000000
37241000033112	"196111000001109"	"Almodan 125mg/5ml syrup (Teva UK Ltd)"	"Almodan 125mg/5ml syrup"	"Oral suspension"	"Oral"	"Amoxicillin trihydrate"	"25.000mg/1.000ml"	" "	20000
620341000033111	"130111000001103"	"Galenamox 500mg capsules (Galen Ltd)"	"Galenamox 500mg capsules"	"Capsule"	"Oral"	"Amoxicillin trihydrate"	"500.000mg"	"5010103"	3000
579741000033114	"251311000001107"	"Fluclomix 250 capsules (Ashbourne Pharmaceuticals Ltd)"	"Fluclomix 250 capsules"	"Capsule"	"Oral"	"Flucloxacillin sodium"	"250.000mg"	"5010102"	20000
3079641000033111	"323732002"	"Amoxicillin 125mg/5ml oral suspension"	"Amoxicillin 125mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amoxicillin trihydrate"	"25.000mg/1.000ml"	"5010103"	6000000
1414841000033118	"39704711000001101"	"Tetracycline 250mg capsules"	"Tetracycline 250mg capsules"	"Capsule"	"Oral"	"Tetracycline hydrochloride"	"250.000mg"	" "	70000
537641000033110	"324232005"	"Erythromycin ethyl succinate 125mg/5ml oral suspension"	"Erythromycin ethyl succinate 125mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Erythromycin ethyl succinate"	"25.000mg/1.000ml"	"5010500"	600000
3955441000033115	"11034311000001100"	"Azithromycin 250mg tablets"	"Azithromycin 250mg tablets"	"Tablet"	"Oral"	"Azithromycin"	"250.000mg"	" "	800000
2104341000033112	"2853411000001108"	"Doxylar 100mg capsules (Sandoz Ltd)"	"Doxylar 100mg capsules"	"Capsule"	"Oral"	"Doxycycline hyclate"	"100.000mg"	"13060200"	400
3079741000033119	"323733007"	"Amoxicillin 250mg/5ml oral suspension"	"Amoxicillin 250mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amoxicillin trihydrate"	"50.000mg/1.000ml"	"5010103"	2000000
12428141000033112	"34941111000001103"	"Ciprofloxacin 2mg/ml ear drops 0.25ml unit dose preservative free"	"Ciprofloxacin 2mg/ml ear drops 0.25ml unit dose preservative free"	"Ear drops"	"Auricular"	"Ciprofloxacin hydrochloride"	"2.000mg/1.000ml"	" "	10000
275841000033111	"4533411000001102"	"Claforan 2g powder for solution for injection vials (Sanofi)"	"Claforan 2g powder for solution for injection vials"	"Powder for solution for injection"	"Intravenous/ Intramuscular"	"Cefotaxime sodium"	"2.000gram"	" "	2
2130541000033115	"849911000001104"	"Tenkicin 250mg tablets (Kent Pharma (UK) Ltd)"	"Tenkicin 250mg tablets"	"Tablet"	"Oral"	"Phenoxymethylpenicillin potassium"	"250.000mg"	" "	80
587941000033111	"323491007"	"Flucloxacillin 250mg powder for solution for injection vials"	"Flucloxacillin 250mg powder for solution for injection vials"	"Powder for solution for injection"	"Intrapleural/ Intravenous/ Intraarticular/ Intramuscular/ Inhalation"	"Flucloxacillin sodium"	"250.000mg"	"5010102"	200
2193041000033114	"2853611000001106"	"Vibrox 100mg capsules (Kent Pharma (UK) Ltd)"	"Vibrox 100mg capsules"	"Capsule"	"Oral"	"Doxycycline hyclate"	"100.000mg"	" "	400
3084141000033110	"39694811000001102"	"Cefalexin 500mg capsules"	"Cefalexin 500mg capsules"	"Capsule"	"Oral"	"Cefalexin"	"500.000mg"	"5010201"	3000000
3084041000033111	"39735311000001105"	"Cefalexin 250mg capsules"	"Cefalexin 250mg capsules"	"Capsule"	"Oral"	"Cefalexin"	"250.000mg"	"5010201"	3000000
253841000033112	"8973011000001101"	"Ciprofloxacin 400mg/200ml solution for infusion bottles"	"Ciprofloxacin 400mg/200ml solution for infusion bottles"	"Solution for infusion"	"Intravenous"	"Ciprofloxacin lactate"	"2.000mg/1.000ml"	"5011200"	20
3923641000033115	"9215211000001101"	"Phenoxymethylpenicillin 250mg/5ml oral solution sugar free"	"Phenoxymethylpenicillin 250mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Phenoxymethylpenicillin potassium"	"50.000mg/1.000ml"	"5010101"	200000
1769641000033110	"323396003"	"Benzylpenicillin 1.2g powder for solution for injection vials"	"Benzylpenicillin 1.2g powder for solution for injection vials"	"Powder for solution for injection"	"Intravenous"	"Benzylpenicillin sodium"	"1.200gram"	"5010101"	1000
1514941000033119	"2854011000001102"	"Vibramycin 100mg capsules (Pfizer Ltd)"	"Vibramycin 100mg capsules"	"Capsule"	"Oral"	"Doxycycline hyclate"	"100.000mg"	" "	200000
1407541000033110	"491611000001109"	"Tarivid 400mg tablets (Sanofi)"	"Tarivid 400mg tablets"	"Tablet"	"Oral"	"Ofloxacin"	"400.000mg"	"5011200"	20000
3080141000033118	"39021911000001105"	"Amoxicillin 250mg/5ml oral suspension sugar free"	"Amoxicillin 250mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Amoxicillin trihydrate"	"50.000mg/1.000ml"	"5010103"	3000000
3838841000033115	"9739611000001100"	"Clarosip 125mg granules for oral suspension straws (Grunenthal Ltd)"	"Clarosip 125mg granules for oral suspension straws"	"Granules"	"Oral"	"Clarithromycin"	"125.000mg"	"5010500"	50
56841000033114	"42011000001106"	"Amoram 125mg/5ml oral suspension (LPC Medical (UK) Ltd)"	"Amoram 125mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amoxicillin trihydrate"	"25.000mg/1.000ml"	"5010103"	8000
535241000033119	"4693611000001103"	"Erythrocin IV lactobionate 1g powder for solution for infusion vials (Advanz Pharma)"	"Erythrocin IV lactobionate 1g powder for solution for infusion vials"	" Powder for solution for infusion"	"Intravenous"	"Erythromycin lactobionate"	"1.000gram"	" "	50
802841000033117	"757911000001105"	"Keflex 250mg/5ml oral suspension (Flynn Pharma Ltd)"	"Keflex 250mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Cefalexin"	"50.000mg/1.000ml"	"5010201"	10000
