prodcode	dmdcode	gemscriptcode	therapyevents	productname	ingredient	strength	formulation	routeofadministration	bnfchapter	bnftext	database_build	unclearnumber
21775	102395001000027104	61380020	612	"Clavulanic acid 31mg with amoxicillin 125mg/5ml sugar free oral suspension"	"Amoxicillin Trihydrate/Potassium Clavulanate"	"31mg + 125mg/5ml"	"Suspension Sugar-Free"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	3339003
53688	9038211000001104	70580020	0	"Clarithromycin 250mg tablets (Ranbaxy (UK) Ltd)"	"Clarithromycin"	"250mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"February 2013"	5814009
21850	223025001000027104	83484020	163	"Zoxin 250mg Capsule (Opus Pharmaceuticals Ltd)"	"Flucloxacillin sodium"	"250mg"	"Capsule"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"February 2009"	10479001
29858	709111000001109	59322020	205	"Amoxicillin 125mg/5ml oral suspension sugar free (Sandoz Ltd)"	"Amoxicillin trihydrate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	2866010
48006	228311000001104	66843020	1	"Amoxicillin 250mg capsules (Sandoz Ltd)"	"Amoxicillin trihydrate"	"250mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"November 2012"	4774009
83549	249325001000027104	94086020	6	"Ciprofloxacin oral liquid"	"Ciprofloxacin"	""	""	""	5011200	"Quinolones"	"April 2021"	15649001
4165	85911000001108	69429020	29614	"Zithromax 250mg capsules (Pfizer Ltd)"	"Azithromycin dihydrate"	"250mg"	"Capsule"	"Oral"	5010500	"Macrolides"	"February 2009"	5487001
32910	6036511000001103	67412020	83	"Co-amoxiclav 500mg/125mg tablets (Sandoz Ltd)"	"Amoxicillin trihydrate/Potassium clavulanate"	"500mg + 125mg"	"Tablet"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	4929009
52309	15076711000001108	6096020	0	"Ciprofloxacin 100mg tablets (Sigma Pharmaceuticals Plc)"	"Ciprofloxacin hydrochloride"	"100mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"January 2013"	6096020
4610	40345001000027104	53079020	4870	"Erythroped forte 500mg/5ml Oral suspension (Abbott Laboratories Ltd)"	"Erythromycin ethyl succinate"	"100mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"February 2009"	1248003
26326	865811000001104	56429020	4	"Floxapen 250mg powder for solution for injection vials (GlaxoSmithKline UK Ltd)"	"Flucloxacillin sodium"	"250mg"	"Powder for solution for injection"	"Intramuscular/Intravenous/Inhalation/Intraarticular/Intrapleural"	5010102	"Penicillinase-Resistant Penicillins"	"February 2009"	2115003
41192	728211000001103	62990020	42	"Cefalexin 250mg/5ml oral suspension (Ranbaxy (UK) Ltd)"	"Cefalexin"	"50mg/1ml"	"Oral suspension"	"Oral"	5010201	"Cephalosporins"	"February 2010"	3722009
56789	19834311000001104	38984020	0	"Ciprofloxacin 500mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)"	"Ciprofloxacin hydrochloride"	"500mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"August 2013"	38984020
743	39733511000001104	69381020	192936	"Azithromycin 500mg tablets"	"Azithromycin"	"500mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"February 2009"	5476003
57331	97911000001102	5550020	0	"Flucloxacillin 250mg powder for solution for injection vials (A A H Pharmaceuticals Ltd)"	"Flucloxacillin sodium"	"250mg"	"Powder for solution for injection"	"Intramuscular/Intravenous/Inhalation/Intraarticular/Intrapleural"	5010102	"Penicillinase-Resistant Penicillins"	"October 2013"	5550020
54780	7320411000001101	66526020	1	"Co-amoxiclav 250mg/62mg/5ml oral suspension (Mylan)"	"Amoxicillin trihydrate/Potassium clavulanate"	"50mg/1ml + 12.5mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"April 2013"	4685009
26659	8435001000027101	49055020	555	"Distaquaine v-k 250mg/5ml Liquid (Dista Products Ltd)"	"Phenoxymethylpenicillin potassium"	"50mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	263001
9361	3348411000001109	59271020	32	"Oxymycin 250mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Oxytetracycline dihydrate"	"250mg"	"Tablet"	"Oral"		"Tetracyclines/Oral Antibacterials For Acne"	"February 2009"	2855001
26189	324215006	60852020	52	"Erythromycin 1g powder for solution for infusion vials"	"Erythromycin lactobionate"	"1gram"	"Powder for solution for infusion"	"Intravenous"	5010500	"Macrolides"	"February 2009"	3217001
21366	143325001000027104	66953020	5	"Tetracycline 250mg/vial IV injection"	"Tetracycline Hydrochloride"	"250mg/vial"	"IV Injection"	""		"Tetracyclines/Antimalarials"	"February 2009"	4804002
72224	19188211000001104	14560020	0	"Cefalexin 125mg/5ml oral suspension sugar free (Milpharm Ltd)"	"Cefalexin"	"25mg/1ml"	"Oral suspension"	"Oral"	5010201	"Cephalosporins"	"May 2018"	14560020
73663	13620711000001106	70457020	0	"Erythromycin ethyl succinate 500mg/5ml oral suspension (Pinewood Healthcare)"	"Erythromycin ethyl succinate"	"100mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"November 2018"	5781009
7503	97465001000027104	60608020	3	"Cefuroxime (as sodium salt) 1.5g/vial infusion"	"Cefuroxime Sodium"	"1.5g/vial"	"Infusion"	""	5010201	"Cephalosporins"	"February 2009"	3161003
57634	19193011000001108	5535020	0	"Flucloxacillin 250mg capsules (Milpharm Ltd)"	"Flucloxacillin sodium"	"250mg"	"Capsule"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"October 2013"	5535020
58955	18756911000001104	28822020	0	"Ciprofloxacin 100mg/50ml solution for infusion vials (A A H Pharmaceuticals Ltd)"	"Ciprofloxacin lactate"	"2mg/1ml"	"Solution for infusion"	"Intravenous"	5011200	"Quinolones"	"March 2014"	28822020
62684	28097311000001108	40850021	0	"Phenoxymethylpenicillin 250mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd)"	"Phenoxymethylpenicillin potassium"	"50mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"April 2015"	40850021
57842	4532811000001108	62924020	0	"Cefotaxime 500mg powder for solution for injection vials (Genus Pharmaceuticals Ltd)"	"Cefotaxime sodium"	"500mg"	"Powder for solution for injection"	"Intravenous/Intramuscular"	5010201	"Cephalosporins"	"December 2013"	3706009
41090	9786911000001106	70968020	8	"Amoxicillin 250mg/5ml oral suspension (Almus Pharmaceuticals Ltd)"	"Amoxicillin trihydrate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"January 2010"	5929009
39913	926611000001109	63845020	2	"Ciprofloxacin 100mg tablets (Sandoz Ltd)"	"Ciprofloxacin hydrochloride"	"100mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"August 2009"	3954009
63458	17903011000001104	5858020	0	"Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd)"	"Erythromycin ethyl succinate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"June 2015"	5858020
17690	84555001000027104	58700020	1993	"Penidural Liquid (Wyeth Pharmaceuticals)"	"Benzathine Benzylpenicillin"	""	"Liquid"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	2709001
64312	13620511000001100	70454020	3	"Erythromycin ethyl succinate 250mg/5ml oral suspension (Pinewood Healthcare)"	"Erythromycin ethyl succinate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"September 2015"	5780009
75595	12605001000027104	49623020	1	"Erythromycin 250mg/5ml Liquid (Berk Pharmaceuticals Ltd)"	"Erythromycin ethyl succinate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"April 2019"	392010
67771	10219211000001100	72744020	0	"Co-amoxiclav 1000mg/200mg powder for solution for injection vials (PLIVA Pharma Ltd)"	"Amoxicillin sodium/Potassium clavulanate"	"1000mg + 200mg"	"Powder for solution for injection"	"Intravenous"	5010103	"Broad-Spectrum Penicillins"	"October 2016"	6451009
51038	21038711000001108	44023020	1	"Phenoxymethylpenicillin 125mg/5ml oral solution sugar free (Bristol Laboratories Ltd)"	"Phenoxymethylpenicillin potassium"	"25mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"January 2013"	44023020
51426	20165811000001104	39857020	1	"Clarithromycin 500mg tablets (Accord Healthcare Ltd)"	"Clarithromycin"	"500mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"January 2013"	39857020
38118	50835001000027104	54372020	5	"Achromycin 1% Ear drops (Wyeth Pharmaceuticals)"	"Tetracycline Hydrochloride"	"1%"	"Ear Drops"	"Auricular"	12010100	"Drugs Acting On The Ear - Otitis Externa"	"February 2009"	1583001
9689	199411000001106	53527020	28	"Cefalexin 500mg tablets (Teva UK Ltd)"	"Cefalexin"	"500mg"	"Tablet"	"Oral"	5010201	"Cephalosporins"	"February 2009"	1364009
71572	22982111000001104	17534021	0	"Ciprofloxacin 200mg/100ml solution for infusion bottles (Kent Pharma (UK) Ltd)"	"Ciprofloxacin lactate"	"2mg/1ml"	"Solution for infusion"	"Intravenous"	5011200	"Quinolones"	"February 2018"	17534021
14137	408607002	80705020	1477	"Doxycycline 20mg tablets"	"Doxycycline hyclate"	"20mg"	"Tablet"	"Oral"	12030100	"Drugs For Oral Ulceration And Inflammation"	"February 2009"	9198001
49445	9785111000001102	71120020	26	"Ciprofloxacin 500mg tablets (Almus Pharmaceuticals Ltd)"	"Ciprofloxacin hydrochloride"	"500mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"January 2013"	5976009
51984	17503311000001108	5850020	1	"Erythrocin 500 tablets (Mawdsley-Brooks & Company Ltd)"	"Erythromycin stearate"	"500mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"January 2013"	5850020
19895	3485001000027105	48417020	904	"Bicillin Injection (Yamanouchi Pharma Ltd)"	"Benzylpenicillin Sodium/Procaine Benzylpenicillin"	""	"Injection"	""	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	113001
75358	30810111000001104	57353021	0	"Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (Mawdsley-Brooks & Company Ltd)"	"Erythromycin ethyl succinate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"March 2019"	57353021
9243	500511000001107	73320020	18744	"Amoram 250mg capsules (LPC Medical (UK) Ltd)"	"Amoxicillin trihydrate"	"250mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	6622001
33693	12511000001105	63338020	19	"Co-amoxiclav 250mg/125mg tablets (Kent Pharma (UK) Ltd)"	"Amoxicillin trihydrate/Potassium clavulanate"	"250mg + 125mg"	"Tablet"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	3810009
34423	92035001000027104	59687020	47	"Doxycycline 100mg Capsule (PLIVA Pharma Ltd)"	"Doxycycline hyclate"	"100mg"	"Capsule"	"Oral"		"Tetracyclines/Antimalarials"	"February 2009"	2948009
7752	661311000001104	74367020	1915	"Ciproxin 750mg tablets (Bayer Plc)"	"Ciprofloxacin hydrochloride"	"750mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"February 2009"	6919001
63911	9785311000001100	70954020	4	"Amoxicillin 250mg capsules (Almus Pharmaceuticals Ltd)"	"Amoxicillin trihydrate"	"250mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"July 2015"	5925009
53078	264811000001108	5656020	14	"Amoxicillin 125mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)"	"Amoxicillin trihydrate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"January 2013"	5656020
68274	13849811000001100	6107020	1	"Ciproxin 500mg tablets (DE Pharmaceuticals)"	"Ciprofloxacin hydrochloride"	"500mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"November 2016"	6107020
57997	21776411000001104	47414020	0	"Ampicillin 250mg capsules (Waymade Healthcare Plc)"	"Ampicillin"	"250mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"December 2013"	47414020
765	324248006	76384020	8864	"Clarithromycin 250mg granules sachets"	"Clarithromycin"	"250mg"	"Granules"	"Oral"	5010500	"Macrolides"	"February 2009"	7504002
74550	29764511000001104	52252021	2	"Amoxicillin 125mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc)"	"Amoxicillin trihydrate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"January 2019"	52252021
34679	623711000001108	56818020	632	"Amoxicillin 125mg/5ml oral suspension sugar free (Accord Healthcare Ltd)"	"Amoxicillin trihydrate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	2209011
83494	29889711000001104	52763021	0	"Levofloxacin 250mg tablets (Sigma Pharmaceuticals Plc)"	"Levofloxacin hemihydrate"	"250mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"April 2021"	52763021
47582	8993611000001100	69455020	63	"Clarithromycin 250mg tablets (Sandoz Ltd)"	"Clarithromycin"	"250mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"August 2012"	5494009
55438	16248111000001100	36859020	0	"Flucloxacillin 250mg/5ml oral solution sugar free (Kent Pharma (UK) Ltd)"	"Flucloxacillin sodium"	"50mg/1ml"	"Oral solution"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"May 2013"	36859020
415	932211000001108	54560020	136434	"Augmentin 125/31 SF oral suspension (GlaxoSmithKline UK Ltd)"	"Potassium clavulanate/Amoxicillin trihydrate"	"6.25mg/1ml + 25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	1636001
41163	16089611000001104	97552020	76688	"Flucloxacillin 125mg/5ml oral solution sugar free"	"Flucloxacillin sodium"	"25mg/1ml"	"Oral solution"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"February 2010"	17407001
30231	73455001000027104	57380020	1	"Phenoxymethylpenicillin 125mg/5ml Oral solution (Generics (UK) Ltd)"	"Phenoxymethylpenicillin potassium"	"25mg/1ml"	"Oral solution"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"February 2009"	2343009
39118	222495001000027104	83250020	9	"Primacine 250mg/5ml Liquid (Pinewood Healthcare)"	"Erythromycin ethyl succinate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"April 2009"	10369002
85296	527011000001106	6131020	0	"Ofloxacin 200mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Ofloxacin"	"200mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"December 2021"	6131020
24483	850311000001106	89482020	982	"Penbritin 250mg capsules (Chemidex Pharma Ltd)"	"Ampicillin"	"250mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	13324001
6623	463111000001102	69358020	16839	"Klaricid 500 tablets (Abbott Laboratories Ltd)"	"Clarithromycin"	"500mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"February 2009"	5469003
83859	38834811000001104	94781021	0	"Ciprofloxacin 250mg tablets (Medihealth (Northern) Ltd)"	"Ciprofloxacin hydrochloride"	"250mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"May 2021"	94781021
57754	61585001000027104	55713020	0	"Penicillin VK 250mg Tablet (Nucross)"	"Phenoxymethylpenicillin potassium"	"250mg"	"Tablet"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"October 2013"	1938009
79808	19714211000001108	38558020	0	"Ciprofloxacin 750mg tablets (DE Pharmaceuticals)"	"Ciprofloxacin hydrochloride"	"750mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"February 2020"	38558020
25752	130345001000027104	65210020	0	"Nystatin with tetracycline hc Capsule"	"Nystatin/Tetracycline Hydrochloride"	""	"Capsule"	"Oral"	5010300	"Tetracyclines"	"February 2009"	4319001
34391	525111000001103	63352020	7	"Ofloxacin 400mg tablets (Sandoz Ltd)"	"Ofloxacin"	"400mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"February 2009"	3814009
80701	37911311000001104	90632021	0	"Erythromycin stearate 250mg tablets (Key Pharmaceuticals Ltd)"	"Erythromycin stearate"	"250mg"	"Tablet"	"Oral"	5010500	"Macrolides"	"May 2020"	90632021
63063	23940311000001108	21920021	1	"Co-amoxiclav 250mg/62mg/5ml oral suspension (DE Pharmaceuticals)"	"Amoxicillin trihydrate/Potassium clavulanate"	"50mg/1ml + 12.5mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"May 2015"	21920021
68226	29856111000001104	52266021	0	"Erythromycin ethyl succinate 250mg/5ml oral suspension (Sigma Pharmaceuticals Plc)"	"Erythromycin ethyl succinate"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"November 2016"	52266021
47125	16086911000001100	76922020	2	"Flucloxacillin 125mg/5ml oral solution sugar free (Accord Healthcare Ltd)"	"Flucloxacillin sodium"	"25mg/1ml"	"Oral solution"	"Oral"	5010102	"Penicillinase-Resistant Penicillins"	"May 2012"	7690009
3669	69195001000027104	56736020	27	"Amoxymed 250mg Capsule (Medipharma Ltd)"	"Amoxicillin trihydrate"	"250mg"	"Capsule"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"February 2009"	2191001
58076	357111000001108	5774020	0	"Tetracycline 250mg tablets (Kent Pharma (UK) Ltd)"	"Tetracycline hydrochloride"	"250mg"	"Tablet"	"Oral"		"Tetracyclines/Oral Antibacterials For Acne"	"December 2013"	5774020
77	324095003	59238020	3167440	"Oxytetracycline 250mg tablets"	"Oxytetracycline dihydrate"	"250mg"	"Tablet"	"Oral"		"Tetracyclines/Oral Antibacterials For Acne"	"February 2009"	2845001
62897	18103211000001100	5922020	0	"Clarithromycin 250mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd)"	"Clarithromycin"	"50mg/1ml"	"Oral suspension"	"Oral"	5010500	"Macrolides"	"April 2015"	5922020
43624	3880811000001103	98606020	313	"Crystapen 600mg powder for solution for injection vials (Thornton & Ross Ltd)"	"Benzylpenicillin sodium"	"600mg"	"Powder for solution for injection"	"Intravenous/Intramuscular"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"October 2010"	17939001
80643	35591711000001108	81464021	1	"Amoxicillin 125mg/5ml oral suspension sugar free (RX Farma)"	"Amoxicillin trihydrate"	"25mg/1ml"	"Oral suspension"	"Oral"	5010103	"Broad-Spectrum Penicillins"	"April 2020"	81464021
32441	4533411000001102	48695020	18	"Claforan 2g powder for solution for injection vials (Sanofi)"	"Cefotaxime sodium"	"2gram"	"Powder for solution for injection"	"Intravenous/Intramuscular"	5010201	"Cephalosporins"	"February 2009"	174003
65896	5349111000001104	6119020	0	"Ciproxin 250mg tablets (Waymade Healthcare Plc)"	"Ciprofloxacin hydrochloride"	"250mg"	"Tablet"	"Oral"	5011200	"Quinolones"	"April 2016"	6119020
56942	871611000001108	5518020	0	"Phenoxymethylpenicillin 250mg tablets (The Boots Company Plc)"	"Phenoxymethylpenicillin potassium"	"250mg"	"Tablet"	"Oral"	5010101	"Benzylpenicillin And Phenoxymethylpenicillin"	"August 2013"	5518020
